metric,model_a,model_b,mean_diff_a_minus_b,perm_p_value_two_sided,bootstrap_ci_low,bootstrap_ci_high,n_a,n_b
seq_p_action2,PT2_COREDe,PT3_COREDe,0.999416476705764,4.999750012499375e-05,0.9992319700952628,0.9995931384405387,15,15
seq_p_action2,PT2_COREDe,PT3_COREUt,0.9294763686225187,4.999750012499375e-05,0.9127637692277897,0.9460647077591849,15,15
seq_p_action2,PT2_COREDe,PT4_COREDe,0.5881229209585055,4.999750012499375e-05,0.35387092228420036,0.8185178894116916,15,15
seq_p_action2,PT3_COREDe,PT3_COREUt,-0.06994010808324524,4.999750012499375e-05,-0.08664737871581372,-0.05337542556834223,15,15
seq_p_action2,PT3_COREUt,PT4_COREDe,-0.3413534476640132,0.014049297535123243,-0.573166896894603,-0.11369033180073396,15,15
seq_delta_logp_action2_minus_action1,PT2_COREDe,PT3_COREDe,17.536458160626264,4.999750012499375e-05,16.670312261740005,18.386471251831253,15,15
seq_delta_logp_action2_minus_action1,PT2_COREDe,PT3_COREUt,11.900000207939254,4.999750012499375e-05,11.065611915527308,12.725013624903145,15,15
seq_delta_logp_action2_minus_action1,PT2_COREDe,PT4_COREDe,9.7447928689365,4.999750012499375e-05,7.996875060353957,11.468245296069897,15,15
seq_delta_logp_action2_minus_action1,PT3_COREDe,PT3_COREUt,-5.636457952687011,4.999750012499375e-05,-6.1249995367366585,-5.141145790820159,15,15
seq_delta_logp_action2_minus_action1,PT3_COREUt,PT4_COREDe,-2.1552073390027524,0.014999250037498125,-3.754194040329113,-0.5937342240184547,15,15
final_delta,PT2_COREDe,PT3_COREDe,8.378125,4.999750012499375e-05,6.824866536458333,9.873567708333333,15,15
final_delta,PT2_COREDe,PT3_COREUt,6.187760416666666,4.999750012499375e-05,4.634869791666667,7.676328124999998,15,15
final_delta,PT2_COREDe,PT4_COREDe,4.990364583333333,0.0007999600019999,2.495130208333333,7.435436197916665,15,15
final_delta,PT3_COREDe,PT3_COREUt,-2.1903645833333334,4.999750012499375e-05,-2.44140625,-1.9591145833333334,15,15
final_delta,PT3_COREUt,PT4_COREDe,-1.1973958333333332,0.2655867206639668,-3.170071614583333,0.7583398437499996,15,15
