model,component,contribution
PT2_COREDe,L8H6,0.12386067708333333
PT2_COREDe,L8H7,0.12386067708333333
PT2_COREDe,L8H5,0.12386067708333333
PT3_COREDe,L8H0,0.12223307291666667
PT3_COREDe,L8H1,0.12223307291666667
PT3_COREDe,L8H2,0.12223307291666667
PT3_COREDe,L8H3,0.12223307291666667
PT3_COREDe,L8H4,0.12223307291666667
PT3_COREDe,L8H6,0.12223307291666667
PT3_COREDe,L8H7,0.12223307291666667
PT3_COREDe,L8H5,0.12223307291666667
PT4_COREDe,L8H7,0.12119140625
PT4_COREDe,L8H6,0.12119140625
PT4_COREDe,L8H4,0.12119140625
PT4_COREDe,L8H5,0.12119140625
PT4_COREDe,L8H3,0.12119140625
PT4_COREDe,L8H2,0.12119140625
PT4_COREDe,L8H1,0.12119140625
PT4_COREDe,L8H0,0.12119140625
PT3_COREUt,L8H2,0.11774088541666666
PT3_COREUt,L8H3,0.11774088541666666
PT3_COREUt,L8H4,0.11774088541666666
PT3_COREUt,L8H5,0.11774088541666666
PT3_COREUt,L8H6,0.11774088541666666
PT3_COREUt,L8H7,0.11774088541666666
PT3_COREUt,L8H1,0.11774088541666666
PT3_COREUt,L8H0,0.11774088541666666
base,L8H7,0.11754557291666666
base,L8H6,0.11754557291666666
base,L8H5,0.11754557291666666
base,L8H4,0.11754557291666666
base,L8H3,0.11754557291666666
base,L8H2,0.11754557291666666
base,L8H1,0.11754557291666666
base,L8H0,0.11754557291666666
PT3_COREUt,L18H0,0.1107421875
PT3_COREUt,L18H1,0.1107421875
PT3_COREUt,L18H2,0.1107421875
PT3_COREUt,L18H4,0.1107421875
PT3_COREUt,L18H6,0.1107421875
PT3_COREUt,L18H3,0.1107421875
PT3_COREUt,L18H7,0.1107421875
PT3_COREUt,L18H5,0.1107421875
PT2_COREDe,L18H5,0.10948079427083333
PT2_COREDe,L18H6,0.10948079427083333
PT2_COREDe,L18H4,0.10948079427083333
PT2_COREDe,L18H1,0.10948079427083333
PT2_COREDe,L18H0,0.10948079427083333
PT2_COREDe,L18H3,0.10948079427083333
PT2_COREDe,L18H7,0.10948079427083333
PT2_COREDe,L18H2,0.10948079427083333
PT3_COREDe,L18H2,0.10765787760416666
PT3_COREDe,L18H3,0.10765787760416666
PT3_COREDe,L18H7,0.10765787760416666
PT3_COREDe,L18H5,0.10765787760416666
PT3_COREDe,L18H6,0.10765787760416666
PT3_COREDe,L18H4,0.10765787760416666
PT3_COREDe,L18H0,0.10765787760416666
PT3_COREDe,L18H1,0.10765787760416666
base,L18H2,0.106231689453125
base,L18H6,0.106231689453125
base,L18H0,0.106231689453125
base,L18H1,0.106231689453125
base,L18H4,0.106231689453125
base,L18H5,0.106231689453125
base,L18H3,0.106231689453125
base,L18H7,0.106231689453125
PT4_COREDe,L18H5,0.1060546875
PT4_COREDe,L18H6,0.1060546875
PT4_COREDe,L18H3,0.1060546875
PT4_COREDe,L18H2,0.1060546875
PT4_COREDe,L18H4,0.1060546875
PT4_COREDe,L18H1,0.1060546875
PT4_COREDe,L18H0,0.1060546875
PT4_COREDe,L18H7,0.1060546875
base,L2H2,0.06658528645833334
base,L2H1,0.06658528645833334
base,L2H6,0.06658528645833334
base,L2H5,0.06658528645833334
base,L2H7,0.06658528645833334
base,L2H3,0.06658528645833334
base,L2H4,0.06658528645833334
base,L2H0,0.06658528645833334
PT3_COREDe,L2H3,0.06617838541666667
PT3_COREDe,L2H6,0.06617838541666667
PT3_COREDe,L2H5,0.06617838541666667
PT3_COREDe,L2H1,0.06617838541666667
PT3_COREDe,L2H0,0.06617838541666667
PT3_COREDe,L2H2,0.06617838541666667
PT3_COREDe,L2H7,0.06617838541666667
PT3_COREDe,L2H4,0.06617838541666667
PT3_COREUt,L2H0,0.065966796875
PT3_COREUt,L2H7,0.065966796875
PT3_COREUt,L2H5,0.065966796875
PT3_COREUt,L2H2,0.065966796875
PT3_COREUt,L2H3,0.065966796875
PT3_COREUt,L2H4,0.065966796875
PT3_COREUt,L2H6,0.065966796875
PT3_COREUt,L2H1,0.065966796875
PT2_COREDe,L2H6,0.065869140625
PT2_COREDe,L2H0,0.065869140625
PT2_COREDe,L2H1,0.065869140625
PT2_COREDe,L2H5,0.065869140625
PT2_COREDe,L2H3,0.065869140625
PT2_COREDe,L2H7,0.065869140625
PT2_COREDe,L2H2,0.065869140625
PT2_COREDe,L2H4,0.065869140625
PT4_COREDe,L2H6,0.06573893229166666
PT4_COREDe,L2H5,0.06573893229166666
PT4_COREDe,L2H2,0.06573893229166666
PT4_COREDe,L2H1,0.06573893229166666
PT4_COREDe,L2H0,0.06573893229166666
PT4_COREDe,L2H7,0.06573893229166666
PT4_COREDe,L2H4,0.06573893229166666
PT4_COREDe,L2H3,0.06573893229166666
PT3_COREDe,L21_MLP,0.04537760416666667
PT2_COREDe,L21_MLP,0.041650390625
PT3_COREUt,L21_MLP,0.03817545572916667
base,L21_MLP,0.015413411458333333
PT4_COREDe,L21_MLP,0.014762369791666667
PT3_COREDe,L13H1,-0.0753662109375
PT3_COREDe,L13H5,-0.0753662109375
PT3_COREDe,L13H2,-0.0753662109375
PT3_COREDe,L13H3,-0.0753662109375
PT3_COREDe,L13H0,-0.0753662109375
PT3_COREDe,L13H6,-0.0753662109375
PT3_COREDe,L13H7,-0.0753662109375
PT3_COREDe,L13H4,-0.0753662109375
PT4_COREDe,L13H0,-0.07588297526041667
PT4_COREDe,L13H2,-0.07588297526041667
PT4_COREDe,L13H1,-0.07588297526041667
PT4_COREDe,L13H4,-0.07588297526041667
PT4_COREDe,L13H5,-0.07588297526041667
PT4_COREDe,L13H7,-0.07588297526041667
PT4_COREDe,L13H6,-0.07588297526041667
PT4_COREDe,L13H3,-0.07588297526041667
PT3_COREUt,L13H4,-0.07609456380208333
PT3_COREUt,L13H2,-0.07609456380208333
PT3_COREUt,L13H7,-0.07609456380208333
PT3_COREUt,L13H5,-0.07609456380208333
PT3_COREUt,L13H6,-0.07609456380208333
PT3_COREUt,L13H0,-0.07609456380208333
PT3_COREUt,L13H1,-0.07609456380208333
PT3_COREUt,L13H3,-0.07609456380208333
base,L13H5,-0.07762298583984376
base,L13H6,-0.07762298583984376
base,L13H2,-0.07762298583984376
base,L13H4,-0.07762298583984376
base,L13H3,-0.07762298583984376
base,L13H1,-0.07762298583984376
base,L13H0,-0.07762298583984376
base,L13H7,-0.07762298583984376
PT2_COREDe,L13H1,-0.08309733072916667
PT2_COREDe,L13H3,-0.08309733072916667
PT2_COREDe,L13H2,-0.08309733072916667
PT2_COREDe,L13H7,-0.08309733072916667
PT2_COREDe,L13H6,-0.08309733072916667
PT2_COREDe,L13H5,-0.08309733072916667
PT2_COREDe,L13H4,-0.08309733072916667
PT2_COREDe,L13H0,-0.08309733072916667
PT4_COREDe,L14H6,-0.14076741536458334
PT4_COREDe,L14H5,-0.14076741536458334
PT4_COREDe,L14H0,-0.14076741536458334
PT4_COREDe,L14H3,-0.14076741536458334
PT4_COREDe,L14H4,-0.14076741536458334
PT4_COREDe,L14H2,-0.14076741536458334
PT4_COREDe,L14H7,-0.14076741536458334
PT4_COREDe,L14H1,-0.14076741536458334
base,L14H6,-0.14117024739583334
base,L14H0,-0.14117024739583334
base,L14H5,-0.14117024739583334
base,L14H7,-0.14117024739583334
base,L14H1,-0.14117024739583334
base,L14H4,-0.14117024739583334
base,L14H2,-0.14117024739583334
base,L14H3,-0.14117024739583334
PT3_COREDe,L14H1,-0.14273885091145833
PT3_COREDe,L14H4,-0.14273885091145833
PT3_COREDe,L14H7,-0.14273885091145833
PT3_COREDe,L14H0,-0.14273885091145833
PT3_COREDe,L14H2,-0.14273885091145833
PT3_COREDe,L14H5,-0.14273885091145833
PT3_COREDe,L14H6,-0.14273885091145833
PT3_COREDe,L14H3,-0.14273885091145833
PT3_COREUt,L14H2,-0.14431966145833333
PT3_COREUt,L14H4,-0.14431966145833333
PT3_COREUt,L14H0,-0.14431966145833333
PT3_COREUt,L14H5,-0.14431966145833333
PT3_COREUt,L14H7,-0.14431966145833333
PT3_COREUt,L14H1,-0.14431966145833333
PT3_COREUt,L14H6,-0.14431966145833333
PT3_COREUt,L14H3,-0.14431966145833333
PT2_COREDe,L14H6,-0.14523111979166667
PT2_COREDe,L14H2,-0.14523111979166667
PT2_COREDe,L14H1,-0.14523111979166667
PT2_COREDe,L14H3,-0.14523111979166667
PT2_COREDe,L14H7,-0.14523111979166667
PT2_COREDe,L14H4,-0.14523111979166667
PT2_COREDe,L14H5,-0.14523111979166667
PT2_COREDe,L14H0,-0.14523111979166667
base,L23H6,-0.21695963541666666
base,L23H3,-0.21695963541666666
base,L23H5,-0.21695963541666666
base,L23H7,-0.21695963541666666
base,L23H1,-0.21695963541666666
base,L23H2,-0.21695963541666666
base,L23H4,-0.21695963541666666
base,L23H0,-0.21695963541666666
PT2_COREDe,L23H6,-0.22511393229166668
PT2_COREDe,L23H5,-0.22511393229166668
PT2_COREDe,L23H0,-0.22511393229166668
PT2_COREDe,L23H2,-0.22511393229166668
PT2_COREDe,L23H4,-0.22511393229166668
PT2_COREDe,L23H1,-0.22511393229166668
PT2_COREDe,L23H7,-0.22511393229166668
PT2_COREDe,L23H3,-0.22511393229166668
PT4_COREDe,L23H7,-0.22574869791666666
PT4_COREDe,L23H5,-0.22574869791666666
PT4_COREDe,L23H2,-0.22574869791666666
PT4_COREDe,L23H6,-0.22574869791666666
PT4_COREDe,L23H0,-0.22574869791666666
PT4_COREDe,L23H3,-0.22574869791666666
PT4_COREDe,L23H4,-0.22574869791666666
PT4_COREDe,L23H1,-0.22574869791666666
PT3_COREDe,L23H4,-0.22677408854166667
PT3_COREDe,L23H3,-0.22677408854166667
PT3_COREDe,L23H0,-0.22677408854166667
PT3_COREDe,L23H6,-0.22677408854166667
PT3_COREDe,L23H5,-0.22677408854166667
PT3_COREDe,L23H2,-0.22677408854166667
PT3_COREDe,L23H1,-0.22677408854166667
PT3_COREDe,L23H7,-0.22677408854166667
PT3_COREUt,L23H1,-0.22867838541666666
PT3_COREUt,L23H5,-0.22867838541666666
PT3_COREUt,L23H2,-0.22867838541666666
PT3_COREUt,L23H3,-0.22867838541666666
PT3_COREUt,L23H4,-0.22867838541666666
PT3_COREUt,L23H7,-0.22867838541666666
PT3_COREUt,L23H6,-0.22867838541666666
PT3_COREUt,L23H0,-0.22867838541666666
PT2_COREDe,L13_MLP,-0.36871744791666666
PT2_COREDe,L21H1,-0.3697916666666667
PT2_COREDe,L21H0,-0.3697916666666667
PT2_COREDe,L21H2,-0.3697916666666667
PT2_COREDe,L21H7,-0.3697916666666667
PT2_COREDe,L21H6,-0.3697916666666667
PT2_COREDe,L21H5,-0.3697916666666667
PT2_COREDe,L21H4,-0.3697916666666667
PT2_COREDe,L21H3,-0.3697916666666667
PT3_COREUt,L21H6,-0.3703125
PT3_COREUt,L21H7,-0.3703125
PT3_COREUt,L21H1,-0.3703125
PT3_COREUt,L21H2,-0.3703125
PT3_COREUt,L21H0,-0.3703125
PT3_COREUt,L21H5,-0.3703125
PT3_COREUt,L21H3,-0.3703125
PT3_COREUt,L21H4,-0.3703125
base,L21H0,-0.3704427083333333
base,L21H1,-0.3704427083333333
base,L21H2,-0.3704427083333333
base,L21H3,-0.3704427083333333
base,L21H4,-0.3704427083333333
base,L21H5,-0.3704427083333333
base,L21H6,-0.3704427083333333
base,L21H7,-0.3704427083333333
PT3_COREDe,L21H1,-0.3709635416666667
PT3_COREDe,L21H2,-0.3709635416666667
PT3_COREDe,L21H3,-0.3709635416666667
PT3_COREDe,L21H4,-0.3709635416666667
PT3_COREDe,L21H5,-0.3709635416666667
PT3_COREDe,L21H6,-0.3709635416666667
PT3_COREDe,L21H7,-0.3709635416666667
PT3_COREDe,L21H0,-0.3709635416666667
PT4_COREDe,L21H2,-0.3734375
PT4_COREDe,L21H3,-0.3734375
PT4_COREDe,L21H0,-0.3734375
PT4_COREDe,L21H1,-0.3734375
PT4_COREDe,L21H4,-0.3734375
PT4_COREDe,L21H7,-0.3734375
PT4_COREDe,L21H6,-0.3734375
PT4_COREDe,L21H5,-0.3734375
base,L13_MLP,-0.3787434895833333
PT4_COREDe,L13_MLP,-0.4072265625
PT3_COREUt,L13_MLP,-0.40797526041666665
PT3_COREDe,L13_MLP,-0.415625
PT4_COREDe,L1_MLP,-0.42604166666666665
PT3_COREUt,L1_MLP,-0.426171875
base,L1_MLP,-0.42630208333333336
PT2_COREDe,L1_MLP,-0.429296875
PT3_COREDe,L1_MLP,-0.4300130208333333
PT3_COREUt,L12H1,-0.539453125
PT3_COREUt,L12H7,-0.539453125
PT3_COREUt,L12H0,-0.539453125
PT3_COREUt,L12H4,-0.539453125
PT3_COREUt,L12H5,-0.539453125
PT3_COREUt,L12H2,-0.539453125
PT3_COREUt,L12H6,-0.539453125
PT3_COREUt,L12H3,-0.539453125
PT2_COREDe,L12H3,-0.541796875
PT2_COREDe,L12H2,-0.541796875
PT2_COREDe,L12H0,-0.541796875
PT2_COREDe,L12H6,-0.541796875
PT2_COREDe,L12H5,-0.541796875
PT2_COREDe,L12H7,-0.541796875
PT2_COREDe,L12H1,-0.541796875
PT2_COREDe,L12H4,-0.541796875
PT3_COREDe,L12H5,-0.5419270833333333
PT3_COREDe,L12H2,-0.5419270833333333
PT3_COREDe,L12H1,-0.5419270833333333
PT3_COREDe,L12H3,-0.5419270833333333
PT3_COREDe,L12H4,-0.5419270833333333
PT3_COREDe,L12H7,-0.5419270833333333
PT3_COREDe,L12H6,-0.5419270833333333
PT3_COREDe,L12H0,-0.5419270833333333
PT4_COREDe,L12H5,-0.5471354166666667
PT4_COREDe,L12H3,-0.5471354166666667
PT4_COREDe,L12H1,-0.5471354166666667
PT4_COREDe,L12H7,-0.5471354166666667
PT4_COREDe,L12H4,-0.5471354166666667
PT4_COREDe,L12H2,-0.5471354166666667
PT4_COREDe,L12H0,-0.5471354166666667
PT4_COREDe,L12H6,-0.5471354166666667
base,L12H5,-0.5493489583333333
base,L12H6,-0.5493489583333333
base,L12H3,-0.5493489583333333
base,L12H2,-0.5493489583333333
base,L12H1,-0.5493489583333333
base,L12H4,-0.5493489583333333
base,L12H0,-0.5493489583333333
base,L12H7,-0.5493489583333333
PT4_COREDe,L18_MLP,-0.56171875
PT3_COREDe,L18_MLP,-0.5711588541666667
base,L18_MLP,-0.5904947916666666
PT2_COREDe,L18_MLP,-0.5908854166666667
PT3_COREUt,L18_MLP,-0.5951822916666667
base,L4H1,-0.6528645833333333
base,L4H2,-0.6528645833333333
base,L4H0,-0.6528645833333333
base,L4H5,-0.6528645833333333
base,L4H7,-0.6528645833333333
base,L4H4,-0.6528645833333333
base,L4H3,-0.6528645833333333
base,L4H6,-0.6528645833333333
PT4_COREDe,L4H3,-0.653125
PT4_COREDe,L4H7,-0.653125
PT4_COREDe,L4H6,-0.653125
PT4_COREDe,L4H4,-0.653125
PT4_COREDe,L4H5,-0.653125
PT4_COREDe,L4H2,-0.653125
PT4_COREDe,L4H1,-0.653125
PT4_COREDe,L4H0,-0.653125
PT3_COREDe,L4H1,-0.6536458333333334
PT3_COREDe,L4H0,-0.6536458333333334
PT3_COREDe,L4H6,-0.6536458333333334
PT3_COREDe,L4H2,-0.6536458333333334
PT3_COREDe,L4H5,-0.6536458333333334
PT3_COREDe,L4H3,-0.6536458333333334
PT3_COREDe,L4H4,-0.6536458333333334
PT3_COREDe,L4H7,-0.6536458333333334
PT2_COREDe,L4H6,-0.65390625
PT2_COREDe,L4H3,-0.65390625
PT2_COREDe,L4H0,-0.65390625
PT2_COREDe,L4H2,-0.65390625
PT2_COREDe,L4H1,-0.65390625
PT2_COREDe,L4H7,-0.65390625
PT2_COREDe,L4H4,-0.65390625
PT2_COREDe,L4H5,-0.65390625
PT3_COREUt,L4H6,-0.6546875
PT3_COREUt,L4H5,-0.6546875
PT3_COREUt,L4H3,-0.6546875
PT3_COREUt,L4H1,-0.6546875
PT3_COREUt,L4H0,-0.6546875
PT3_COREUt,L4H4,-0.6546875
PT3_COREUt,L4H2,-0.6546875
PT3_COREUt,L4H7,-0.6546875
PT2_COREDe,L19H4,-0.7622395833333333
PT2_COREDe,L19H2,-0.7622395833333333
PT2_COREDe,L19H1,-0.7622395833333333
PT2_COREDe,L19H3,-0.7622395833333333
PT2_COREDe,L19H0,-0.7622395833333333
PT2_COREDe,L19H7,-0.7622395833333333
PT2_COREDe,L19H6,-0.7622395833333333
PT2_COREDe,L19H5,-0.7622395833333333
PT3_COREUt,L19H1,-0.7645833333333333
PT3_COREUt,L19H0,-0.7645833333333333
PT3_COREUt,L19H7,-0.7645833333333333
PT3_COREUt,L19H5,-0.7645833333333333
PT3_COREUt,L19H4,-0.7645833333333333
PT3_COREUt,L19H6,-0.7645833333333333
PT3_COREUt,L19H3,-0.7645833333333333
PT3_COREUt,L19H2,-0.7645833333333333
base,L19H1,-0.7651041666666667
base,L19H5,-0.7651041666666667
base,L19H4,-0.7651041666666667
base,L19H7,-0.7651041666666667
base,L19H2,-0.7651041666666667
base,L19H3,-0.7651041666666667
base,L19H6,-0.7651041666666667
base,L19H0,-0.7651041666666667
PT3_COREDe,L19H5,-0.76640625
PT3_COREDe,L19H2,-0.76640625
PT3_COREDe,L19H4,-0.76640625
PT3_COREDe,L19H3,-0.76640625
PT3_COREDe,L19H1,-0.76640625
PT3_COREDe,L19H0,-0.76640625
PT3_COREDe,L19H7,-0.76640625
PT3_COREDe,L19H6,-0.76640625
PT4_COREDe,L19H1,-0.76796875
PT4_COREDe,L19H5,-0.76796875
PT4_COREDe,L19H2,-0.76796875
PT4_COREDe,L19H3,-0.76796875
PT4_COREDe,L19H7,-0.76796875
PT4_COREDe,L19H6,-0.76796875
PT4_COREDe,L19H4,-0.76796875
PT4_COREDe,L19H0,-0.76796875
base,L14_MLP,-0.8865234375
PT3_COREUt,L14_MLP,-0.89677734375
PT4_COREDe,L14_MLP,-0.8968424479166667
PT3_COREDe,L14_MLP,-0.9142903645833333
PT2_COREDe,L14_MLP,-0.9162638346354167
PT3_COREUt,L10H2,-1.3276041666666667
PT3_COREUt,L10H7,-1.3276041666666667
PT3_COREUt,L10H4,-1.3276041666666667
PT3_COREUt,L10H0,-1.3276041666666667
PT3_COREUt,L10H1,-1.3276041666666667
PT3_COREUt,L10H6,-1.3276041666666667
PT3_COREUt,L10H3,-1.3276041666666667
PT3_COREUt,L10H5,-1.3276041666666667
PT3_COREDe,L10H1,-1.3296875
PT3_COREDe,L10H5,-1.3296875
PT3_COREDe,L10H3,-1.3296875
PT3_COREDe,L10H6,-1.3296875
PT3_COREDe,L10H4,-1.3296875
PT3_COREDe,L10H2,-1.3296875
PT3_COREDe,L10H7,-1.3296875
PT3_COREDe,L10H0,-1.3296875
PT4_COREDe,L10H2,-1.3307291666666667
PT4_COREDe,L10H4,-1.3307291666666667
PT4_COREDe,L10H0,-1.3307291666666667
PT4_COREDe,L10H6,-1.3307291666666667
PT4_COREDe,L10H5,-1.3307291666666667
PT4_COREDe,L10H3,-1.3307291666666667
PT4_COREDe,L10H1,-1.3307291666666667
PT4_COREDe,L10H7,-1.3307291666666667
base,L10H3,-1.33125
base,L10H0,-1.33125
base,L10H1,-1.33125
base,L10H7,-1.33125
base,L10H2,-1.33125
base,L10H5,-1.33125
base,L10H4,-1.33125
base,L10H6,-1.33125
PT2_COREDe,L10H1,-1.3333333333333333
PT2_COREDe,L10H0,-1.3333333333333333
PT2_COREDe,L10H2,-1.3333333333333333
PT2_COREDe,L10H7,-1.3333333333333333
PT2_COREDe,L10H6,-1.3333333333333333
PT2_COREDe,L10H4,-1.3333333333333333
PT2_COREDe,L10H3,-1.3333333333333333
PT2_COREDe,L10H5,-1.3333333333333333
PT3_COREDe,L22_MLP,-1.9807291666666667
PT4_COREDe,L22_MLP,-1.9854166666666666
PT3_COREUt,L22_MLP,-1.9854166666666666
PT2_COREDe,L22_MLP,-1.9895833333333333
base,L22_MLP,-2.0015625
PT2_COREDe,L23_MLP,-2.453125
base,L23_MLP,-2.459375
PT3_COREDe,L23_MLP,-2.4760416666666667
PT3_COREUt,L23_MLP,-2.4791666666666665
PT4_COREDe,L23_MLP,-2.4875
PT3_COREUt,L25_MLP,-2.5083333333333333
PT4_COREDe,L25_MLP,-2.511458333333333
PT3_COREDe,L25_MLP,-2.5145833333333334
PT2_COREDe,L25_MLP,-2.515625
base,L25_MLP,-2.5229166666666667
base,L5_MLP,-2.965625
PT3_COREDe,L5_MLP,-2.9739583333333335
PT2_COREDe,L5_MLP,-2.9770833333333333
PT4_COREDe,L5_MLP,-2.978125
PT3_COREUt,L5_MLP,-2.9791666666666665
PT4_COREDe,L4_MLP,-3.371875
PT3_COREDe,L4_MLP,-3.372916666666667
PT2_COREDe,L4_MLP,-3.372916666666667
base,L4_MLP,-3.377083333333333
PT3_COREUt,L4_MLP,-3.377083333333333
PT4_COREDe,L2_MLP,-3.660416666666667
base,L2_MLP,-3.6614583333333335
PT2_COREDe,L2_MLP,-3.6614583333333335
PT3_COREDe,L2_MLP,-3.6614583333333335
PT3_COREUt,L2_MLP,-3.6645833333333333
PT4_COREDe,L19_MLP,-3.863541666666667
base,L19_MLP,-3.8645833333333335
PT3_COREDe,L19_MLP,-3.870833333333333
PT2_COREDe,L19_MLP,-3.871875
PT3_COREUt,L19_MLP,-3.872916666666667
PT3_COREUt,L7_MLP,-6.20625
PT4_COREDe,L7_MLP,-6.214583333333334
PT2_COREDe,L7_MLP,-6.225
base,L7_MLP,-6.23125
PT3_COREDe,L7_MLP,-6.2375
base,L9_MLP,-8.566666666666666
PT3_COREUt,L9_MLP,-8.595833333333333
PT4_COREDe,L9_MLP,-8.602083333333333
PT3_COREDe,L9_MLP,-8.60625
PT2_COREDe,L9_MLP,-8.616666666666667
