model,component,contribution
PT3_COREDe,L17H6,0.8932291666666666
PT3_COREDe,L17H1,0.8932291666666666
PT3_COREDe,L17H3,0.8932291666666666
PT3_COREDe,L17H4,0.8932291666666666
PT3_COREDe,L17H5,0.8932291666666666
PT4_COREDe,L15H5,0.8768229166666667
PT4_COREDe,L15H4,0.8768229166666667
PT4_COREDe,L15H7,0.8768229166666667
PT4_COREDe,L15H6,0.8768229166666667
PT4_COREDe,L15H2,0.8768229166666667
PT4_COREDe,L15H3,0.8768229166666667
PT4_COREDe,L15H0,0.8768229166666667
PT4_COREDe,L15H1,0.8768229166666667
base,L15H7,0.8765625
base,L15H6,0.8765625
PT3_COREDe,L15H6,0.8765625
PT3_COREDe,L15H0,0.8765625
PT3_COREUt,L15H7,0.8765625
PT3_COREUt,L15H4,0.8765625
PT3_COREUt,L15H3,0.8765625
PT3_COREDe,L15H3,0.8765625
PT3_COREDe,L15H2,0.8765625
PT3_COREDe,L15H5,0.8765625
PT3_COREDe,L15H4,0.8765625
PT3_COREDe,L15H7,0.8765625
PT3_COREDe,L15H1,0.8765625
PT3_COREUt,L15H6,0.8765625
PT3_COREUt,L15H5,0.8765625
base,L15H5,0.8765625
base,L15H4,0.8765625
base,L15H0,0.8765625
base,L15H3,0.8765625
base,L15H2,0.8765625
base,L15H1,0.8765625
PT3_COREUt,L15H0,0.8765625
PT3_COREUt,L15H2,0.8765625
PT3_COREUt,L15H1,0.8765625
PT2_COREDe,L15H5,0.8731770833333333
PT2_COREDe,L15H7,0.8731770833333333
PT2_COREDe,L15H3,0.8731770833333333
PT2_COREDe,L15H6,0.8731770833333333
PT2_COREDe,L15H1,0.8731770833333333
PT2_COREDe,L15H4,0.8731770833333333
PT2_COREDe,L15H0,0.8731770833333333
PT2_COREDe,L15H2,0.8731770833333333
PT3_COREDe,L7H4,0.7872395833333333
PT3_COREDe,L7H5,0.7872395833333333
PT3_COREDe,L7H6,0.7872395833333333
PT3_COREDe,L7H1,0.7872395833333333
PT3_COREDe,L7H7,0.7872395833333333
PT3_COREDe,L7H0,0.7872395833333333
PT3_COREDe,L7H2,0.7872395833333333
PT3_COREDe,L7H3,0.7872395833333333
PT2_COREDe,L7H3,0.7856770833333333
PT2_COREDe,L7H1,0.7856770833333333
PT2_COREDe,L7H4,0.7856770833333333
PT2_COREDe,L7H2,0.7856770833333333
PT2_COREDe,L7H0,0.7856770833333333
PT2_COREDe,L7H5,0.7856770833333333
PT2_COREDe,L7H7,0.7856770833333333
PT2_COREDe,L7H6,0.7856770833333333
PT4_COREDe,L7H5,0.7838541666666666
