model,mean_L0_delta,std_L0_delta,mean_L3_delta,std_L3_delta,mean_L9_delta,std_L9_delta,mean_L9_dip_magnitude,std_L9_dip_magnitude,min_L9_delta,max_L9_delta,mean_final_delta,std_final_delta
base,-7.5,0.03897559777889526,-0.365625,0.02978328844894958,-5.816601562499999,0.08651679946163189,5.4509765625,0.11323952326572569,-5.904947916666667,-5.672200520833333,-1.10546875,0.2844523155924735
PT2_COREDe,-7.479166666666666,0.04885849749816079,-0.38125000000000003,0.031979336318768224,-5.9318359375,0.07692615877808492,5.5505859375,0.10809144623405285,-6.009765625,-5.8037109375,4.666927083333333,3.340739021698681
PT3_COREDe,-7.5041666666666655,0.037267799624996586,-0.4447916666666667,0.04208771635591024,-5.273046875,0.07778599408060857,4.828255208333333,0.11834229198088507,-5.354817708333333,-5.145182291666667,-3.7111979166666673,0.40592241692038317
PT3_COREUt,-7.479166666666667,0.03897559777889538,-0.4020833333333333,0.031979336318768245,-5.433138020833334,0.09027955143156176,5.0310546875,0.12203376188907152,-5.5234375,-5.280924479166667,-1.5208333333333333,0.22435164107749836
PT4_COREDe,-7.491666666666667,0.0456435464587638,-0.32708333333333334,0.039562768780901966,-5.447005208333333,0.0783425248617532,5.119921874999999,0.11706210739306168,-5.531901041666667,-5.318359375,-0.3234375,4.186951923087964
