Experiment,Mean_Delta,Std_Delta,Max_Delta,Behavioral_Flips,Pro_Defect_Pct
PT2→De,-0.012010327635327635,0.03501529762022928,0.109375,0,25.156695156695157
PT2→Ut,0.0004718660968660969,0.03935312313191544,0.125,0,39.48717948717949
De→Ut,0.002666488603988604,0.037556487587775855,0.140625,0,42.47863247863248
Ut→De,-0.01087962962962963,0.03689435857578867,0.125,0,26.125356125356124
