Component,De_to_Ut,Ut_to_De,Max_Effect,Asymmetry
L12H0,-0.003125,-0.03333333333333333,0.03333333333333333,0.036458333333333336
L12H7,-0.003125,-0.03333333333333333,0.03333333333333333,0.036458333333333336
L12H2,-0.003125,-0.03333333333333333,0.03333333333333333,0.036458333333333336
L12H6,-0.003125,-0.03333333333333333,0.03333333333333333,0.036458333333333336
L12H1,-0.003125,-0.03333333333333333,0.03333333333333333,0.036458333333333336
L12H5,-0.003125,-0.03333333333333333,0.03333333333333333,0.036458333333333336
L12H4,-0.003125,-0.03333333333333333,0.03333333333333333,0.036458333333333336
L12H3,-0.003125,-0.03333333333333333,0.03333333333333333,0.036458333333333336
L25H7,0.028125,-0.027083333333333334,0.028125,0.0010416666666666664
L25H6,0.028125,-0.027083333333333334,0.028125,0.0010416666666666664
L25H5,0.028125,-0.027083333333333334,0.028125,0.0010416666666666664
L25H4,0.028125,-0.027083333333333334,0.028125,0.0010416666666666664
L25H3,0.028125,-0.027083333333333334,0.028125,0.0010416666666666664
L25H2,0.028125,-0.027083333333333334,0.028125,0.0010416666666666664
L25H1,0.028125,-0.027083333333333334,0.028125,0.0010416666666666664
L25H0,0.028125,-0.027083333333333334,0.028125,0.0010416666666666664
L2H7,0.019791666666666666,-0.026041666666666668,0.026041666666666668,0.006250000000000002
L2H6,0.019791666666666666,-0.026041666666666668,0.026041666666666668,0.006250000000000002
L2H5,0.019791666666666666,-0.026041666666666668,0.026041666666666668,0.006250000000000002
L2H4,0.019791666666666666,-0.026041666666666668,0.026041666666666668,0.006250000000000002
L2H3,0.019791666666666666,-0.026041666666666668,0.026041666666666668,0.006250000000000002
L2H2,0.019791666666666666,-0.026041666666666668,0.026041666666666668,0.006250000000000002
L2H0,0.019791666666666666,-0.026041666666666668,0.026041666666666668,0.006250000000000002
L23_MLP,0.019791666666666666,-0.026041666666666668,0.026041666666666668,0.006250000000000002
L2H1,0.019791666666666666,-0.026041666666666668,0.026041666666666668,0.006250000000000002
L6_MLP,-0.023958333333333335,-0.0125,0.023958333333333335,0.036458333333333336
L18_MLP,0.014583333333333334,-0.023958333333333335,0.023958333333333335,0.009375000000000001
L5_MLP,-0.0125,-0.022916666666666665,0.022916666666666665,0.035416666666666666
L13H3,-0.021875,0.004166666666666667,0.021875,0.017708333333333333
L13H2,-0.021875,0.004166666666666667,0.021875,0.017708333333333333
L13H4,-0.021875,0.004166666666666667,0.021875,0.017708333333333333
L13H5,-0.021875,0.004166666666666667,0.021875,0.017708333333333333
L13H6,-0.021875,0.004166666666666667,0.021875,0.017708333333333333
L13H7,-0.021875,0.004166666666666667,0.021875,0.017708333333333333
L13H0,-0.021875,0.004166666666666667,0.021875,0.017708333333333333
L13H1,-0.021875,0.004166666666666667,0.021875,0.017708333333333333
L19_MLP,0.013541666666666667,-0.021875,0.021875,0.008333333333333331
L7H4,-0.008333333333333333,-0.020833333333333332,0.020833333333333332,0.029166666666666667
L7H0,-0.008333333333333333,-0.020833333333333332,0.020833333333333332,0.029166666666666667
L7H2,-0.008333333333333333,-0.020833333333333332,0.020833333333333332,0.029166666666666667
L7H3,-0.008333333333333333,-0.020833333333333332,0.020833333333333332,0.029166666666666667
L7H5,-0.008333333333333333,-0.020833333333333332,0.020833333333333332,0.029166666666666667
L7H6,-0.008333333333333333,-0.020833333333333332,0.020833333333333332,0.029166666666666667
L7H7,-0.008333333333333333,-0.020833333333333332,0.020833333333333332,0.029166666666666667
L7H1,-0.008333333333333333,-0.020833333333333332,0.020833333333333332,0.029166666666666667
L23H5,0.003125,-0.019791666666666666,0.019791666666666666,0.016666666666666666
L23H7,0.003125,-0.019791666666666666,0.019791666666666666,0.016666666666666666
L23H4,0.003125,-0.019791666666666666,0.019791666666666666,0.016666666666666666
L23H3,0.003125,-0.019791666666666666,0.019791666666666666,0.016666666666666666
L23H2,0.003125,-0.019791666666666666,0.019791666666666666,0.016666666666666666
L4H1,0.019791666666666666,-0.017708333333333333,0.019791666666666666,0.002083333333333333
L23H1,0.003125,-0.019791666666666666,0.019791666666666666,0.016666666666666666
L23H0,0.003125,-0.019791666666666666,0.019791666666666666,0.016666666666666666
L23H6,0.003125,-0.019791666666666666,0.019791666666666666,0.016666666666666666
L4H0,0.019791666666666666,-0.017708333333333333,0.019791666666666666,0.002083333333333333
L5H7,0.019791666666666666,-0.01875,0.019791666666666666,0.0010416666666666664
L4H7,0.019791666666666666,-0.017708333333333333,0.019791666666666666,0.002083333333333333
L4H2,0.019791666666666666,-0.017708333333333333,0.019791666666666666,0.002083333333333333
L4H3,0.019791666666666666,-0.017708333333333333,0.019791666666666666,0.002083333333333333
L5H6,0.019791666666666666,-0.01875,0.019791666666666666,0.0010416666666666664
L4H5,0.019791666666666666,-0.017708333333333333,0.019791666666666666,0.002083333333333333
L4H6,0.019791666666666666,-0.017708333333333333,0.019791666666666666,0.002083333333333333
L4H4,0.019791666666666666,-0.017708333333333333,0.019791666666666666,0.002083333333333333
L5H0,0.019791666666666666,-0.01875,0.019791666666666666,0.0010416666666666664
L5H1,0.019791666666666666,-0.01875,0.019791666666666666,0.0010416666666666664
L5H2,0.019791666666666666,-0.01875,0.019791666666666666,0.0010416666666666664
L5H3,0.019791666666666666,-0.01875,0.019791666666666666,0.0010416666666666664
L5H4,0.019791666666666666,-0.01875,0.019791666666666666,0.0010416666666666664
L5H5,0.019791666666666666,-0.01875,0.019791666666666666,0.0010416666666666664
L3_MLP,-0.017708333333333333,-0.003125,0.017708333333333333,0.020833333333333332
L21H7,0.009375,-0.017708333333333333,0.017708333333333333,0.008333333333333333
L21H6,0.009375,-0.017708333333333333,0.017708333333333333,0.008333333333333333
L21H5,0.009375,-0.017708333333333333,0.017708333333333333,0.008333333333333333
L21H4,0.009375,-0.017708333333333333,0.017708333333333333,0.008333333333333333
L21H3,0.009375,-0.017708333333333333,0.017708333333333333,0.008333333333333333
L21H2,0.009375,-0.017708333333333333,0.017708333333333333,0.008333333333333333
L21H1,0.009375,-0.017708333333333333,0.017708333333333333,0.008333333333333333
L0H1,-0.017708333333333333,-0.009375,0.017708333333333333,0.027083333333333334
L0H0,-0.017708333333333333,-0.009375,0.017708333333333333,0.027083333333333334
L21H0,0.009375,-0.017708333333333333,0.017708333333333333,0.008333333333333333
L0H6,-0.017708333333333333,-0.009375,0.017708333333333333,0.027083333333333334
L0H7,-0.017708333333333333,-0.009375,0.017708333333333333,0.027083333333333334
L0H2,-0.017708333333333333,-0.009375,0.017708333333333333,0.027083333333333334
L0H3,-0.017708333333333333,-0.009375,0.017708333333333333,0.027083333333333334
L0H4,-0.017708333333333333,-0.009375,0.017708333333333333,0.027083333333333334
L0H5,-0.017708333333333333,-0.009375,0.017708333333333333,0.027083333333333334
L12_MLP,-0.00625,-0.016666666666666666,0.016666666666666666,0.02291666666666667
L6H0,0.0010416666666666667,-0.016666666666666666,0.016666666666666666,0.015625
L6H1,0.0010416666666666667,-0.016666666666666666,0.016666666666666666,0.015625
L6H2,0.0010416666666666667,-0.016666666666666666,0.016666666666666666,0.015625
L6H3,0.0010416666666666667,-0.016666666666666666,0.016666666666666666,0.015625
L6H4,0.0010416666666666667,-0.016666666666666666,0.016666666666666666,0.015625
L6H5,0.0010416666666666667,-0.016666666666666666,0.016666666666666666,0.015625
L6H6,0.0010416666666666667,-0.016666666666666666,0.016666666666666666,0.015625
L6H7,0.0010416666666666667,-0.016666666666666666,0.016666666666666666,0.015625
L8H0,-0.016666666666666666,-0.009375,0.016666666666666666,0.026041666666666664
L8H1,-0.016666666666666666,-0.009375,0.016666666666666666,0.026041666666666664
L8H2,-0.016666666666666666,-0.009375,0.016666666666666666,0.026041666666666664
L8H3,-0.016666666666666666,-0.009375,0.016666666666666666,0.026041666666666664
L8H4,-0.016666666666666666,-0.009375,0.016666666666666666,0.026041666666666664
L8H5,-0.016666666666666666,-0.009375,0.016666666666666666,0.026041666666666664
L8H6,-0.016666666666666666,-0.009375,0.016666666666666666,0.026041666666666664
L8H7,-0.016666666666666666,-0.009375,0.016666666666666666,0.026041666666666664
L15H3,0.015625,-0.010416666666666666,0.015625,0.005208333333333334
L15H7,0.015625,-0.010416666666666666,0.015625,0.005208333333333334
L15H6,0.015625,-0.010416666666666666,0.015625,0.005208333333333334
L15H5,0.015625,-0.010416666666666666,0.015625,0.005208333333333334
L15H4,0.015625,-0.010416666666666666,0.015625,0.005208333333333334
L15H2,0.015625,-0.010416666666666666,0.015625,0.005208333333333334
L15H1,0.015625,-0.010416666666666666,0.015625,0.005208333333333334
L15H0,0.015625,-0.010416666666666666,0.015625,0.005208333333333334
L0_MLP,-0.004166666666666667,-0.015625,0.015625,0.019791666666666666
L15_MLP,-0.015625,-0.0010416666666666667,0.015625,0.016666666666666666
L18H0,0.0020833333333333333,-0.014583333333333334,0.014583333333333334,0.0125
L20_MLP,0.014583333333333334,-0.011458333333333333,0.014583333333333334,0.003125000000000001
L17_MLP,-0.003125,-0.014583333333333334,0.014583333333333334,0.017708333333333333
L18H1,0.0020833333333333333,-0.014583333333333334,0.014583333333333334,0.0125
L18H2,0.0020833333333333333,-0.014583333333333334,0.014583333333333334,0.0125
L18H3,0.0020833333333333333,-0.014583333333333334,0.014583333333333334,0.0125
L18H4,0.0020833333333333333,-0.014583333333333334,0.014583333333333334,0.0125
L18H5,0.0020833333333333333,-0.014583333333333334,0.014583333333333334,0.0125
L18H6,0.0020833333333333333,-0.014583333333333334,0.014583333333333334,0.0125
L18H7,0.0020833333333333333,-0.014583333333333334,0.014583333333333334,0.0125
