model_id,model_name,total_modules,mean_norm,median_norm,max_norm,mlp_mean_norm,attn_mean_norm,l2_mlp_total_norm,l2_mlp_percentile,early_mlp_mean,middle_mlp_mean,late_mlp_mean
PT2_COREDe,Strategic,182,0.03748468124399801,0.028646943159401417,0.0977722778916359,0.054132324356872305,0.02499894890934229,0.12231717444956303,23.076923076923077,0.04076693255316328,0.05131146380746806,0.07234185825412472
PT3_COREDe,Deontological,182,0.04490827800767435,0.03486129827797413,0.10186856240034103,0.06384639117198113,0.030704693134444263,0.15281776525080204,26.923076923076923,0.050745416708566526,0.06434821558219415,0.0780204349818329
PT3_COREUt,Utilitarian,182,0.07070338971667238,0.054074306041002274,0.17772918939590454,0.09964953936063327,0.048993777483701706,0.2237313911318779,11.538461538461538,0.07653567498480832,0.09238787712874236,0.13382200679431358
PT4_COREDe,Hybrid,182,0.07248540735383938,0.058256836608052254,0.178139790892601,0.10349269946798301,0.04922993826823166,0.2337491437792778,11.538461538461538,0.08221690480907758,0.10003658660032132,0.131316095435371
