model_id,layer,module_type,component_name,lora_rank,lora_alpha,frobenius_norm,frobenius_norm_normalized,lora_A_norm,lora_B_norm,effective_scale
PT2_COREDe,0,mlp.gate_proj,L0_MLP_GATE,64,32,0.05081858113408089,0.0005293602201466759,4.616058349609375,0.08725687116384506,0.025409290567040443
PT2_COREDe,0,mlp.up_proj,L0_MLP_UP,64,32,0.04945361241698265,0.0005151417960102359,4.620114803314209,0.08496057987213135,0.024726806208491325
PT2_COREDe,0,mlp.down_proj,L0_MLP_DOWN,64,32,0.02473907172679901,0.000515397327641646,4.624068737030029,0.04274442419409752,0.012369535863399506
PT2_COREDe,0,self_attn.q_proj,L0_ATTN_Q,64,32,0.025107186287641525,0.0005547956775157881,4.6086015701293945,0.04279831424355507,0.012553593143820763
PT2_COREDe,0,self_attn.k_proj,L0_ATTN_K,64,32,0.01834614761173725,0.0005733171128667891,4.62145471572876,0.03140636906027794,0.009173073805868626
PT2_COREDe,0,self_attn.v_proj,L0_ATTN_V,64,32,0.017144514247775078,0.0005357660702429712,4.616645812988281,0.029418960213661194,0.008572257123887539
PT2_COREDe,0,self_attn.o_proj,L0_ATTN_O,64,32,0.024932583793997765,0.0005194288290416201,4.62651252746582,0.04264551028609276,0.012466291896998882
PT2_COREDe,1,mlp.gate_proj,L1_MLP_GATE,64,32,0.04988805949687958,0.0005196672864258289,4.617186069488525,0.08583444356918335,0.02494402974843979
PT2_COREDe,1,mlp.up_proj,L1_MLP_UP,64,32,0.04836738854646683,0.0005038269640256962,4.618356227874756,0.08329994231462479,0.024183694273233414
PT2_COREDe,1,mlp.down_proj,L1_MLP_DOWN,64,32,0.024959387257695198,0.0005199872345353166,4.615413665771484,0.043019894510507584,0.012479693628847599
PT2_COREDe,1,self_attn.q_proj,L1_ATTN_Q,64,32,0.024397747591137886,0.0005391191489803548,4.631348609924316,0.0416133850812912,0.012198873795568943
PT2_COREDe,1,self_attn.k_proj,L1_ATTN_K,64,32,0.017567500472068787,0.0005489843897521496,4.616762638092041,0.029939286410808563,0.008783750236034393
PT2_COREDe,1,self_attn.v_proj,L1_ATTN_V,64,32,0.016107235103845596,0.0005033510969951749,4.6077117919921875,0.027374697849154472,0.008053617551922798
PT2_COREDe,1,self_attn.o_proj,L1_ATTN_O,64,32,0.024730641394853592,0.0005152216957261165,4.621866226196289,0.04233037307858467,0.012365320697426796
PT2_COREDe,2,mlp.gate_proj,L2_MLP_GATE,64,32,0.04962819442152977,0.0005169603585576018,4.62790060043335,0.08477743715047836,0.024814097210764885
PT2_COREDe,2,mlp.up_proj,L2_MLP_UP,64,32,0.048803508281707764,0.0005083698779344559,4.611728191375732,0.08379063010215759,0.024401754140853882
PT2_COREDe,2,mlp.down_proj,L2_MLP_DOWN,64,32,0.023885471746325493,0.0004976139947151145,4.6178202629089355,0.04136580601334572,0.011942735873162746
PT2_COREDe,2,self_attn.q_proj,L2_ATTN_Q,64,32,0.022861409932374954,0.0005051705622083694,4.620010852813721,0.03932012617588043,0.011430704966187477
PT2_COREDe,2,self_attn.k_proj,L2_ATTN_K,64,32,0.016106827184557915,0.0005033383495174348,4.611797332763672,0.0277958195656538,0.008053413592278957
PT2_COREDe,2,self_attn.v_proj,L2_ATTN_V,64,32,0.016111617907881737,0.0005034880596213043,4.6181793212890625,0.02785896323621273,0.008055808953940868
PT2_COREDe,2,self_attn.o_proj,L2_ATTN_O,64,32,0.024056987836956978,0.0005011872466032704,4.610287666320801,0.04124927148222923,0.012028493918478489
PT2_COREDe,3,mlp.gate_proj,L3_MLP_GATE,64,32,0.04882742092013359,0.0005086189679180583,4.616811752319336,0.08404475450515747,0.024413710460066795
PT2_COREDe,3,mlp.up_proj,L3_MLP_UP,64,32,0.04883966222405434,0.000508746481500566,4.619603633880615,0.0834616869688034,0.02441983111202717
PT2_COREDe,3,mlp.down_proj,L3_MLP_DOWN,64,32,0.02411971427500248,0.000502494047395885,4.62052583694458,0.04170798882842064,0.01205985713750124
PT2_COREDe,3,self_attn.q_proj,L3_ATTN_Q,64,32,0.023669427260756493,0.0005230253913400826,4.6185526847839355,0.040614210069179535,0.011834713630378246
PT2_COREDe,3,self_attn.k_proj,L3_ATTN_K,64,32,0.017052872106432915,0.0005329022533260286,4.607582092285156,0.029277119785547256,0.008526436053216457
PT2_COREDe,3,self_attn.v_proj,L3_ATTN_V,64,32,0.015658676624298096,0.0004893336445093155,4.616970539093018,0.026774270460009575,0.007829338312149048
PT2_COREDe,3,self_attn.o_proj,L3_ATTN_O,64,32,0.024779178202152252,0.0005162328792115053,4.6258134841918945,0.04226840287446976,0.012389589101076126
PT2_COREDe,4,mlp.gate_proj,L4_MLP_GATE,64,32,0.0484151616692543,0.000504324600721399,4.614217281341553,0.0833241418004036,0.02420758083462715
PT2_COREDe,4,mlp.up_proj,L4_MLP_UP,64,32,0.04728884994983673,0.000492592186977466,4.61860466003418,0.08191840350627899,0.023644424974918365
PT2_COREDe,4,mlp.down_proj,L4_MLP_DOWN,64,32,0.02352403849363327,0.0004900841352840265,4.61469030380249,0.04070963338017464,0.011762019246816635
PT2_COREDe,4,self_attn.q_proj,L4_ATTN_Q,64,32,0.02343720570206642,0.0005178939713748495,4.613393783569336,0.04030719771981239,0.01171860285103321
PT2_COREDe,4,self_attn.k_proj,L4_ATTN_K,64,32,0.016498520970344543,0.000515578780323267,4.618584156036377,0.028365183621644974,0.008249260485172272
PT2_COREDe,4,self_attn.v_proj,L4_ATTN_V,64,32,0.015270678326487541,0.00047720869770273566,4.626226425170898,0.02628963068127632,0.007635339163243771
PT2_COREDe,4,self_attn.o_proj,L4_ATTN_O,64,32,0.02427573874592781,0.0005057445572068294,4.607536792755127,0.04193701967597008,0.012137869372963905
PT2_COREDe,5,mlp.gate_proj,L5_MLP_GATE,64,32,0.04795408248901367,0.0004995216925938925,4.618935585021973,0.08256012946367264,0.023977041244506836
PT2_COREDe,5,mlp.up_proj,L5_MLP_UP,64,32,0.047739170491695404,0.0004972830259551605,4.617349624633789,0.08165481686592102,0.023869585245847702
