model_id,layer,module_type,component_name,lora_rank,lora_alpha,frobenius_norm,frobenius_norm_normalized,lora_A_norm,lora_B_norm,effective_scale
PT3_COREDe,0,mlp.gate_proj,L0_MLP_GATE,64,32,0.05902869999408722,0.0006148822916050752,4.614408016204834,0.10123550891876221,0.02951434999704361
PT3_COREDe,0,mlp.up_proj,L0_MLP_UP,64,32,0.05680783465504646,0.000591748277656734,4.618823051452637,0.09765245765447617,0.02840391732752323
PT3_COREDe,0,mlp.down_proj,L0_MLP_DOWN,64,32,0.02954607829451561,0.0006155432978024086,4.62414026260376,0.0510292612016201,0.014773039147257805
PT3_COREDe,0,self_attn.q_proj,L0_ATTN_Q,64,32,0.027617450803518295,0.0006102652106954266,4.60690975189209,0.04739648848772049,0.013808725401759148
PT3_COREDe,0,self_attn.k_proj,L0_ATTN_K,64,32,0.018855711445212364,0.0005892409826628864,4.618887901306152,0.032411761581897736,0.009427855722606182
PT3_COREDe,0,self_attn.v_proj,L0_ATTN_V,64,32,0.01982535421848297,0.0006195423193275928,4.614999294281006,0.034171633422374725,0.009912677109241486
PT3_COREDe,0,self_attn.o_proj,L0_ATTN_O,64,32,0.0307129118591547,0.0006398523303990563,4.6258158683776855,0.052529316395521164,0.01535645592957735
PT3_COREDe,1,mlp.gate_proj,L1_MLP_GATE,64,32,0.05985620990395546,0.000623502186499536,4.616400241851807,0.10288884490728378,0.02992810495197773
PT3_COREDe,1,mlp.up_proj,L1_MLP_UP,64,32,0.058174602687358856,0.000605985444659988,4.617875576019287,0.10010625422000885,0.029087301343679428
PT3_COREDe,1,mlp.down_proj,L1_MLP_DOWN,64,32,0.030312664806842804,0.0006315138501425585,4.615434169769287,0.052314210683107376,0.015156332403421402
PT3_COREDe,1,self_attn.q_proj,L1_ATTN_Q,64,32,0.028259340673685074,0.0006244491069444854,4.63026762008667,0.04834222421050072,0.014129670336842537
PT3_COREDe,1,self_attn.k_proj,L1_ATTN_K,64,32,0.02031216025352478,0.0006347550079226494,4.615734100341797,0.034660980105400085,0.01015608012676239
PT3_COREDe,1,self_attn.v_proj,L1_ATTN_V,64,32,0.019194500520825386,0.0005998281412757933,4.607264518737793,0.03269186615943909,0.009597250260412693
PT3_COREDe,1,self_attn.o_proj,L1_ATTN_O,64,32,0.031287793070077896,0.0006518290222932895,4.621503829956055,0.05348934978246689,0.015643896535038948
PT3_COREDe,2,mlp.gate_proj,L2_MLP_GATE,64,32,0.06214325502514839,0.000647325573178629,4.627583980560303,0.10616623610258102,0.031071627512574196
PT3_COREDe,2,mlp.up_proj,L2_MLP_UP,64,32,0.06120085343718529,0.0006375088899706801,4.611350059509277,0.10498350858688354,0.030600426718592644
PT3_COREDe,2,mlp.down_proj,L2_MLP_DOWN,64,32,0.02947365678846836,0.0006140345164264241,4.617742538452148,0.051015447825193405,0.01473682839423418
PT3_COREDe,2,self_attn.q_proj,L2_ATTN_Q,64,32,0.028221681714057922,0.0006236169536405858,4.619509220123291,0.04851425066590309,0.014110840857028961
PT3_COREDe,2,self_attn.k_proj,L2_ATTN_K,64,32,0.019824497401714325,0.0006195155438035727,4.611998558044434,0.034197524189949036,0.009912248700857162
PT3_COREDe,2,self_attn.v_proj,L2_ATTN_V,64,32,0.02047567069530487,0.0006398647092282772,4.618095874786377,0.03544106334447861,0.010237835347652435
PT3_COREDe,2,self_attn.o_proj,L2_ATTN_O,64,32,0.030351601541042328,0.0006323250321050485,4.60954475402832,0.05202144756913185,0.015175800770521164
PT3_COREDe,3,mlp.gate_proj,L3_MLP_GATE,64,32,0.061723411083221436,0.0006429521987835566,4.616158962249756,0.10611952096223831,0.030861705541610718
PT3_COREDe,3,mlp.up_proj,L3_MLP_UP,64,32,0.061223745346069336,0.0006377473473548889,4.61912202835083,0.10449933260679245,0.030611872673034668
PT3_COREDe,3,mlp.down_proj,L3_MLP_DOWN,64,32,0.029826393350958824,0.0006213831948116422,4.620213031768799,0.05156606063246727,0.014913196675479412
PT3_COREDe,3,self_attn.q_proj,L3_ATTN_Q,64,32,0.031104860827326775,0.0006873268130895802,4.619329929351807,0.05314943194389343,0.015552430413663387
PT3_COREDe,3,self_attn.k_proj,L3_ATTN_K,64,32,0.02139059267938137,0.0006684560212306678,4.607605457305908,0.036790188401937485,0.010695296339690685
PT3_COREDe,3,self_attn.v_proj,L3_ATTN_V,64,32,0.019932223483920097,0.000622881983872503,4.6170830726623535,0.0341067761182785,0.009966111741960049
PT3_COREDe,3,self_attn.o_proj,L3_ATTN_O,64,32,0.031201783567667007,0.0006500371576597294,4.625154972076416,0.053300995379686356,0.015600891783833504
PT3_COREDe,4,mlp.gate_proj,L4_MLP_GATE,64,32,0.061442043632268906,0.0006400212878361344,4.61353063583374,0.10566530376672745,0.030721021816134453
PT3_COREDe,4,mlp.up_proj,L4_MLP_UP,64,32,0.05968689173460007,0.0006217384555687507,4.617751598358154,0.10344437509775162,0.029843445867300034
PT3_COREDe,4,mlp.down_proj,L4_MLP_DOWN,64,32,0.030179539695382118,0.0006287404103204608,4.614542484283447,0.05216900259256363,0.015089769847691059
PT3_COREDe,4,self_attn.q_proj,L4_ATTN_Q,64,32,0.030729154124855995,0.0006790247894316326,4.61340856552124,0.052857015281915665,0.015364577062427998
PT3_COREDe,4,self_attn.k_proj,L4_ATTN_K,64,32,0.02188279666006565,0.0006838373956270516,4.618724346160889,0.03761155903339386,0.010941398330032825
PT3_COREDe,4,self_attn.v_proj,L4_ATTN_V,64,32,0.019401470199227333,0.0006062959437258542,4.625715255737305,0.03332763537764549,0.009700735099613667
PT3_COREDe,4,self_attn.o_proj,L4_ATTN_O,64,32,0.03053051047027111,0.0006360523014639815,4.606462478637695,0.05263546481728554,0.015265255235135555
PT3_COREDe,5,mlp.gate_proj,L5_MLP_GATE,64,32,0.0611654631793499,0.0006371402414515615,4.618258476257324,0.1052379310131073,0.03058273158967495
PT3_COREDe,5,mlp.up_proj,L5_MLP_UP,64,32,0.061012689024209976,0.0006355488440021873,4.616730690002441,0.10436166077852249,0.030506344512104988
PT3_COREDe,5,mlp.down_proj,L5_MLP_DOWN,64,32,0.029923079535365105,0.0006233974903201064,4.617003917694092,0.051776278764009476,0.014961539767682552
PT3_COREDe,5,self_attn.q_proj,L5_ATTN_Q,64,32,0.02663203328847885,0.0005884903542209145,4.630679130554199,0.04559732601046562,0.013316016644239426
PT3_COREDe,5,self_attn.k_proj,L5_ATTN_K,64,32,0.01861087791621685,0.0005815899348817766,4.633079528808594,0.031784385442733765,0.009305438958108425
PT3_COREDe,5,self_attn.v_proj,L5_ATTN_V,64,32,0.02026713639497757,0.000633348012343049,4.616702079772949,0.03467414900660515,0.010133568197488785
PT3_COREDe,5,self_attn.o_proj,L5_ATTN_O,64,32,0.031039809808135033,0.0006466627043361465,4.616489410400391,0.053752601146698,0.015519904904067516
PT3_COREDe,6,mlp.gate_proj,L6_MLP_GATE,64,32,0.06243929639458656,0.0006504093374436101,4.609283447265625,0.10652679949998856,0.03121964819729328
PT3_COREDe,6,mlp.up_proj,L6_MLP_UP,64,32,0.06258810311555862,0.0006519594074537357,4.613580226898193,0.10742475092411041,0.03129405155777931
PT3_COREDe,6,mlp.down_proj,L6_MLP_DOWN,64,32,0.030213750898838043,0.0006294531437257925,4.618936538696289,0.05208801105618477,0.015106875449419022
PT3_COREDe,6,self_attn.q_proj,L6_ATTN_Q,64,32,0.028773032128810883,0.000635800191674393,4.628970146179199,0.048852868378162384,0.014386516064405441
PT3_COREDe,6,self_attn.k_proj,L6_ATTN_K,64,32,0.020641684532165527,0.0006450526416301727,4.619175434112549,0.0353744775056839,0.010320842266082764
PT3_COREDe,6,self_attn.v_proj,L6_ATTN_V,64,32,0.02036794275045395,0.0006364982109516859,4.612447738647461,0.03498271480202675,0.010183971375226974
PT3_COREDe,6,self_attn.o_proj,L6_ATTN_O,64,32,0.03191477060317993,0.0006648910542329153,4.629266262054443,0.05420147627592087,0.015957385301589966
PT3_COREDe,7,mlp.gate_proj,L7_MLP_GATE,64,32,0.06195111945271492,0.0006453241609657804,4.6158342361450195,0.10675892978906631,0.03097555972635746
PT3_COREDe,7,mlp.up_proj,L7_MLP_UP,64,32,0.060568276792764664,0.000630919549924632,4.609794616699219,0.10352246463298798,0.030284138396382332
PT3_COREDe,7,mlp.down_proj,L7_MLP_DOWN,64,32,0.0302935391664505,0.0006311153993010521,4.614889144897461,0.05244705453515053,0.01514676958322525
PT3_COREDe,7,self_attn.q_proj,L7_ATTN_Q,64,32,0.03021256811916828,0.0006676097435663871,4.61439847946167,0.05205155536532402,0.01510628405958414
PT3_COREDe,7,self_attn.k_proj,L7_ATTN_K,64,32,0.020643919706344604,0.0006451224908232689,4.612908840179443,0.035240538418293,0.010321959853172302
PT3_COREDe,7,self_attn.v_proj,L7_ATTN_V,64,32,0.02072973921895027,0.000647804350592196,4.615437030792236,0.03571091592311859,0.010364869609475136
PT3_COREDe,7,self_attn.o_proj,L7_ATTN_O,64,32,0.03160920366644859,0.0006585250763843457,4.616487979888916,0.05416931211948395,0.015804601833224297
PT3_COREDe,8,mlp.gate_proj,L8_MLP_GATE,64,32,0.06360548734664917,0.0006625571598609289,4.620467185974121,0.10911838710308075,0.031802743673324585
PT3_COREDe,8,mlp.up_proj,L8_MLP_UP,64,32,0.06358905136585236,0.0006623859517276287,4.611306190490723,0.10873976349830627,0.03179452568292618
PT3_COREDe,8,mlp.down_proj,L8_MLP_DOWN,64,32,0.0321505144238472,0.00066980238383015,4.617556571960449,0.05546359345316887,0.0160752572119236
PT3_COREDe,8,self_attn.q_proj,L8_ATTN_Q,64,32,0.02733965404331684,0.000604126711541361,4.621832370758057,0.04697485640645027,0.01366982702165842
PT3_COREDe,8,self_attn.k_proj,L8_ATTN_K,64,32,0.018503986299037933,0.0005782495718449354,4.630973815917969,0.03174201399087906,0.009251993149518967
PT3_COREDe,8,self_attn.v_proj,L8_ATTN_V,64,32,0.02075619250535965,0.000648631015792489,4.619753360748291,0.035496678203344345,0.010378096252679825
PT3_COREDe,8,self_attn.o_proj,L8_ATTN_O,64,32,0.034443486481904984,0.0007175726350396872,4.62109899520874,0.05800717696547508,0.017221743240952492
PT3_COREDe,9,mlp.gate_proj,L9_MLP_GATE,64,32,0.06616944819688797,0.0006892650853842497,4.6169610023498535,0.11346559226512909,0.033084724098443985
PT3_COREDe,9,mlp.up_proj,L9_MLP_UP,64,32,0.06529268622398376,0.0006801321481664976,4.624198913574219,0.11174958944320679,0.03264634311199188
PT3_COREDe,9,mlp.down_proj,L9_MLP_DOWN,64,32,0.03256159648299217,0.0006783665933956703,4.621789932250977,0.056388236582279205,0.016280798241496086
PT3_COREDe,9,self_attn.q_proj,L9_ATTN_Q,64,32,0.027967046946287155,0.0006179902670463179,4.624378681182861,0.04777270928025246,0.013983523473143578
PT3_COREDe,9,self_attn.k_proj,L9_ATTN_K,64,32,0.01958513632416725,0.0006120355101302266,4.613627910614014,0.03355967253446579,0.009792568162083626
PT3_COREDe,9,self_attn.v_proj,L9_ATTN_V,64,32,0.020150041207671165,0.0006296887877397239,4.621222972869873,0.034977879375219345,0.010075020603835583
PT3_COREDe,9,self_attn.o_proj,L9_ATTN_O,64,32,0.03264546021819115,0.0006801137545456489,4.616473197937012,0.05634443834424019,0.016322730109095573
PT3_COREDe,10,mlp.gate_proj,L10_MLP_GATE,64,32,0.06678644567728043,0.0006956921424716711,4.618271827697754,0.11546085774898529,0.03339322283864021
PT3_COREDe,10,mlp.up_proj,L10_MLP_UP,64,32,0.06740798056125641,0.0007021664641797543,4.6213908195495605,0.11523385345935822,0.033703990280628204
PT3_COREDe,10,mlp.down_proj,L10_MLP_DOWN,64,32,0.03426359221339226,0.0007138248377790054,4.624622821807861,0.05906936153769493,0.01713179610669613
