,Strategic,Deontological,Utilitarian,Hybrid
Strategic,0.0,0.11521350553470933,0.5060320472701166,0.5355556062720328
Deontological,0.11521350553470933,0.0,0.4114269501863742,0.4362427715259984
Utilitarian,0.5060320472701166,0.4114269501863742,0.0,0.12931051105520353
Hybrid,0.5355556062720328,0.4362427715259984,0.12931051105520353,0.0
