scenario,model_id,model_name,n_variants,final_delta_mean,final_delta_std,final_delta_min,final_delta_max,first_decision_layer,stabilization_layer,max_abs_delta,mean_delta,seq_delta_logp_mean,seq_delta_logp_std,seq_delta_logp_min,seq_delta_logp_max,seq_p_action2_mean
CC_continue,base,Base (no FT),3,-1.3854166666666667,0.07365695637359869,-1.4375,-1.28125,0,17,7.5,-2.9156149839743595,2.2916661034987826,0.7660307654531858,1.7500005546493134,3.3749972011977216,0.8902732253084785
CC_continue,PT2_COREDe,Strategic,3,-1.4479166666666667,0.11785113019775792,-1.53125,-1.28125,0,17,7.5,-2.926864232772436,2.416665407755117,0.7660303973283623,1.8750001192092063,3.4999959848469375,0.9015864006985098
CC_continue,PT3_COREDe,Deontological,3,-1.4375,0.13258252147247765,-1.53125,-1.25,0,17,7.5,-2.924554286858974,2.3749993581311695,0.7071057259344782,1.8750001043070634,3.374997865779381,0.9003284989963706
CC_continue,PT3_COREUt,Utilitarian,3,-1.4479166666666667,0.11785113019775792,-1.53125,-1.28125,0,17,7.5,-2.9124724559294872,2.3333318859913708,0.824955780240527,1.7500000596042549,3.4999955387656025,0.891531087095022
CC_continue,PT4_COREDe,Hybrid,3,-1.4166666666666667,0.11785113019775792,-1.5,-1.25,0,17,7.5,-2.9114583333333335,2.208333440014253,0.8249563961759785,1.6250011780950027,3.374997963852754,0.8792937848463941
CC_temptation,base,Base (no FT),3,-0.9375,0.30935921676911454,-1.15625,-0.5,0,20,7.5,-2.49169921875,3.729167960059718,0.3240904173930779,3.5000014282034937,4.187501023772166,0.9754728494203694
CC_temptation,PT2_COREDe,Strategic,3,-0.8958333333333334,0.32409060804383427,-1.125,-0.4375,0,20,7.666666666666667,-2.516376201923076,3.7916680708039583,0.23570209482635512,3.625001521212368,4.125001169987139,0.977392996376715
CC_temptation,PT3_COREDe,Deontological,3,-0.8333333333333334,0.2798964342196751,-1.03125,-0.4375,0,20,7.5,-2.4918557191506405,3.8958340857739375,0.2062396849028496,3.7500006060293556,4.187501045263101,0.9796960720656789
CC_temptation,PT3_COREUt,Utilitarian,3,-0.9375,0.30935921676911454,-1.15625,-0.5,0,20,7.5,-2.5107171474358974,3.93750069610863,0.2651652789376144,3.75000052923662,4.3125010298526485,0.9802741585424087
CC_temptation,PT4_COREDe,Hybrid,3,-0.9166666666666666,0.338821999318554,-1.15625,-0.4375,0,20,7.5,-2.5089142628205128,3.9375002380986714,0.2651653559596798,3.7500000167638374,4.31250068076834,0.9802741493543227
CD_punished,base,Base (no FT),3,-1.375,0.13258252147247765,-1.46875,-1.1875,0,17,7.5,-2.8245442708333335,0.6666670656514393,0.9428088121407385,5.612242892638619e-07,2.0000000745057394,0.6269324554708838
CD_punished,PT2_COREDe,Strategic,3,-1.4166666666666667,0.11785113019775792,-1.5,-1.25,0,17,7.5,-2.8636474609375,0.8750002047957149,1.0606587381734367,0.12500121850851098,2.3749981773701228,0.6591067222386825
CD_punished,PT3_COREDe,Deontological,3,-1.4270833333333333,0.1473139127471974,-1.53125,-1.21875,0,17,7.5,-2.8372896634615383,0.749999080751364,1.0606595722159429,-4.952929519852489e-07,2.249998232839996,0.6348833783409055
CD_punished,PT3_COREUt,Utilitarian,3,-1.3958333333333333,0.1473139127471974,-1.5,-1.1875,0,17,7.5,-2.854755108173076,0.7083331465522157,1.0017343425325524,0.0,2.124999439656647,0.6311031175497649
CD_punished,PT4_COREDe,Hybrid,3,-1.3854166666666667,0.11785113019775792,-1.46875,-1.21875,0,17,7.5,-2.839270958533654,0.7500001207663818,1.0606596421233578,4.952900587440467e-07,2.249999371719028,0.6348835761838937
DC_exploited,base,Base (no FT),3,-0.7708333333333334,0.2798964342196751,-0.96875,-0.375,0,17,7.5,-2.6682629707532044,3.500002592370924,0.1767761497310088,3.2500033639172345,3.625002206597769,0.970252876906316
DC_exploited,PT2_COREDe,Strategic,3,-0.7291666666666666,0.25043365167023557,-0.90625,-0.375,0,17,7.5,-2.628405448717949,3.4166697605990706,0.11785098931989088,3.250003293163794,3.500002994316709,0.9680163132942226
DC_exploited,PT3_COREDe,Deontological,3,-0.7604166666666666,0.25043365167023557,-0.9375,-0.40625,0,17,7.5,-2.664713541666667,3.3750029737390412,0.17677624492820432,3.1250036106561865,3.5000026552804684,0.9664293690837461
DC_exploited,PT3_COREUt,Utilitarian,3,-0.78125,0.30935921676911454,-1.0,-0.34375,0,17,7.5,-2.658879206730769,3.291670037486437,0.11785109860111345,3.1250034155041737,3.375003348477569,0.9639135557504549
DC_exploited,PT4_COREDe,Hybrid,3,-0.7708333333333334,0.23570226039551584,-0.9375,-0.4375,0,17,7.5,-2.6480556390224357,3.5416691986222113,0.2946269631158573,3.1250037515429683,3.750001922161833,0.970652589938438
DD_trapped,base,Base (no FT),3,-1.0208333333333333,0.1473139127471974,-1.125,-0.8125,0,17,7.5,-2.7667768429487176,1.3750047152254854,0.7071049180277201,0.3750073501299678,1.875003397773244,0.7755802257984369
DD_trapped,PT2_COREDe,Strategic,3,-0.9479166666666666,0.0736569563735987,-1.0,-0.84375,0,17,7.5,-2.746895032051282,1.333338343045571,0.7660310835462825,0.2500067954950609,1.875004116820826,0.76541688076809
DD_trapped,PT3_COREDe,Deontological,3,-1.0,0.1767766952966369,-1.125,-0.75,0,17,7.5,-2.760679587339744,1.3333375393881337,0.7660317531789137,0.2500050448340747,1.8750037866651632,0.7654167117612151
DD_trapped,PT3_COREUt,Utilitarian,3,-0.9270833333333334,0.14731391274719738,-1.03125,-0.71875,0,17,7.5,-2.7370542868589736,1.333338785547727,0.7660311764388534,0.2500071066272831,1.8750046250079488,0.7654169453521747
DD_trapped,PT4_COREDe,Hybrid,3,-0.96875,0.13258252147247765,-1.0625,-0.78125,0,17,7.5,-2.743464543269231,1.3750038258575659,0.8838829063013247,0.12500463221648483,2.0000034226781063,0.7642684671963789
