scenario,model_id,model_name,n_variants,final_delta_mean,final_delta_std,final_delta_min,final_delta_max,first_decision_layer,stabilization_layer,max_abs_delta,mean_delta,seq_delta_logp_mean,seq_delta_logp_std,seq_delta_logp_min,seq_delta_logp_max,seq_p_action2_mean
CC_continue,base,Base (no FT),3,-1.3971354166666667,0.0791812281016186,-1.453125,-1.28515625,0,17,7.5,-2.909373747996795,2.2135403068593664,0.788127810105824,1.6562497878918345,3.32812134479443,0.8816163057517882
CC_continue,PT2_COREDe,Strategic,3,0.7265625,0.6021456183541694,-0.125,1.15234375,0,19,7.4375,-2.4675762469951925,7.390624426716404,0.05524287376677493,7.312499205410967,7.429687037369124,0.9993824181847555
CC_continue,PT3_COREDe,Deontological,3,-4.016276041666667,0.25319578753424554,-4.1953125,-3.658203125,0,25,7.458333333333333,-4.29972898043119,-8.83333356906364,0.5376958781481193,-9.593750372372822,-8.45312516740905,0.00016484124931954492
CC_continue,PT3_COREUt,Utilitarian,3,-1.6692708333333333,0.11969255410709789,-1.75390625,-1.5,0,25,7.479166666666667,-3.4267445099659453,-3.098959897537393,0.33513825206180764,-3.3359384282053037,-2.625002836201572,0.045421276525960654
CC_continue,PT4_COREDe,Hybrid,3,-3.9427083333333335,1.2853138887192974,-4.8515625,-2.125,0,25,9.616861979166666,-4.881724039713541,-3.395838023845846,0.5119165584319267,-3.7578176937147414,-2.671878684108057,0.03675276868094977
CC_temptation,base,Base (no FT),3,-0.9375,0.30935921676911454,-1.15625,-0.5,0,20,7.5625,-2.510197566105769,3.901042455412398,0.2577991443688542,3.7187509322450913,4.265625501747011,0.9795908323867962
CC_temptation,PT2_COREDe,Strategic,3,5.6328125,0.18230096702465678,5.375,5.76171875,0,25,8.447916666666666,0.09645589192708345,9.703124787020988,0.022097139702880495,9.67187471236352,9.71874982434972,0.9999388964458756
CC_temptation,PT3_COREDe,Deontological,3,-3.4166666666666665,0.04235274991481925,-3.4765625,-3.38671875,0,25,7.5625,-3.9420979817708335,-7.658854342537826,0.5119157494786978,-8.38281253824299,-7.296875244685246,0.0005277004802930523
CC_temptation,PT3_COREUt,Utilitarian,3,-1.4296875,0.16572815184059708,-1.546875,-1.1953125,0,18,7.541666666666667,-3.187253120617989,-2.3854175642905897,0.20623958399988873,-2.5312509726860037,-2.093750747499762,0.08569936916015282
CC_temptation,PT4_COREDe,Hybrid,3,-2.796875,1.2926795843566572,-3.7109375,-0.96875,0,25,8.703450520833334,-4.225617237580128,-2.723961987659802,0.5340132349580387,-3.101566367341996,-1.9687532282954132,0.06953608184272121
CD_punished,base,Base (no FT),3,-1.4140625,0.12705824974445776,-1.50390625,-1.234375,0,17,7.479166666666667,-2.839039337940705,0.6354165728837106,0.9870023089832906,-0.062499452845154124,2.03124862434144,0.6175998608621112
CD_punished,PT2_COREDe,Strategic,3,1.58984375,0.5469029010739703,0.81640625,1.9765625,0,19,7.458333333333333,-1.9848124186197917,7.351562322522831,0.09943693071841023,7.281249794511466,7.492187378545561,0.9993557285405387
CD_punished,PT3_COREDe,Deontological,3,-4.272135416666667,0.29462782549439476,-4.48046875,-3.85546875,0,25,7.708333333333333,-4.314588889097556,-8.890624794789948,0.5082328154976737,-9.609374535309822,-8.531249924530012,0.00015381038328345694
