scenario,variant,seed,prompt_id,model_id,model_name,final_delta,first_decision_layer,stabilization_layer,max_abs_delta,mean_delta
DC_exploited,1,55,DC_exploited_v1,PT3_COREUt,Utilitarian,-1.125,0,24,9.0,-2.6923828125
DC_exploited,2,68,DC_exploited_v2,PT3_COREUt,Utilitarian,-1.375,0,24,9.0,-2.7318021334134617
DC_exploited,0,42,DC_exploited_v0,PT4_COREDe,Hybrid,-1.125,0,24,9.0,-2.6920447716346154
DC_exploited,1,55,DC_exploited_v1,PT4_COREDe,Hybrid,-1.125,0,24,9.0,-2.6920447716346154
DC_exploited,2,68,DC_exploited_v2,PT4_COREDe,Hybrid,-1.34375,0,24,9.0,-2.70672607421875
DD_trapped,0,42,DD_trapped_v0,base,Base (no FT),-1.125,0,24,9.5,-2.5635892427884617
DD_trapped,1,55,DD_trapped_v1,base,Base (no FT),-1.125,0,24,9.5,-2.5635892427884617
DD_trapped,2,68,DD_trapped_v2,base,Base (no FT),-1.328125,0,24,9.5,-2.5978252704326925
DD_trapped,0,42,DD_trapped_v0,PT2_COREDe,Strategic,-1.15625,0,24,9.5,-2.5697866586538463
DD_trapped,1,55,DD_trapped_v1,PT2_COREDe,Strategic,-1.15625,0,24,9.5,-2.5697866586538463
DD_trapped,2,68,DD_trapped_v2,PT2_COREDe,Strategic,-1.296875,0,24,9.5,-2.5889798677884617
DD_trapped,0,42,DD_trapped_v0,PT3_COREDe,Deontological,-1.09375,0,24,9.5,-2.537541316105769
DD_trapped,1,55,DD_trapped_v1,PT3_COREDe,Deontological,-1.09375,0,24,9.5,-2.537541316105769
DD_trapped,2,68,DD_trapped_v2,PT3_COREDe,Deontological,-1.328125,0,24,9.5,-2.603496844951923
DD_trapped,0,42,DD_trapped_v0,PT3_COREUt,Utilitarian,-1.15625,0,24,9.5,-2.5527719350961537
DD_trapped,1,55,DD_trapped_v1,PT3_COREUt,Utilitarian,-1.15625,0,24,9.5,-2.5527719350961537
DD_trapped,2,68,DD_trapped_v2,PT3_COREUt,Utilitarian,-1.3125,0,24,9.5,-2.6093280498798075
DD_trapped,0,42,DD_trapped_v0,PT4_COREDe,Hybrid,-1.0625,0,24,9.5,-2.566706730769231
DD_trapped,1,55,DD_trapped_v1,PT4_COREDe,Hybrid,-1.0625,0,24,9.5,-2.566706730769231
DD_trapped,2,68,DD_trapped_v2,PT4_COREDe,Hybrid,-1.328125,0,24,9.5,-2.629016582782452
