component_1,component_2,Deontological_corr,Utilitarian_corr,correlation_diff,abs_diff
L22_ATTN,L2_MLP,-0.17527751419686505,0.7866814726453483,-0.9619589868422134,0.9619589868422134
L10_MLP,L2_MLP,0.22722961560641822,-0.7006490497453706,0.9278786653517888,0.9278786653517888
L14_ATTN,L2_MLP,-0.3907151684627041,0.3869637355650877,-0.7776789040277918,0.7776789040277918
L11_ATTN,L2_MLP,-0.4811522171575167,0.2894803666599244,-0.770632583817441,0.770632583817441
L11_MLP,L2_MLP,0.4393722968389108,-0.32547227745205964,0.7648445742909704,0.7648445742909704
L2_MLP,L9_MLP,0.2722147600811712,-0.48989794855663565,0.7621127086378068,0.7621127086378068
L13_ATTN,L2_MLP,0.22870291577510538,-0.44590751291521336,0.6746104286903187,0.6746104286903187
L2_MLP,L9_ATTN,-0.548933664694235,0.11408411099613627,-0.6630177756903712,0.6630177756903712
L2_MLP,L6_MLP,0.38516444325982135,-0.27386127875258304,0.6590257220124044,0.6590257220124044
L24_ATTN,L2_MLP,-0.27395087305855564,0.34447528572215647,-0.618426158780712,0.618426158780712
L18_MLP,L6_MLP,-0.42253006715726726,0.1726353256579448,-0.5951653928152121,0.5951653928152121
L3_ATTN,L6_MLP,-0.49099025303098287,0.05547001962252293,-0.5464602726535058,0.5464602726535058
L23_MLP,L6_MLP,-0.5488359693817743,-0.013560231014063309,-0.5352757383677109,0.5352757383677109
L5_MLP,L6_MLP,0.423012549558458,-0.10846522890932807,0.5314777784677861,0.5314777784677861
L23_ATTN,L2_MLP,0.043694350742493455,0.5732198785683098,-0.5295255278258163,0.5295255278258163
L20_MLP,L6_MLP,-0.6305978058057884,-0.11830109191623087,-0.5122967138895576,0.5122967138895576
L16_MLP,L6_MLP,0.295958174200194,-0.21524304585398585,0.5112012200541798,0.5112012200541798
L21_MLP,L6_MLP,-0.6258253675614407,-0.11863639979105703,-0.5071889677703837,0.5071889677703837
L22_MLP,L6_MLP,-0.46958832961820174,0.035399163621560335,-0.5049874932397621,0.5049874932397621
L0_ATTN,L6_MLP,0.49099025303098287,2.7755575615628914e-17,0.49099025303098287,0.49099025303098287
L0_MLP,L6_MLP,-0.49099025303098276,-2.0816681711721685e-17,-0.49099025303098276,0.49099025303098276
L15_ATTN,L6_MLP,0.7018809710801015,0.21100998983696248,0.490870981243139,0.490870981243139
L16_MLP,L2_MLP,-0.3926410585793715,0.09307379333711595,-0.48571485191648744,0.48571485191648744
L4_MLP,L7_MLP,-0.08240856434303291,-0.5630782155902674,0.4806696512472345,0.4806696512472345
L2_MLP,L7_MLP,0.08627959628145758,-0.38816187713007433,0.4744414734115319,0.4744414734115319
L15_MLP,L2_MLP,0.6191034846198452,0.14596855203028553,0.4731349325895597,0.4731349325895597
L19_MLP,L6_MLP,-0.5619901758828117,-0.09110531461413088,-0.4708848612686809,0.4708848612686809
L25_ATTN,L6_MLP,0.294039993017957,-0.17614480828094645,0.4701848012989035,0.4701848012989035
L17_ATTN,L2_MLP,0.24300012150009107,0.6993390160974898,-0.45633889459739874,0.45633889459739874
L14_ATTN,L6_MLP,0.05076395362567606,-0.39896238476322377,0.4497263383888998,0.4497263383888998
L13_MLP,L6_MLP,0.27843288014936923,-0.16692446522239718,0.4453573453717664,0.4453573453717664
L13_MLP,L2_MLP,-0.49299512153032565,-0.05079349722321863,-0.442201624307107,0.442201624307107
L24_MLP,L6_MLP,-0.5420335466660208,-0.10429075074004154,-0.4377427959259792,0.4377427959259792
L16_ATTN,L6_MLP,-0.24222084936739569,0.19370971105651497,-0.43593056042391065,0.43593056042391065
L2_ATTN,L6_MLP,-0.49099025303098287,-0.058520573598065284,-0.4324696794329176,0.4324696794329176
L1_MLP,L6_MLP,-0.5019737682686032,-0.07167277238512446,-0.4303009958834787,0.4303009958834787
L12_ATTN,L4_ATTN,0.23799032721193586,-0.19213082306802132,0.4301211502799572,0.4301211502799572
L24_MLP,L4_ATTN,-0.05380008447815454,-0.4815925601603517,0.42779247568219714,0.42779247568219714
L21_ATTN,L8_MLP,0.23029936892473757,-0.19740326329430338,0.4277026322190409,0.4277026322190409
L11_MLP,L6_MLP,0.11396384063655116,0.5348055246092194,-0.4208416839726682,0.4208416839726682
L6_MLP,L9_ATTN,0.1480719990050301,-0.2707745778638636,0.4188465768688937,0.4188465768688937
L14_MLP,L2_MLP,-0.6925278569474788,-0.2762894819977688,-0.41623837494970994,0.41623837494970994
L4_MLP,L8_MLP,0.012136303657093835,-0.40231240757295067,0.4144487112300445,0.4144487112300445
L16_ATTN,L8_MLP,0.14825390852948234,-0.26561609032991834,0.4138699988594007,0.4138699988594007
L7_ATTN,L8_MLP,-0.17845351289829112,0.23153866708699647,-0.4099921799852876,0.4099921799852876
L18_ATTN,L7_MLP,-0.16084282705397007,-0.5680500131806143,0.40720718612664425,0.40720718612664425
L6_ATTN,L6_MLP,0.3454246398538786,-0.0460287308949162,0.3914533707487948,0.3914533707487948
L10_ATTN,L6_MLP,-0.5210087353120905,-0.13055824196677338,-0.3904504933453171,0.3904504933453171
L12_MLP,L6_MLP,0.4293148314346895,0.040144782295185054,0.3891700491395045,0.3891700491395045
L12_ATTN,L6_MLP,-0.10674880337262332,0.27960853114063866,-0.386357334513262,0.386357334513262
L23_ATTN,L7_MLP,0.2555474617006259,-0.12508226391150395,0.3806297256121299,0.3806297256121299
L19_ATTN,L6_MLP,-0.29429271696314535,0.08606846512734578,-0.38036118209049113,0.38036118209049113
L13_ATTN,L7_MLP,-0.5405266839359351,-0.17385356078285913,-0.36667312315307593,0.36667312315307593
L22_ATTN,L7_MLP,-0.30542802761359084,-0.6720254578270872,0.3665974302134964,0.3665974302134964
L4_ATTN,L8_MLP,0.27317918235407657,-0.09316949906249124,0.3663486814165678,0.3663486814165678
L19_ATTN,L8_MLP,0.058839852099821476,-0.30406558185887694,0.3629054339586984,0.3629054339586984
L18_ATTN,L4_ATTN,-0.03790592336520501,-0.39620928448566867,0.3583033611204637,0.3583033611204637
L6_ATTN,L8_MLP,-0.05209322610706232,0.305609051985322,-0.3577022780923843,0.3577022780923843
L2_ATTN,L2_MLP,0.19611613513818404,-0.16026519118900806,0.3563813263271921,0.3563813263271921
L2_MLP,L4_MLP,-0.22041550751119351,0.13160933160791355,-0.3520248391191071,0.3520248391191071
L25_ATTN,L2_MLP,-0.08570554069710082,0.26531583342796716,-0.35102137412506795,0.35102137412506795
L16_MLP,L4_ATTN,-0.12764408938837427,0.2193770347314333,-0.34702112411980757,0.34702112411980757
L2_MLP,L3_MLP,-0.7089303375017038,-0.36273812505500586,-0.3461922124466979,0.3461922124466979
L16_ATTN,L2_MLP,-0.5310969727914278,-0.18567356211855696,-0.3454234106728708,0.3454234106728708
L4_ATTN,L6_MLP,0.34503277967117707,0.0,0.34503277967117707,0.34503277967117707
L5_ATTN,L6_MLP,0.5300343902517065,0.19153271942071842,0.3385016708309881,0.3385016708309881
L21_ATTN,L6_MLP,0.003256056743335116,0.33831340285188644,-0.3350573461085513,0.3350573461085513
