component_1,component_2,Deontological_corr,Utilitarian_corr,correlation_diff,abs_diff,pathway_type
L16_MLP,L1_MLP,-0.6738662309838369,0.7160891592481641,-1.389955390232001,1.389955390232001,other
L19_ATTN,L21_MLP,0.44660967288340314,-0.8852621294558188,1.331871802339222,1.331871802339222,late_stage
L19_ATTN,L24_MLP,0.7312150591008582,-0.5010821230881501,1.2322971821890083,1.2322971821890083,late_stage
L17_MLP,L19_ATTN,-0.6297263624775843,0.5446423277574093,-1.1743686902349935,1.1743686902349935,late_stage
L17_MLP,L24_ATTN,-0.47066301309654635,0.6606927397776521,-1.1313557528741984,1.1313557528741984,late_stage
L19_ATTN,L22_MLP,0.6148948353325486,-0.5130242738189965,1.127919109151545,1.127919109151545,late_stage
L19_ATTN,L23_MLP,0.6947543645785822,-0.38925738694794526,1.0840117515265275,1.0840117515265275,late_stage
L19_ATTN,L25_MLP,0.856488457306636,-0.1892848191608278,1.0457732764674639,1.0457732764674639,late_stage
L0_MLP,L1_MLP,-0.053179453726439584,0.9890707100936804,-1.04225016382012,1.04225016382012,adjacent_layer
L21_MLP,L3_MLP,0.7008876669527125,-0.3390094671876266,1.0398971341403391,1.0398971341403391,other
L14_ATTN,L19_ATTN,-0.4934861153880807,0.5407521438764948,-1.0342382592645756,1.0342382592645756,other
L12_MLP,L4_MLP,0.19756802405224044,-0.8118629096502056,1.009430933702446,1.009430933702446,other
L14_MLP,L25_ATTN,0.5063902321026531,-0.4917104481290459,0.998100680231699,0.998100680231699,other
L19_ATTN,L22_ATTN,0.8579958765790645,-0.12971178728194166,0.9877076638610062,0.9877076638610062,late_stage
L0_ATTN,L12_MLP,0.3214542489226375,-0.6650937245915611,0.9865479735141987,0.9865479735141987,other
L14_ATTN,L18_MLP,-0.2517638086918559,0.7240978042290366,-0.9758616129208925,0.9758616129208925,other
L1_MLP,L7_ATTN,-0.17537340031007362,0.7990488102331884,-0.9744222105432621,0.9744222105432621,other
L22_MLP,L3_MLP,0.7273057553700304,-0.24664534825443654,0.9739511036244669,0.9739511036244669,other
L17_MLP,L23_MLP,-0.698525223345584,0.2672223362900282,-0.9657475596356122,0.9657475596356122,late_stage
L1_MLP,L2_MLP,-0.037258734093776974,-0.9999999999999998,0.9627412659062228,0.9627412659062228,adjacent_layer
L17_MLP,L1_MLP,-0.4317447263973584,0.5256668223980405,-0.9574115487953989,0.9574115487953989,other
L21_ATTN,L21_MLP,0.6980222222204928,-0.257055914672085,0.9550781368925778,0.9550781368925778,intra_layer
L19_ATTN,L7_ATTN,-0.8380858157785961,0.1090063583487447,-0.9470921741273408,0.9470921741273408,other
L12_ATTN,L20_MLP,-0.6278832023668728,0.3055547083181142,-0.933437910684987,0.933437910684987,other
L20_MLP,L24_MLP,-0.34466791379774986,0.5845410098865411,-0.929208923684291,0.929208923684291,late_stage
L13_ATTN,L20_MLP,0.8945332979503277,-0.029214623649649246,0.9237479215999769,0.9237479215999769,other
L19_ATTN,L20_ATTN,0.7658771549886094,-0.15344901412297685,0.9193261691115863,0.9193261691115863,adjacent_layer
L15_ATTN,L16_MLP,-0.2866625158315598,0.6189321211678627,-0.9055946369994226,0.9055946369994226,adjacent_layer
L1_ATTN,L1_MLP,-0.03450738623384267,-0.9377422167719011,0.9032348305380584,0.9032348305380584,intra_layer
L21_ATTN,L4_MLP,0.12360627886133153,-0.7717739099902486,0.8953801888515802,0.8953801888515802,other
L11_MLP,L1_MLP,0.0026191691073620266,-0.879046506439134,0.881665675546496,0.881665675546496,other
L17_ATTN,L17_MLP,-0.1191598813857184,0.7624857102931082,-0.8816455916788266,0.8816455916788266,intra_layer
L18_ATTN,L2_ATTN,-0.8288094085754749,0.050260665909801217,-0.8790700744852762,0.8790700744852762,other
L24_MLP,L3_MLP,0.6854023279969156,-0.19214300394313213,0.8775453319400477,0.8775453319400477,other
L22_ATTN,L4_MLP,0.23255063268899492,-0.6446134669024757,0.8771640995914706,0.8771640995914706,other
L17_MLP,L22_MLP,-0.7947340862742471,0.07884702367182514,-0.8735811099460723,0.8735811099460723,late_stage
L1_MLP,L5_ATTN,-0.12961407789029875,-0.9850636549546775,0.8554495770643787,0.8554495770643787,other
L12_MLP,L21_MLP,0.4754830525103327,-0.36459745489671985,0.8400805074070525,0.8400805074070525,other
L0_MLP,L20_MLP,-0.3505511454277391,0.48741182047170967,-0.8379629658994487,0.8379629658994487,early_to_late
L17_MLP,L22_ATTN,-0.6684336750353864,0.16920501723489673,-0.8376386922702832,0.8376386922702832,late_stage
L0_ATTN,L23_ATTN,0.5161213609551598,-0.31860509442720947,0.8347264553823692,0.8347264553823692,early_to_late
L15_ATTN,L19_ATTN,-0.8258010049690278,0.00846613585285362,-0.8342671408218814,0.8342671408218814,other
L12_ATTN,L17_MLP,-0.1873108452884574,0.6358060505388317,-0.8231168958272891,0.8231168958272891,other
L21_MLP,L5_MLP,0.2830175950603122,-0.5395621047262372,0.8225796997865494,0.8225796997865494,other
L17_MLP,L23_ATTN,-0.16884130008480636,0.6476628386131128,-0.8165041386979192,0.8165041386979192,late_stage
L17_MLP,L25_MLP,-0.5652245908000959,0.2509837110611052,-0.8162083018612011,0.8162083018612011,late_stage
L1_MLP,L9_ATTN,-0.16673746534182649,-0.976440671727645,0.8097032063858185,0.8097032063858185,other
L10_ATTN,L20_MLP,-0.5967445061907862,0.20926669709322593,-0.8060112032840121,0.8060112032840121,other
L4_MLP,L5_MLP,0.16153144071938697,-0.641396590624514,0.802928031343901,0.802928031343901,adjacent_layer
L16_ATTN,L19_ATTN,0.5949669375069735,-0.20775941298914008,0.8027263504961135,0.8027263504961135,late_stage
L0_MLP,L21_MLP,-0.47877022984520345,0.3200544251456792,-0.7988246549908826,0.7988246549908826,early_to_late
L17_ATTN,L25_ATTN,-0.11728303287830072,0.6808446097367506,-0.7981276426150514,0.7981276426150514,late_stage
