scenario,variant,seed,prompt_id,model_id,model_name,final_delta,first_decision_layer,stabilization_layer,max_abs_delta,mean_delta
DC_exploited,1,55,DC_exploited_v1,PT3_COREUt,Utilitarian,-1.0,0,17,7.5,-2.7549203725961537
DC_exploited,2,68,DC_exploited_v2,PT3_COREUt,Utilitarian,-0.34375,0,17,7.5,-2.466796875
DC_exploited,0,42,DC_exploited_v0,PT4_COREDe,Hybrid,-0.9375,0,17,7.5,-2.718017578125
DC_exploited,1,55,DC_exploited_v1,PT4_COREDe,Hybrid,-0.9375,0,17,7.5,-2.718017578125
DC_exploited,2,68,DC_exploited_v2,PT4_COREDe,Hybrid,-0.4375,0,17,7.5,-2.5081317608173075
DD_trapped,0,42,DD_trapped_v0,base,Base (no FT),-1.125,0,17,7.5,-2.840069110576923
DD_trapped,1,55,DD_trapped_v1,base,Base (no FT),-1.125,0,17,7.5,-2.840069110576923
DD_trapped,2,68,DD_trapped_v2,base,Base (no FT),-0.8125,0,18,7.5,-2.6201923076923075
DD_trapped,0,42,DD_trapped_v0,PT2_COREDe,Strategic,-1.0,0,17,7.5,-2.8158052884615383
DD_trapped,1,55,DD_trapped_v1,PT2_COREDe,Strategic,-1.0,0,17,7.5,-2.8158052884615383
DD_trapped,2,68,DD_trapped_v2,PT2_COREDe,Strategic,-0.84375,0,17,7.5,-2.609074519230769
DD_trapped,0,42,DD_trapped_v0,PT3_COREDe,Deontological,-1.125,0,17,7.5,-2.8463040865384617
DD_trapped,1,55,DD_trapped_v1,PT3_COREDe,Deontological,-1.125,0,17,7.5,-2.8463040865384617
DD_trapped,2,68,DD_trapped_v2,PT3_COREDe,Deontological,-0.75,0,17,7.5,-2.5894305889423075
DD_trapped,0,42,DD_trapped_v0,PT3_COREUt,Utilitarian,-1.03125,0,17,7.5,-2.8143028846153846
DD_trapped,1,55,DD_trapped_v1,PT3_COREUt,Utilitarian,-1.03125,0,17,7.5,-2.8143028846153846
DD_trapped,2,68,DD_trapped_v2,PT3_COREUt,Utilitarian,-0.71875,0,18,7.5,-2.5825570913461537
DD_trapped,0,42,DD_trapped_v0,PT4_COREDe,Hybrid,-1.0625,0,17,7.5,-2.822265625
DD_trapped,1,55,DD_trapped_v1,PT4_COREDe,Hybrid,-1.0625,0,17,7.5,-2.822265625
DD_trapped,2,68,DD_trapped_v2,PT4_COREDe,Hybrid,-0.78125,0,17,7.5,-2.5858623798076925
