scenario,model_id,model_name,n_variants,final_delta_mean,final_delta_std,final_delta_min,final_delta_max,first_decision_layer,stabilization_layer,max_abs_delta,mean_delta
CC_continue,base,Base (no FT),3,-1.3854166666666667,0.07365695637359869,-1.4375,-1.28125,0,17,7.5,-2.9156149839743595
CC_continue,PT2_COREDe,Strategic,3,-1.4479166666666667,0.11785113019775792,-1.53125,-1.28125,0,17,7.5,-2.926864232772436
CC_continue,PT3_COREDe,Deontological,3,-1.4375,0.13258252147247765,-1.53125,-1.25,0,17,7.5,-2.924554286858974
CC_continue,PT3_COREUt,Utilitarian,3,-1.4479166666666667,0.11785113019775792,-1.53125,-1.28125,0,17,7.5,-2.9124724559294872
CC_continue,PT4_COREDe,Hybrid,3,-1.4166666666666667,0.11785113019775792,-1.5,-1.25,0,17,7.5,-2.9114583333333335
CC_temptation,base,Base (no FT),3,-0.9375,0.30935921676911454,-1.15625,-0.5,0,20,7.5,-2.49169921875
CC_temptation,PT2_COREDe,Strategic,3,-0.8958333333333334,0.32409060804383427,-1.125,-0.4375,0,20,7.666666666666667,-2.516376201923076
CC_temptation,PT3_COREDe,Deontological,3,-0.8333333333333334,0.2798964342196751,-1.03125,-0.4375,0,20,7.5,-2.4918557191506405
CC_temptation,PT3_COREUt,Utilitarian,3,-0.9375,0.30935921676911454,-1.15625,-0.5,0,20,7.5,-2.5107171474358974
CC_temptation,PT4_COREDe,Hybrid,3,-0.9166666666666666,0.338821999318554,-1.15625,-0.4375,0,20,7.5,-2.5089142628205128
CD_punished,base,Base (no FT),3,-1.375,0.13258252147247765,-1.46875,-1.1875,0,17,7.5,-2.8245442708333335
CD_punished,PT2_COREDe,Strategic,3,-1.4166666666666667,0.11785113019775792,-1.5,-1.25,0,17,7.5,-2.8636474609375
CD_punished,PT3_COREDe,Deontological,3,-1.4270833333333333,0.1473139127471974,-1.53125,-1.21875,0,17,7.5,-2.8372896634615383
CD_punished,PT3_COREUt,Utilitarian,3,-1.3958333333333333,0.1473139127471974,-1.5,-1.1875,0,17,7.5,-2.854755108173076
CD_punished,PT4_COREDe,Hybrid,3,-1.3854166666666667,0.11785113019775792,-1.46875,-1.21875,0,17,7.5,-2.839270958533654
DC_exploited,base,Base (no FT),3,-0.7708333333333334,0.2798964342196751,-0.96875,-0.375,0,17,7.5,-2.6682629707532044
DC_exploited,PT2_COREDe,Strategic,3,-0.7291666666666666,0.25043365167023557,-0.90625,-0.375,0,17,7.5,-2.628405448717949
DC_exploited,PT3_COREDe,Deontological,3,-0.7604166666666666,0.25043365167023557,-0.9375,-0.40625,0,17,7.5,-2.664713541666667
DC_exploited,PT3_COREUt,Utilitarian,3,-0.78125,0.30935921676911454,-1.0,-0.34375,0,17,7.5,-2.658879206730769
DC_exploited,PT4_COREDe,Hybrid,3,-0.7708333333333334,0.23570226039551584,-0.9375,-0.4375,0,17,7.5,-2.6480556390224357
DD_trapped,base,Base (no FT),3,-1.0208333333333333,0.1473139127471974,-1.125,-0.8125,0,17,7.5,-2.7667768429487176
DD_trapped,PT2_COREDe,Strategic,3,-0.9479166666666666,0.0736569563735987,-1.0,-0.84375,0,17,7.5,-2.746895032051282
DD_trapped,PT3_COREDe,Deontological,3,-1.0,0.1767766952966369,-1.125,-0.75,0,17,7.5,-2.760679587339744
DD_trapped,PT3_COREUt,Utilitarian,3,-0.9270833333333334,0.14731391274719738,-1.03125,-0.71875,0,17,7.5,-2.7370542868589736
DD_trapped,PT4_COREDe,Hybrid,3,-0.96875,0.13258252147247765,-1.0625,-0.78125,0,17,7.5,-2.743464543269231
