model_id,probe_type,layer,train_accuracy,test_accuracy,train_r2,test_r2,train_mse,test_mse,n_train_samples,n_test_samples,coef_norm,intercept
PT3_COREUt,betrayal,0,0.6,0.6,0.0,0.0,0.0,0.0,10,5,0.4412617505990734,-0.001912481026623519
PT3_COREUt,payoff,0,0.0,0.0,0.13208528806138575,0.4268884555689729,1.9441289547424958,1.2837698595255005,10,5,1.0135838985443115,12.17440128326416
PT3_COREUt,betrayal,1,0.6,0.6,0.0,0.0,0.0,0.0,10,5,0.6708027277625837,0.0020270844049740874
PT3_COREUt,payoff,1,0.0,0.0,0.3062472362452451,0.5520908006304441,1.5540061908106508,1.003316606587805,10,5,1.6380341053009033,6.900169372558594
PT3_COREUt,betrayal,2,0.6,0.6,0.0,0.0,0.0,0.0,10,5,0.6758430510704728,10.65004151600667
PT3_COREUt,payoff,2,0.0,0.0,0.31656181965357577,0.5872158017359002,1.5309015239759902,0.9246366041115834,10,5,1.6204088926315308,-24.478134155273438
PT3_COREUt,betrayal,3,0.6,0.6,0.0,0.0,0.0,0.0,10,5,0.851898349420773,27.691811637812652
PT3_COREUt,payoff,3,0.0,0.0,0.38514304145623357,0.6415668084422836,1.3772795871380368,0.8028903490892845,10,5,1.7473270893096924,-36.80945587158203
PT3_COREUt,betrayal,4,0.6,0.6,0.0,0.0,0.0,0.0,10,5,0.7793911880001545,26.240022036398862
PT3_COREUt,payoff,4,0.0,0.0,0.39717415005361545,0.659164735390472,1.3503299038799015,0.7634709927253425,10,5,1.738555669784546,-60.501800537109375
PT3_COREUt,betrayal,5,0.6,0.6,0.0,0.0,0.0,0.0,10,5,0.972157809891074,21.88573515929519
PT3_COREUt,payoff,5,0.0,0.0,0.46947939451807275,0.7442414733580205,1.188366156279517,0.572899099678034,10,5,1.867518424987793,-40.88063049316406
PT3_COREUt,betrayal,6,0.6,0.6,0.0,0.0,0.0,0.0,10,5,0.9420118524204278,-10.384162630444683
PT3_COREUt,payoff,6,0.0,0.0,0.3977299943752054,0.6882882066802267,1.3490848125995398,0.6982344170362922,10,5,1.7266228199005127,-21.98837661743164
PT3_COREUt,betrayal,7,1.0,0.6,0.0,0.0,0.0,0.0,10,5,1.4246561613462037,-32.73578360908216
PT3_COREUt,payoff,7,0.0,0.0,0.7833564583467185,0.8906072223644514,0.48528153330335044,0.24503982190362877,10,5,2.225320816040039,23.9625186920166
PT3_COREUt,betrayal,8,1.0,0.6,0.0,0.0,0.0,0.0,10,5,1.5197090865187284,-39.5126259088298
PT3_COREUt,payoff,8,0.0,0.0,0.9077832627790485,0.947446558948546,0.2065654913749313,0.11771970795525703,10,5,2.084688186645508,26.204946517944336
PT3_COREUt,betrayal,9,1.0,0.6,0.0,0.0,0.0,0.0,10,5,1.5268503247875211,-22.125609265610347
PT3_COREUt,payoff,9,0.0,0.0,0.9623605016547246,0.9464537086402872,0.08431247629341669,0.11994369264575652,10,5,1.8029829263687134,-32.06180953979492
PT3_COREUt,betrayal,10,1.0,0.6,0.0,0.0,0.0,0.0,10,5,1.535119283482513,19.11596453638094
PT3_COREUt,payoff,10,0.0,0.0,0.9764625159774108,0.95469987729978,0.05272396421059966,0.10147227484849282,10,5,1.6528669595718384,-36.05055236816406
PT3_COREUt,betrayal,11,1.0,0.6,0.0,0.0,0.0,0.0,10,5,1.412981183640939,0.002200981492043322
