model_id,probe_type,layer,train_accuracy,test_accuracy,train_r2,test_r2,train_mse,test_mse,n_train_samples,n_test_samples,coef_norm,intercept
PT3_COREDe,betrayal,0,0.6,0.6,0.0,0.0,0.0,0.0,10,5,0.4334536891433275,-0.0014000981201059874
PT3_COREDe,payoff,0,0.0,0.0,0.13100706876895574,0.43347679154220886,1.946544165957539,1.269011986945452,10,5,1.0148862600326538,9.770665168762207
PT3_COREDe,betrayal,1,0.6,0.6,0.0,0.0,0.0,0.0,10,5,0.6643533891987491,0.0017759485264364247
PT3_COREDe,payoff,1,0.0,0.0,0.3104770459854689,0.5460623351787888,1.5445314169925495,1.0168203691995132,10,5,1.6604433059692383,6.01950740814209
PT3_COREDe,betrayal,2,0.6,0.6,0.0,0.0,0.0,0.0,10,5,0.7135925591190405,12.095826454992304
PT3_COREDe,payoff,2,0.0,0.0,0.30458094703873984,0.561310786571795,1.5577386786332226,0.9826638380791792,10,5,1.5990535020828247,-5.932618618011475
PT3_COREDe,betrayal,3,0.6,0.6,0.0,0.0,0.0,0.0,10,5,0.7927894228080203,16.97507180813712
PT3_COREDe,payoff,3,0.0,0.0,0.3804429844203696,0.6487858434933773,1.387807714898372,0.7867197105748346,10,5,1.6941089630126953,-40.727256774902344
PT3_COREDe,betrayal,4,0.6,0.6,0.0,0.0,0.0,0.0,10,5,0.7227125295518059,13.225741685742005
PT3_COREDe,payoff,4,0.0,0.0,0.3924013956088207,0.6531651049813912,1.3610208738362417,0.7769101648416836,10,5,1.724517822265625,-57.25342559814453
PT3_COREDe,betrayal,5,0.6,0.6,0.0,0.0,0.0,0.0,10,5,0.9236291771133008,0.0029266340322144117
PT3_COREDe,payoff,5,0.0,0.0,0.4192132413396783,0.6985805113100858,1.3009623393991205,0.6751796546654077,10,5,1.7713309526443481,-18.669269561767578
PT3_COREDe,betrayal,6,0.6,0.6,0.0,0.0,0.0,0.0,10,5,0.9406033233924802,-19.410224331809882
PT3_COREDe,payoff,6,0.0,0.0,0.38273445958835894,0.67563413531382,1.3826748105220759,0.726579536897043,10,5,1.7289903163909912,-20.087318420410156
