component,experiments_present,avg_rank,median_rank,best_rank,mean_of_mean_abs_delta,max_of_max_abs_delta,mean_effect_size,max_effect_size,total_flips
L6H7,4,100.25,100.0,58,0.23593685615044624,0.5000000842068681,0.04176053880798415,0.0657880233548886,0
L6H0,4,99.5,97.5,59,0.23593685615044624,0.5000000842068681,0.04176053880798415,0.0657880233548886,0
L6H6,4,102.0,103.0,60,0.23593685615044624,0.5000000842068681,0.04176053880798415,0.0657880233548886,0
L6H5,4,100.25,99.5,61,0.23593685615044624,0.5000000842068681,0.04176053880798415,0.0657880233548886,0
L6H4,4,100.75,100.5,62,0.23593685615044624,0.5000000842068681,0.04176053880798415,0.0657880233548886,0
L6H3,4,99.75,98.5,63,0.23593685615044624,0.5000000842068681,0.04176053880798415,0.0657880233548886,0
L6H2,4,100.75,100.5,64,0.23593685615044624,0.5000000842068681,0.04176053880798415,0.0657880233548886,0
L6H1,4,100.75,100.5,65,0.23593685615044624,0.5000000842068681,0.04176053880798415,0.0657880233548886,0
L8H1,4,91.75,86.5,76,0.22421931633211337,0.3828123031794641,0.04948398490380917,0.1141973935936618,0
L8H7,4,90.0,82.5,76,0.22421931633211337,0.3828123031794641,0.04948398490380917,0.1141973935936618,0
L8H4,4,91.75,83.5,77,0.22421931633211337,0.3828123031794641,0.04948398490380917,0.1141973935936618,0
L8H6,4,92.5,84.0,77,0.22421931633211337,0.3828123031794641,0.04948398490380917,0.1141973935936618,0
L8H0,4,93.25,87.5,78,0.22421931633211337,0.3828123031794641,0.04948398490380917,0.1141973935936618,0
L8H5,4,92.75,84.5,78,0.22421931633211337,0.3828123031794641,0.04948398490380917,0.1141973935936618,0
L8H3,4,92.75,84.5,80,0.22421931633211337,0.3828123031794641,0.04948398490380917,0.1141973935936618,0
L8H2,4,93.25,85.5,81,0.22421931633211337,0.3828123031794641,0.04948398490380917,0.1141973935936618,0
L10_MLP,4,99.0,101.5,67,0.21888084416305442,0.7031254608592885,0.04296603319860725,0.1194059463421551,0
L21H1,4,104.0,105.5,94,0.19492174675513757,0.4687501068465405,0.040408757748511284,0.1519994747825194,0
L21H3,4,103.75,103.5,95,0.19492174675513757,0.4687501068465405,0.040408757748511284,0.1519994747825194,0
L21H4,4,102.75,102.0,95,0.19492174675513757,0.4687501068465405,0.040408757748511284,0.1519994747825194,0
L21H5,4,103.5,102.0,96,0.19492174675513757,0.4687501068465405,0.040408757748511284,0.1519994747825194,0
L21H6,4,103.25,101.0,96,0.19492174675513757,0.4687501068465405,0.040408757748511284,0.1519994747825194,0
L21H7,4,103.0,102.0,98,0.19492174675513757,0.4687501068465405,0.040408757748511284,0.1519994747825194,0
L21H0,4,105.0,102.0,99,0.19492174675513757,0.4687501068465405,0.040408757748511284,0.1519994747825194,0
L21H2,4,106.75,105.5,100,0.19492174675513757,0.4687501068465405,0.040408757748511284,0.1519994747825194,0
L2_MLP,4,147.25,153.0,103,0.1486981521597534,0.3203124970973601,0.02461172194554109,0.0374706230473695,0
L8_MLP,4,152.75,159.0,94,0.14700489728652943,0.4531255860524599,0.02341018363599997,0.0654760121663101,0
L5H4,4,129.25,128.5,94,0.1434895741745835,0.2968754154134547,0.034539120427708056,0.0799995193844609,0
L5H0,4,130.75,128.5,95,0.1434895741745835,0.2968754154134547,0.034539120427708056,0.0799995193844609,0
L5H7,4,129.5,128.5,96,0.1434895741745835,0.2968754154134547,0.034539120427708056,0.0799995193844609,0
L5H6,4,130.75,128.5,97,0.1434895741745835,0.2968754154134547,0.034539120427708056,0.0799995193844609,0
L5H5,4,131.25,128.5,98,0.1434895741745835,0.2968754154134547,0.034539120427708056,0.0799995193844609,0
L5H3,4,130.75,128.5,99,0.1434895741745835,0.2968754154134547,0.034539120427708056,0.0799995193844609,0
L5H2,4,131.25,128.5,100,0.1434895741745835,0.2968754154134547,0.034539120427708056,0.0799995193844609,0
L5H1,4,132.5,128.5,101,0.1434895741745835,0.2968754154134547,0.034539120427708056,0.0799995193844609,0
L6_MLP,4,160.75,164.5,104,0.13671883286388778,0.3281243859203062,0.021333176602796905,0.0385438965789089,0
L0_MLP,4,137.25,137.5,128,0.1365877767484261,0.304687711755661,0.029938950546624814,0.0617274611223457,0
L11H3,4,142.0,148.0,114,0.13489589109131725,0.3046878428521946,0.02604974886166154,0.0592102941028426,0
L11H0,4,143.75,149.5,115,0.13489589109131725,0.3046878428521946,0.02604974886166154,0.0592102941028426,0
L11H2,4,143.75,150.0,116,0.13489589109131725,0.3046878428521946,0.02604974886166154,0.0592102941028426,0
L11H1,4,144.5,150.0,117,0.13489589109131725,0.3046878428521946,0.02604974886166154,0.0592102941028426,0
L11H4,4,142.75,147.5,118,0.13489589109131725,0.3046878428521946,0.02604974886166154,0.0592102941028426,0
L11H5,4,143.75,149.5,119,0.13489589109131725,0.3046878428521946,0.02604974886166154,0.0592102941028426,0
L11H6,4,143.75,149.5,120,0.13489589109131725,0.3046878428521946,0.02604974886166154,0.0592102941028426,0
L11H7,4,145.75,150.0,121,0.13489589109131725,0.3046878428521946,0.02604974886166154,0.0592102941028426,0
L2H2,4,156.75,158.5,140,0.11927078264090896,0.3593752397853009,0.022737847820793817,0.0492966105311445,0
L2H3,4,156.75,158.5,141,0.11927078264090896,0.3593752397853009,0.022737847820793817,0.0492966105311445,0
L2H4,4,156.75,158.5,142,0.11927078264090896,0.3593752397853009,0.022737847820793817,0.0492966105311445,0
L2H5,4,156.0,156.0,143,0.11927078264090896,0.3593752397853009,0.022737847820793817,0.0492966105311445,0
L2H7,4,156.5,158.5,144,0.11927078264090896,0.3593752397853009,0.022737847820793817,0.0492966105311445,0
L2H6,4,155.0,154.5,145,0.11927078264090896,0.3593752397853009,0.022737847820793817,0.0492966105311445,0
L2H0,4,156.5,158.0,146,0.11927078264090896,0.3593752397853009,0.022737847820793817,0.0492966105311445,0
L2H1,4,157.75,158.5,147,0.11927078264090896,0.3593752397853009,0.022737847820793817,0.0492966105311445,0
L5_MLP,4,161.0,163.0,139,0.11536382839655863,0.3437502375278658,0.02228812176200228,0.05223776457261,0
L12H4,4,171.5,172.0,131,0.1083332239835315,0.3359373997693469,0.019371670854836414,0.0460520997811667,0
L12H2,4,174.25,174.0,132,0.1083332239835315,0.3359373997693469,0.019371670854836414,0.0460520997811667,0
L12H1,4,172.25,172.0,133,0.1083332239835315,0.3359373997693469,0.019371670854836414,0.0460520997811667,0
L12H3,4,175.25,174.5,134,0.1083332239835315,0.3359373997693469,0.019371670854836414,0.0460520997811667,0
L12H7,4,173.25,171.0,135,0.1083332239835315,0.3359373997693469,0.019371670854836414,0.0460520997811667,0
L12H6,4,174.75,174.0,136,0.1083332239835315,0.3359373997693469,0.019371670854836414,0.0460520997811667,0
L12H5,4,173.25,171.0,137,0.1083332239835315,0.3359373997693469,0.019371670854836414,0.0460520997811667,0
L12H0,4,175.5,175.5,138,0.1083332239835315,0.3359373997693469,0.019371670854836414,0.0460520997811667,0
L12_MLP,4,152.25,150.5,111,0.10703182132705231,0.3671872855859495,0.02672859958529964,0.1243385142920295,0
L9H3,4,177.5,186.0,130,0.10625007970487647,0.2734382148257541,0.017766155014210167,0.0432093588827693,0
L9H0,4,176.5,184.0,131,0.10625007970487647,0.2734382148257541,0.017766155014210167,0.0432093588827693,0
L9H2,4,178.25,186.0,132,0.10625007970487647,0.2734382148257541,0.017766155014210167,0.0432093588827693,0
L9H5,4,178.0,186.5,133,0.10625007970487647,0.2734382148257541,0.017766155014210167,0.0432093588827693,0
L9H6,4,177.25,185.0,134,0.10625007970487647,0.2734382148257541,0.017766155014210167,0.0432093588827693,0
L9H7,4,176.0,182.5,135,0.10625007970487647,0.2734382148257541,0.017766155014210167,0.0432093588827693,0
L9H4,4,179.0,186.5,136,0.10625007970487647,0.2734382148257541,0.017766155014210167,0.0432093588827693,0
L9H1,4,179.5,185.5,137,0.10625007970487647,0.2734382148257541,0.017766155014210167,0.0432093588827693,0
L21_MLP,4,165.25,171.5,93,0.1031248931419779,0.2734371316284529,0.024802211963787135,0.1011898055109054,0
L7_MLP,4,176.75,176.5,164,0.10182289474457128,0.2968748763465676,0.020416545186899865,0.0746268193281272,0
L24H6,4,164.75,167.5,110,0.09908852697722116,0.1875000197582981,0.02534448843452991,0.0634920510639954,0
L24H2,4,162.5,164.5,111,0.09908852697722116,0.1875000197582981,0.02534448843452991,0.0634920510639954,0
L24H7,4,165.5,167.5,112,0.09908852697722116,0.1875000197582981,0.02534448843452991,0.0634920510639954,0
L24H5,4,165.25,167.5,113,0.09908852697722116,0.1875000197582981,0.02534448843452991,0.0634920510639954,0
L24H4,4,165.25,167.5,114,0.09908852697722116,0.1875000197582981,0.02534448843452991,0.0634920510639954,0
L24H0,4,166.25,166.5,115,0.09908852697722116,0.1875000197582981,0.02534448843452991,0.0634920510639954,0
L24H1,4,168.25,170.5,116,0.09908852697722116,0.1875000197582981,0.02534448843452991,0.0634920510639954,0
L24H3,4,164.25,164.5,117,0.09908852697722116,0.1875000197582981,0.02534448843452991,0.0634920510639954,0
L4H0,4,182.25,183.5,172,0.08710925625858018,0.2109376453116374,0.019189523682109823,0.0657887037859352,0
L4H4,4,180.0,180.5,173,0.08710925625858018,0.2109376453116374,0.019189523682109823,0.0657887037859352,0
L4H7,4,181.75,182.5,173,0.08710925625858018,0.2109376453116374,0.019189523682109823,0.0657887037859352,0
L4H3,4,180.0,180.5,174,0.08710925625858018,0.2109376453116374,0.019189523682109823,0.0657887037859352,0
L4H6,4,182.0,183.0,174,0.08710925625858018,0.2109376453116374,0.019189523682109823,0.0657887037859352,0
L4H2,4,180.0,180.5,175,0.08710925625858018,0.2109376453116374,0.019189523682109823,0.0657887037859352,0
L4H5,4,181.0,181.0,175,0.08710925625858018,0.2109376453116374,0.019189523682109823,0.0657887037859352,0
L4H1,4,181.0,181.0,179,0.08710925625858018,0.2109376453116374,0.019189523682109823,0.0657887037859352,0
L1_MLP,4,177.0,181.0,137,0.08281243893066105,0.1875003645943254,0.021296733200272755,0.0522387665283003,0
L0H0,4,180.75,185.0,129,0.07617107350716411,0.156246787978139,0.020771039452053858,0.0595223316359303,0
L0H7,4,179.75,183.0,130,0.07617107350716411,0.156246787978139,0.020771039452053858,0.0595223316359303,0
L0H2,4,180.25,183.5,131,0.07617107350716411,0.156246787978139,0.020771039452053858,0.0595223316359303,0
L0H6,4,181.5,186.0,132,0.07617107350716411,0.156246787978139,0.020771039452053858,0.0595223316359303,0
L0H5,4,181.5,186.0,133,0.07617107350716411,0.156246787978139,0.020771039452053858,0.0595223316359303,0
L0H4,4,181.5,185.5,134,0.07617107350716411,0.156246787978139,0.020771039452053858,0.0595223316359303,0
L0H3,4,181.5,184.5,135,0.07617107350716411,0.156246787978139,0.020771039452053858,0.0595223316359303,0
L0H1,4,181.25,182.0,136,0.07617107350716411,0.156246787978139,0.020771039452053858,0.0595223316359303,0
L9_MLP,4,190.25,186.5,181,0.07578134401629005,0.2968744038528594,0.015320718355074653,0.0597012982953032,0
L13H0,4,193.75,192.5,171,0.07070335912408314,0.2421873655307092,0.01436041312345079,0.0394740131635643,0
L13H2,4,194.75,191.0,172,0.07070335912408314,0.2421873655307092,0.01436041312345079,0.0394740131635643,0
L13H3,4,193.0,187.5,173,0.07070335912408314,0.2421873655307092,0.01436041312345079,0.0394740131635643,0
L13H4,4,194.5,190.5,174,0.07070335912408314,0.2421873655307092,0.01436041312345079,0.0394740131635643,0
L13H5,4,194.75,191.0,175,0.07070335912408314,0.2421873655307092,0.01436041312345079,0.0394740131635643,0
L13H6,4,194.0,189.5,176,0.07070335912408314,0.2421873655307092,0.01436041312345079,0.0394740131635643,0
L13H7,4,194.0,189.5,177,0.07070335912408314,0.2421873655307092,0.01436041312345079,0.0394740131635643,0
L13H1,4,197.25,192.5,178,0.07070335912408314,0.2421873655307092,0.01436041312345079,0.0394740131635643,0
L3_MLP,4,200.0,200.0,192,0.06822874658137719,0.2109373847259874,0.013157694677011094,0.0370361481163302,0
L10H0,4,204.5,211.5,175,0.06744789284094985,0.2031258379157297,0.012474878512728098,0.0370364102244639,0
L10H7,4,204.25,207.5,176,0.06744789284094985,0.2031258379157297,0.012474878512728098,0.0370364102244639,0
L10H1,4,204.25,210.5,177,0.06744789284094985,0.2031258379157297,0.012474878512728098,0.0370364102244639,0
L10H4,4,204.0,207.5,178,0.06744789284094985,0.2031258379157297,0.012474878512728098,0.0370364102244639,0
L10H6,4,204.75,207.5,179,0.06744789284094985,0.2031258379157297,0.012474878512728098,0.0370364102244639,0
L10H5,4,204.75,207.5,180,0.06744789284094985,0.2031258379157297,0.012474878512728098,0.0370364102244639,0
L10H3,4,205.25,209.0,181,0.06744789284094985,0.2031258379157297,0.012474878512728098,0.0370364102244639,0
L10H2,4,204.25,207.0,182,0.06744789284094985,0.2031258379157297,0.012474878512728098,0.0370364102244639,0
L7H7,4,199.75,196.5,191,0.06210924161204259,0.1093752430066885,0.014493151238694447,0.0480001960283042,0
L7H6,4,201.25,199.5,192,0.06210924161204259,0.1093752430066885,0.014493151238694447,0.0480001960283042,0
L7H2,4,201.0,200.5,193,0.06210924161204259,0.1093752430066885,0.014493151238694447,0.0480001960283042,0
L7H5,4,202.25,201.5,193,0.06210924161204259,0.1093752430066885,0.014493151238694447,0.0480001960283042,0
L7H3,4,201.0,199.5,194,0.06210924161204259,0.1093752430066885,0.014493151238694447,0.0480001960283042,0
L7H4,4,201.0,199.0,194,0.06210924161204259,0.1093752430066885,0.014493151238694447,0.0480001960283042,0
L7H1,4,204.25,202.0,197,0.06210924161204259,0.1093752430066885,0.014493151238694447,0.0480001960283042,0
L7H0,4,203.5,203.5,198,0.06210924161204259,0.1093752430066885,0.014493151238694447,0.0480001960283042,0
L4_MLP,4,215.25,217.5,200,0.04583304824471637,0.226562490474075,0.011017004644372233,0.0522380896915006,0
L3H0,4,227.0,227.0,227,0.02135377175661278,0.0625002332620461,0.005470143403039214,0.019736187408037,0
L3H1,4,229.5,228.0,228,0.02135377175661278,0.0625002332620461,0.005470143403039214,0.019736187408037,0
L3H7,4,232.25,233.5,228,0.02135377175661278,0.0625002332620461,0.005470143403039214,0.019736187408037,0
L3H2,4,230.0,229.0,229,0.02135377175661278,0.0625002332620461,0.005470143403039214,0.019736187408037,0
L3H6,4,231.75,232.5,229,0.02135377175661278,0.0625002332620461,0.005470143403039214,0.019736187408037,0
L3H3,4,231.5,231.0,230,0.02135377175661278,0.0625002332620461,0.005470143403039214,0.019736187408037,0
L3H4,4,230.75,231.0,230,0.02135377175661278,0.0625002332620461,0.005470143403039214,0.019736187408037,0
L3H5,4,231.25,231.5,230,0.02135377175661278,0.0625002332620461,0.005470143403039214,0.019736187408037,0
