component,mean_abs_delta_change,max_abs_delta_change,mean_effect_size,max_effect_size,flips,experiment,rank_in_experiment
L17H6,0.4109374757257097,1.1093741535051471,0.046372212301284924,0.1154470599498096,0,PT2_COREDe_to_PT3_COREDe,68
L17H5,0.4109374757257097,1.1093741535051471,0.046372212301284924,0.1154470599498096,0,PT2_COREDe_to_PT3_COREDe,69
L17H0,0.4109374757257097,1.1093741535051471,0.046372212301284924,0.1154470599498096,0,PT2_COREDe_to_PT3_COREDe,70
L17H1,0.4109374757257097,1.1093741535051471,0.046372212301284924,0.1154470599498096,0,PT2_COREDe_to_PT3_COREDe,71
L17H4,0.4109374757257097,1.1093741535051471,0.046372212301284924,0.1154470599498096,0,PT2_COREDe_to_PT3_COREDe,72
L20H6,0.381770717443745,0.6249997374683787,0.04653527043209459,0.0739371121512487,0,PT2_COREDe_to_PT3_COREDe,73
L20H5,0.381770717443745,0.6249997374683787,0.04653527043209459,0.0739371121512487,0,PT2_COREDe_to_PT3_COREDe,74
L20H4,0.381770717443745,0.6249997374683787,0.04653527043209459,0.0739371121512487,0,PT2_COREDe_to_PT3_COREDe,75
L20H7,0.381770717443745,0.6249997374683787,0.04653527043209459,0.0739371121512487,0,PT2_COREDe_to_PT3_COREDe,76
L20H3,0.381770717443745,0.6249997374683787,0.04653527043209459,0.0739371121512487,0,PT2_COREDe_to_PT3_COREDe,77
L20H2,0.381770717443745,0.6249997374683787,0.04653527043209459,0.0739371121512487,0,PT2_COREDe_to_PT3_COREDe,78
L20H1,0.381770717443745,0.6249997374683787,0.04653527043209459,0.0739371121512487,0,PT2_COREDe_to_PT3_COREDe,79
L20H0,0.381770717443745,0.6249997374683787,0.04653527043209459,0.0739371121512487,0,PT2_COREDe_to_PT3_COREDe,80
L6H3,0.365625002563199,0.4765625251402481,0.044622272422386054,0.0653104848101757,0,PT2_COREDe_to_PT3_COREDe,81
L6H0,0.365625002563199,0.4765625251402481,0.044622272422386054,0.0653104848101757,0,PT2_COREDe_to_PT3_COREDe,82
L6H1,0.365625002563199,0.4765625251402481,0.044622272422386054,0.0653104848101757,0,PT2_COREDe_to_PT3_COREDe,83
L6H2,0.365625002563199,0.4765625251402481,0.044622272422386054,0.0653104848101757,0,PT2_COREDe_to_PT3_COREDe,84
L6H5,0.365625002563199,0.4765625251402481,0.044622272422386054,0.0653104848101757,0,PT2_COREDe_to_PT3_COREDe,85
L6H4,0.365625002563199,0.4765625251402481,0.044622272422386054,0.0653104848101757,0,PT2_COREDe_to_PT3_COREDe,86
L6H6,0.365625002563199,0.4765625251402481,0.044622272422386054,0.0653104848101757,0,PT2_COREDe_to_PT3_COREDe,87
L6H7,0.365625002563199,0.4765625251402481,0.044622272422386054,0.0653104848101757,0,PT2_COREDe_to_PT3_COREDe,88
L14H0,0.35260417501811653,0.5000001116470987,0.04355387238295841,0.0653105002313468,0,PT2_COREDe_to_PT3_COREDe,89
L14H3,0.35260417501811653,0.5000001116470987,0.04355387238295841,0.0653105002313468,0,PT2_COREDe_to_PT3_COREDe,90
L14H4,0.35260417501811653,0.5000001116470987,0.04355387238295841,0.0653105002313468,0,PT2_COREDe_to_PT3_COREDe,91
L14H5,0.35260417501811653,0.5000001116470987,0.04355387238295841,0.0653105002313468,0,PT2_COREDe_to_PT3_COREDe,92
L14H6,0.35260417501811653,0.5000001116470987,0.04355387238295841,0.0653105002313468,0,PT2_COREDe_to_PT3_COREDe,93
L14H7,0.35260417501811653,0.5000001116470987,0.04355387238295841,0.0653105002313468,0,PT2_COREDe_to_PT3_COREDe,94
L14H1,0.35260417501811653,0.5000001116470987,0.04355387238295841,0.0653105002313468,0,PT2_COREDe_to_PT3_COREDe,95
L14H2,0.35260417501811653,0.5000001116470987,0.04355387238295841,0.0653105002313468,0,PT2_COREDe_to_PT3_COREDe,96
L11_MLP,0.34427074867652746,0.3984374512592916,0.04185343155748558,0.0521376223374367,0,PT2_COREDe_to_PT3_COREDe,97
L17_MLP,0.34218758518802583,0.578125189511101,0.04234465857886935,0.0740354527310846,0,PT2_COREDe_to_PT3_COREDe,98
L20_MLP,0.3348958819478444,0.5234377473196883,0.040477960019242,0.0629370532514383,0,PT2_COREDe_to_PT3_COREDe,99
L22_MLP,0.32864592249843555,0.8828124852571193,0.03712443944773369,0.0920195292739563,0,PT2_COREDe_to_PT3_COREDe,100
L10_MLP,0.3249999471383718,0.7031254608592885,0.037051316528913844,0.0732898027425346,0,PT2_COREDe_to_PT3_COREDe,101
L1H6,0.289583456081132,0.3671878032024915,0.03565636515428203,0.0492505260017848,0,PT2_COREDe_to_PT3_COREDe,102
L1H5,0.289583456081132,0.3671878032024915,0.03565636515428203,0.0492505260017848,0,PT2_COREDe_to_PT3_COREDe,103
L1H7,0.289583456081132,0.3671878032024915,0.03565636515428203,0.0492505260017848,0,PT2_COREDe_to_PT3_COREDe,104
L1H1,0.289583456081132,0.3671878032024915,0.03565636515428203,0.0492505260017848,0,PT2_COREDe_to_PT3_COREDe,105
L1H4,0.289583456081132,0.3671878032024915,0.03565636515428203,0.0492505260017848,0,PT2_COREDe_to_PT3_COREDe,106
L1H3,0.289583456081132,0.3671878032024915,0.03565636515428203,0.0492505260017848,0,PT2_COREDe_to_PT3_COREDe,107
L1H2,0.289583456081132,0.3671878032024915,0.03565636515428203,0.0492505260017848,0,PT2_COREDe_to_PT3_COREDe,108
L1H0,0.289583456081132,0.3671878032024915,0.03565636515428203,0.0492505260017848,0,PT2_COREDe_to_PT3_COREDe,109
L21H7,0.28697928825523095,0.4687501068465405,0.035428343321056925,0.0625651764798825,0,PT2_COREDe_to_PT3_COREDe,110
L21H1,0.28697928825523095,0.4687501068465405,0.035428343321056925,0.0625651764798825,0,PT2_COREDe_to_PT3_COREDe,111
L21H4,0.28697928825523095,0.4687501068465405,0.035428343321056925,0.0625651764798825,0,PT2_COREDe_to_PT3_COREDe,112
L21H3,0.28697928825523095,0.4687501068465405,0.035428343321056925,0.0625651764798825,0,PT2_COREDe_to_PT3_COREDe,113
L21H5,0.28697928825523095,0.4687501068465405,0.035428343321056925,0.0625651764798825,0,PT2_COREDe_to_PT3_COREDe,114
L21H6,0.28697928825523095,0.4687501068465405,0.035428343321056925,0.0625651764798825,0,PT2_COREDe_to_PT3_COREDe,115
L21H2,0.28697928825523095,0.4687501068465405,0.035428343321056925,0.0625651764798825,0,PT2_COREDe_to_PT3_COREDe,116
L21H0,0.28697928825523095,0.4687501068465405,0.035428343321056925,0.0625651764798825,0,PT2_COREDe_to_PT3_COREDe,117
L8H1,0.279687373301244,0.3828123031794641,0.034787250803104935,0.0513918542373048,0,PT2_COREDe_to_PT3_COREDe,118
L8H7,0.279687373301244,0.3828123031794641,0.034787250803104935,0.0513918542373048,0,PT2_COREDe_to_PT3_COREDe,119
L8H0,0.279687373301244,0.3828123031794641,0.034787250803104935,0.0513918542373048,0,PT2_COREDe_to_PT3_COREDe,120
L8H2,0.279687373301244,0.3828123031794641,0.034787250803104935,0.0513918542373048,0,PT2_COREDe_to_PT3_COREDe,121
L8H3,0.279687373301244,0.3828123031794641,0.034787250803104935,0.0513918542373048,0,PT2_COREDe_to_PT3_COREDe,122
L8H4,0.279687373301244,0.3828123031794641,0.034787250803104935,0.0513918542373048,0,PT2_COREDe_to_PT3_COREDe,123
L8H5,0.279687373301244,0.3828123031794641,0.034787250803104935,0.0513918542373048,0,PT2_COREDe_to_PT3_COREDe,124
L8H6,0.279687373301244,0.3828123031794641,0.034787250803104935,0.0513918542373048,0,PT2_COREDe_to_PT3_COREDe,125
L2_MLP,0.24218760188832222,0.2812502394477238,0.02890743527001999,0.0332716844070597,0,PT2_COREDe_to_PT3_COREDe,126
L8_MLP,0.24166650891871058,0.4453127300877515,0.02852547871722082,0.0463414847771784,0,PT2_COREDe_to_PT3_COREDe,127
L6_MLP,0.23229155553076378,0.3281243859203062,0.0277848905910217,0.0342612618818636,0,PT2_COREDe_to_PT3_COREDe,128
L18_MLP,0.2291665675788349,0.6328120067911289,0.0270899355343848,0.0754892142004824,0,PT2_COREDe_to_PT3_COREDe,129
L9H3,0.1942707813847699,0.2734382148257541,0.023190155076808914,0.0321198806255293,0,PT2_COREDe_to_PT3_COREDe,130
L9H0,0.1942707813847699,0.2734382148257541,0.023190155076808914,0.0321198806255293,0,PT2_COREDe_to_PT3_COREDe,131
L9H2,0.1942707813847699,0.2734382148257541,0.023190155076808914,0.0321198806255293,0,PT2_COREDe_to_PT3_COREDe,132
L9H5,0.1942707813847699,0.2734382148257541,0.023190155076808914,0.0321198806255293,0,PT2_COREDe_to_PT3_COREDe,133
L9H6,0.1942707813847699,0.2734382148257541,0.023190155076808914,0.0321198806255293,0,PT2_COREDe_to_PT3_COREDe,134
L9H7,0.1942707813847699,0.2734382148257541,0.023190155076808914,0.0321198806255293,0,PT2_COREDe_to_PT3_COREDe,135
L9H4,0.1942707813847699,0.2734382148257541,0.023190155076808914,0.0321198806255293,0,PT2_COREDe_to_PT3_COREDe,136
L9H1,0.1942707813847699,0.2734382148257541,0.023190155076808914,0.0321198806255293,0,PT2_COREDe_to_PT3_COREDe,137
L11H4,0.18125000862449805,0.2656252230306961,0.02221975744732437,0.0354535656353119,0,PT2_COREDe_to_PT3_COREDe,138
L11H0,0.18125000862449805,0.2656252230306961,0.02221975744732437,0.0354535656353119,0,PT2_COREDe_to_PT3_COREDe,139
L11H1,0.18125000862449805,0.2656252230306961,0.02221975744732437,0.0354535656353119,0,PT2_COREDe_to_PT3_COREDe,140
L11H2,0.18125000862449805,0.2656252230306961,0.02221975744732437,0.0354535656353119,0,PT2_COREDe_to_PT3_COREDe,141
L11H3,0.18125000862449805,0.2656252230306961,0.02221975744732437,0.0354535656353119,0,PT2_COREDe_to_PT3_COREDe,142
L11H5,0.18125000862449805,0.2656252230306961,0.02221975744732437,0.0354535656353119,0,PT2_COREDe_to_PT3_COREDe,143
L11H6,0.18125000862449805,0.2656252230306961,0.02221975744732437,0.0354535656353119,0,PT2_COREDe_to_PT3_COREDe,144
L11H7,0.18125000862449805,0.2656252230306961,0.02221975744732437,0.0354535656353119,0,PT2_COREDe_to_PT3_COREDe,145
L0_MLP,0.17187508665644816,0.2968749802256605,0.021859903912263678,0.0396246000992611,0,PT2_COREDe_to_PT3_COREDe,146
L2H6,0.17135416235787782,0.328125598073731,0.02021860992796488,0.0341464017997868,0,PT2_COREDe_to_PT3_COREDe,147
L2H5,0.17135416235787782,0.328125598073731,0.02021860992796488,0.0341464017997868,0,PT2_COREDe_to_PT3_COREDe,148
L2H4,0.17135416235787782,0.328125598073731,0.02021860992796488,0.0341464017997868,0,PT2_COREDe_to_PT3_COREDe,149
L2H3,0.17135416235787782,0.328125598073731,0.02021860992796488,0.0341464017997868,0,PT2_COREDe_to_PT3_COREDe,150
L2H2,0.17135416235787782,0.328125598073731,0.02021860992796488,0.0341464017997868,0,PT2_COREDe_to_PT3_COREDe,151
L2H1,0.17135416235787782,0.328125598073731,0.02021860992796488,0.0341464017997868,0,PT2_COREDe_to_PT3_COREDe,152
L2H0,0.17135416235787782,0.328125598073731,0.02021860992796488,0.0341464017997868,0,PT2_COREDe_to_PT3_COREDe,153
L2H7,0.17135416235787782,0.328125598073731,0.02021860992796488,0.0341464017997868,0,PT2_COREDe_to_PT3_COREDe,154
L5_MLP,0.16614594110365946,0.33593797859975,0.01954101902596056,0.0350163315225316,0,PT2_COREDe_to_PT3_COREDe,155
L12H5,0.16562504902585976,0.3281250255086583,0.02080965013485442,0.0437956169578773,0,PT2_COREDe_to_PT3_COREDe,156
L12H4,0.16562504902585976,0.3281250255086583,0.02080965013485442,0.0437956169578773,0,PT2_COREDe_to_PT3_COREDe,157
L12H7,0.16562504902585976,0.3281250255086583,0.02080965013485442,0.0437956169578773,0,PT2_COREDe_to_PT3_COREDe,158
L12H3,0.16562504902585976,0.3281250255086583,0.02080965013485442,0.0437956169578773,0,PT2_COREDe_to_PT3_COREDe,159
L12H2,0.16562504902585976,0.3281250255086583,0.02080965013485442,0.0437956169578773,0,PT2_COREDe_to_PT3_COREDe,160
L12H1,0.16562504902585976,0.3281250255086583,0.02080965013485442,0.0437956169578773,0,PT2_COREDe_to_PT3_COREDe,161
L12H0,0.16562504902585976,0.3281250255086583,0.02080965013485442,0.0437956169578773,0,PT2_COREDe_to_PT3_COREDe,162
L12H6,0.16562504902585976,0.3281250255086583,0.02080965013485442,0.0437956169578773,0,PT2_COREDe_to_PT3_COREDe,163
L7_MLP,0.16145826479391834,0.2968748763465676,0.019865356074528266,0.0406852009533256,0,PT2_COREDe_to_PT3_COREDe,164
L5H7,0.15260414039476597,0.2500002190078412,0.0191313749604085,0.0342612661397308,0,PT2_COREDe_to_PT3_COREDe,165
L5H4,0.15260414039476597,0.2500002190078412,0.0191313749604085,0.0342612661397308,0,PT2_COREDe_to_PT3_COREDe,166
L5H3,0.15260414039476597,0.2500002190078412,0.0191313749604085,0.0342612661397308,0,PT2_COREDe_to_PT3_COREDe,167
L5H2,0.15260414039476597,0.2500002190078412,0.0191313749604085,0.0342612661397308,0,PT2_COREDe_to_PT3_COREDe,168
L5H6,0.15260414039476597,0.2500002190078412,0.0191313749604085,0.0342612661397308,0,PT2_COREDe_to_PT3_COREDe,169
L5H5,0.15260414039476597,0.2500002190078412,0.0191313749604085,0.0342612661397308,0,PT2_COREDe_to_PT3_COREDe,170
L5H0,0.15260414039476597,0.2500002190078412,0.0191313749604085,0.0342612661397308,0,PT2_COREDe_to_PT3_COREDe,171
L5H1,0.15260414039476597,0.2500002190078412,0.0191313749604085,0.0342612661397308,0,PT2_COREDe_to_PT3_COREDe,172
L21_MLP,0.1385415812109176,0.2187499221743918,0.01692718367006024,0.0291970653145514,0,PT2_COREDe_to_PT3_COREDe,173
L12_MLP,0.11510427334128943,0.3124997700773591,0.013768581236634414,0.0337552461732798,0,PT2_COREDe_to_PT3_COREDe,174
L10H0,0.11249992096240052,0.2031258379157297,0.013072829551912867,0.0218855192803235,0,PT2_COREDe_to_PT3_COREDe,175
L10H7,0.11249992096240052,0.2031258379157297,0.013072829551912867,0.0218855192803235,0,PT2_COREDe_to_PT3_COREDe,176
L10H1,0.11249992096240052,0.2031258379157297,0.013072829551912867,0.0218855192803235,0,PT2_COREDe_to_PT3_COREDe,177
L10H4,0.11249992096240052,0.2031258379157297,0.013072829551912867,0.0218855192803235,0,PT2_COREDe_to_PT3_COREDe,178
L10H6,0.11249992096240052,0.2031258379157297,0.013072829551912867,0.0218855192803235,0,PT2_COREDe_to_PT3_COREDe,179
L10H5,0.11249992096240052,0.2031258379157297,0.013072829551912867,0.0218855192803235,0,PT2_COREDe_to_PT3_COREDe,180
L10H3,0.11249992096240052,0.2031258379157297,0.013072829551912867,0.0218855192803235,0,PT2_COREDe_to_PT3_COREDe,181
L10H2,0.11249992096240052,0.2031258379157297,0.013072829551912867,0.0218855192803235,0,PT2_COREDe_to_PT3_COREDe,182
L4H1,0.11197916121472302,0.1875001940955876,0.013924672132058193,0.0239833015718019,0,PT2_COREDe_to_PT3_COREDe,183
L4H2,0.11197916121472302,0.1875001940955876,0.013924672132058193,0.0239833015718019,0,PT2_COREDe_to_PT3_COREDe,184
L4H3,0.11197916121472302,0.1875001940955876,0.013924672132058193,0.0239833015718019,0,PT2_COREDe_to_PT3_COREDe,185
L4H4,0.11197916121472302,0.1875001940955876,0.013924672132058193,0.0239833015718019,0,PT2_COREDe_to_PT3_COREDe,186
L4H5,0.11197916121472302,0.1875001940955876,0.013924672132058193,0.0239833015718019,0,PT2_COREDe_to_PT3_COREDe,187
L4H6,0.11197916121472302,0.1875001940955876,0.013924672132058193,0.0239833015718019,0,PT2_COREDe_to_PT3_COREDe,188
L4H7,0.11197916121472302,0.1875001940955876,0.013924672132058193,0.0239833015718019,0,PT2_COREDe_to_PT3_COREDe,189
L4H0,0.11197916121472302,0.1875001940955876,0.013924672132058193,0.0239833015718019,0,PT2_COREDe_to_PT3_COREDe,190
L9_MLP,0.09531230391482261,0.2968744038528594,0.01065571404535664,0.0309445588414736,0,PT2_COREDe_to_PT3_COREDe,191
L3_MLP,0.09218765439706221,0.2109373847259874,0.01069644319238642,0.0227272575383293,0,PT2_COREDe_to_PT3_COREDe,192
L13H4,0.08020849435216464,0.2109379643276945,0.009673599377697963,0.0251631464025032,0,PT2_COREDe_to_PT3_COREDe,193
L13H3,0.08020849435216464,0.2109379643276945,0.009673599377697963,0.0251631464025032,0,PT2_COREDe_to_PT3_COREDe,194
L13H5,0.08020849435216464,0.2109379643276945,0.009673599377697963,0.0251631464025032,0,PT2_COREDe_to_PT3_COREDe,195
L13H6,0.08020849435216464,0.2109379643276945,0.009673599377697963,0.0251631464025032,0,PT2_COREDe_to_PT3_COREDe,196
L13H7,0.08020849435216464,0.2109379643276945,0.009673599377697963,0.0251631464025032,0,PT2_COREDe_to_PT3_COREDe,197
L13H2,0.08020849435216464,0.2109379643276945,0.009673599377697963,0.0251631464025032,0,PT2_COREDe_to_PT3_COREDe,198
L13H0,0.08020849435216464,0.2109379643276945,0.009673599377697963,0.0251631464025032,0,PT2_COREDe_to_PT3_COREDe,199
L13H1,0.08020849435216464,0.2109379643276945,0.009673599377697963,0.0251631464025032,0,PT2_COREDe_to_PT3_COREDe,200
L7H7,0.07916670077774363,0.1093752430066885,0.009511800413422679,0.0119879938742905,0,PT2_COREDe_to_PT3_COREDe,201
L7H6,0.07916670077774363,0.1093752430066885,0.009511800413422679,0.0119879938742905,0,PT2_COREDe_to_PT3_COREDe,202
L7H4,0.07916670077774363,0.1093752430066885,0.009511800413422679,0.0119879938742905,0,PT2_COREDe_to_PT3_COREDe,203
L7H3,0.07916670077774363,0.1093752430066885,0.009511800413422679,0.0119879938742905,0,PT2_COREDe_to_PT3_COREDe,204
L7H2,0.07916670077774363,0.1093752430066885,0.009511800413422679,0.0119879938742905,0,PT2_COREDe_to_PT3_COREDe,205
L7H1,0.07916670077774363,0.1093752430066885,0.009511800413422679,0.0119879938742905,0,PT2_COREDe_to_PT3_COREDe,206
L7H5,0.07916670077774363,0.1093752430066885,0.009511800413422679,0.0119879938742905,0,PT2_COREDe_to_PT3_COREDe,207
L7H0,0.07916670077774363,0.1093752430066885,0.009511800413422679,0.0119879938742905,0,PT2_COREDe_to_PT3_COREDe,208
L1_MLP,0.07916668413356473,0.1796877525701123,0.009964128919584835,0.0246252980788854,0,PT2_COREDe_to_PT3_COREDe,209
L24H2,0.07864580280542327,0.1406250036481502,0.009686089803421744,0.0166358576535067,0,PT2_COREDe_to_PT3_COREDe,210
L24H3,0.07864580280542327,0.1406250036481502,0.009686089803421744,0.0166358576535067,0,PT2_COREDe_to_PT3_COREDe,211
L24H4,0.07864580280542327,0.1406250036481502,0.009686089803421744,0.0166358576535067,0,PT2_COREDe_to_PT3_COREDe,212
L24H5,0.07864580280542327,0.1406250036481502,0.009686089803421744,0.0166358576535067,0,PT2_COREDe_to_PT3_COREDe,213
