source_model,target_model,component,scenario,baseline_delta,baseline_action,baseline_p_action2,baseline_delta_legacy,patched_delta,patched_action,patched_p_action2,patched_delta_legacy,delta_change,delta_change_legacy,action_flipped,effect_size,effect_size_legacy
PT3_COREUt,PT3_COREDe,L0H0,CC_continue,-8.45312516740905,Cooperate,0.00021318752560873638,-3.99609375,-8.546875157222205,Cooperate,0.00019411315626598587,-4.0546875,-0.09374998981315485,-0.05859375,False,0.011090570276190492,0.014662752928968964
PT3_COREUt,PT3_COREDe,L0H1,CC_continue,-8.45312516740905,Cooperate,0.00021318752560873638,-3.99609375,-8.546875157222205,Cooperate,0.00019411315626598587,-4.0546875,-0.09374998981315485,-0.05859375,False,0.011090570276190492,0.014662752928968964
PT3_COREUt,PT3_COREDe,L0H2,CC_continue,-8.45312516740905,Cooperate,0.00021318752560873638,-3.99609375,-8.546875157222205,Cooperate,0.00019411315626598587,-4.0546875,-0.09374998981315485,-0.05859375,False,0.011090570276190492,0.014662752928968964
PT3_COREUt,PT3_COREDe,L0H3,CC_continue,-8.45312516740905,Cooperate,0.00021318752560873638,-3.99609375,-8.546875157222205,Cooperate,0.00019411315626598587,-4.0546875,-0.09374998981315485,-0.05859375,False,0.011090570276190492,0.014662752928968964
PT3_COREUt,PT3_COREDe,L0H4,CC_continue,-8.45312516740905,Cooperate,0.00021318752560873638,-3.99609375,-8.546875157222205,Cooperate,0.00019411315626598587,-4.0546875,-0.09374998981315485,-0.05859375,False,0.011090570276190492,0.014662752928968964
PT3_COREUt,PT3_COREDe,L0H5,CC_continue,-8.45312516740905,Cooperate,0.00021318752560873638,-3.99609375,-8.546875157222205,Cooperate,0.00019411315626598587,-4.0546875,-0.09374998981315485,-0.05859375,False,0.011090570276190492,0.014662752928968964
PT3_COREUt,PT3_COREDe,L0H6,CC_continue,-8.45312516740905,Cooperate,0.00021318752560873638,-3.99609375,-8.546875157222205,Cooperate,0.00019411315626598587,-4.0546875,-0.09374998981315485,-0.05859375,False,0.011090570276190492,0.014662752928968964
PT3_COREUt,PT3_COREDe,L0H7,CC_continue,-8.45312516740905,Cooperate,0.00021318752560873638,-3.99609375,-8.546875157222205,Cooperate,0.00019411315626598587,-4.0546875,-0.09374998981315485,-0.05859375,False,0.011090570276190492,0.014662752928968964
PT3_COREUt,PT3_COREDe,L1H0,CC_continue,-8.45312516740905,Cooperate,0.00021318752560873638,-3.99609375,-8.109375313288307,Cooperate,0.00030061626467303026,-4.03515625,0.3437498541207429,-0.0390625,False,0.040665411507291506,0.009775168619312642
PT3_COREUt,PT3_COREDe,L1H1,CC_continue,-8.45312516740905,Cooperate,0.00021318752560873638,-3.99609375,-8.109375313288307,Cooperate,0.00030061626467303026,-4.03515625,0.3437498541207429,-0.0390625,False,0.040665411507291506,0.009775168619312642
