source_model,target_model,component,scenario,baseline_delta,baseline_action,baseline_p_action2,baseline_delta_legacy,patched_delta,patched_action,patched_p_action2,patched_delta_legacy,delta_change,delta_change_legacy,action_flipped,effect_size,effect_size_legacy
PT2_COREDe,PT3_COREDe,L0H0,CC_continue,-8.45312516740905,Cooperate,0.00021318752560873638,-3.99609375,-8.46874957320169,Cooperate,0.00020988317776209677,-4.03515625,-0.015624405792639351,-0.0390625,False,0.001848358285823191,0.009775168619312642
PT2_COREDe,PT3_COREDe,L0H1,CC_continue,-8.45312516740905,Cooperate,0.00021318752560873638,-3.99609375,-8.46874957320169,Cooperate,0.00020988317776209677,-4.03515625,-0.015624405792639351,-0.0390625,False,0.001848358285823191,0.009775168619312642
PT2_COREDe,PT3_COREDe,L0H2,CC_continue,-8.45312516740905,Cooperate,0.00021318752560873638,-3.99609375,-8.46874957320169,Cooperate,0.00020988317776209677,-4.03515625,-0.015624405792639351,-0.0390625,False,0.001848358285823191,0.009775168619312642
PT2_COREDe,PT3_COREDe,L0H3,CC_continue,-8.45312516740905,Cooperate,0.00021318752560873638,-3.99609375,-8.46874957320169,Cooperate,0.00020988317776209677,-4.03515625,-0.015624405792639351,-0.0390625,False,0.001848358285823191,0.009775168619312642
PT2_COREDe,PT3_COREDe,L0H4,CC_continue,-8.45312516740905,Cooperate,0.00021318752560873638,-3.99609375,-8.46874957320169,Cooperate,0.00020988317776209677,-4.03515625,-0.015624405792639351,-0.0390625,False,0.001848358285823191,0.009775168619312642
PT2_COREDe,PT3_COREDe,L0H5,CC_continue,-8.45312516740905,Cooperate,0.00021318752560873638,-3.99609375,-8.46874957320169,Cooperate,0.00020988317776209677,-4.03515625,-0.015624405792639351,-0.0390625,False,0.001848358285823191,0.009775168619312642
PT2_COREDe,PT3_COREDe,L0H6,CC_continue,-8.45312516740905,Cooperate,0.00021318752560873638,-3.99609375,-8.46874957320169,Cooperate,0.00020988317776209677,-4.03515625,-0.015624405792639351,-0.0390625,False,0.001848358285823191,0.009775168619312642
PT2_COREDe,PT3_COREDe,L0H7,CC_continue,-8.45312516740905,Cooperate,0.00021318752560873638,-3.99609375,-8.46874957320169,Cooperate,0.00020988317776209677,-4.03515625,-0.015624405792639351,-0.0390625,False,0.001848358285823191,0.009775168619312642
PT2_COREDe,PT3_COREDe,L1H0,CC_continue,-8.45312516740905,Cooperate,0.00021318752560873638,-3.99609375,-8.09375031655796,Cooperate,0.00030534883548075483,-3.99609375,0.3593748508510899,0.0,False,0.04251383970070816,0.0
PT2_COREDe,PT3_COREDe,L1H1,CC_continue,-8.45312516740905,Cooperate,0.00021318752560873638,-3.99609375,-8.09375031655796,Cooperate,0.00030534883548075483,-3.99609375,0.3593748508510899,0.0,False,0.04251383970070816,0.0
PT2_COREDe,PT3_COREDe,L1H2,CC_continue,-8.45312516740905,Cooperate,0.00021318752560873638,-3.99609375,-8.09375031655796,Cooperate,0.00030534883548075483,-3.99609375,0.3593748508510899,0.0,False,0.04251383970070816,0.0
PT2_COREDe,PT3_COREDe,L1H3,CC_continue,-8.45312516740905,Cooperate,0.00021318752560873638,-3.99609375,-8.09375031655796,Cooperate,0.00030534883548075483,-3.99609375,0.3593748508510899,0.0,False,0.04251383970070816,0.0
PT2_COREDe,PT3_COREDe,L1H4,CC_continue,-8.45312516740905,Cooperate,0.00021318752560873638,-3.99609375,-8.09375031655796,Cooperate,0.00030534883548075483,-3.99609375,0.3593748508510899,0.0,False,0.04251383970070816,0.0
PT2_COREDe,PT3_COREDe,L1H5,CC_continue,-8.45312516740905,Cooperate,0.00021318752560873638,-3.99609375,-8.09375031655796,Cooperate,0.00030534883548075483,-3.99609375,0.3593748508510899,0.0,False,0.04251383970070816,0.0
PT2_COREDe,PT3_COREDe,L1H6,CC_continue,-8.45312516740905,Cooperate,0.00021318752560873638,-3.99609375,-8.09375031655796,Cooperate,0.00030534883548075483,-3.99609375,0.3593748508510899,0.0,False,0.04251383970070816,0.0
PT2_COREDe,PT3_COREDe,L1H7,CC_continue,-8.45312516740905,Cooperate,0.00021318752560873638,-3.99609375,-8.09375031655796,Cooperate,0.00030534883548075483,-3.99609375,0.3593748508510899,0.0,False,0.04251383970070816,0.0
PT2_COREDe,PT3_COREDe,L2H0,CC_continue,-8.45312516740905,Cooperate,0.00021318752560873638,-3.99609375,-8.578125406602135,Cooperate,0.00018814199902039325,-4.05078125,-0.1250002391930849,-0.0546875,False,0.014787456938123339,0.0136852360670377
PT2_COREDe,PT3_COREDe,L2H1,CC_continue,-8.45312516740905,Cooperate,0.00021318752560873638,-3.99609375,-8.578125406602135,Cooperate,0.00018814199902039325,-4.05078125,-0.1250002391930849,-0.0546875,False,0.014787456938123339,0.0136852360670377
PT2_COREDe,PT3_COREDe,L2H2,CC_continue,-8.45312516740905,Cooperate,0.00021318752560873638,-3.99609375,-8.578125406602135,Cooperate,0.00018814199902039325,-4.05078125,-0.1250002391930849,-0.0546875,False,0.014787456938123339,0.0136852360670377
PT2_COREDe,PT3_COREDe,L2H3,CC_continue,-8.45312516740905,Cooperate,0.00021318752560873638,-3.99609375,-8.578125406602135,Cooperate,0.00018814199902039325,-4.05078125,-0.1250002391930849,-0.0546875,False,0.014787456938123339,0.0136852360670377
PT2_COREDe,PT3_COREDe,L2H4,CC_continue,-8.45312516740905,Cooperate,0.00021318752560873638,-3.99609375,-8.578125406602135,Cooperate,0.00018814199902039325,-4.05078125,-0.1250002391930849,-0.0546875,False,0.014787456938123339,0.0136852360670377
