scenario,component,delta_change,delta_change,effect_size,effect_size,action_flipped
,,mean,std,mean,std,sum
CC_continue,L0H0,-0.10416468581548388,0.03157314402845411,0.03503052034754197,0.016055910003851957,0
CC_continue,L0H1,-0.10416468581548388,0.03157314402845411,0.03503052034754197,0.016055910003851957,0
CC_continue,L0H2,-0.10416468581548388,0.03157314402845411,0.03503052034754197,0.016055910003851957,0
CC_continue,L0H3,-0.10416468581548388,0.03157314402845411,0.03503052034754197,0.016055910003851957,0
CC_continue,L0H4,-0.10416468581548388,0.03157314402845411,0.03503052034754197,0.016055910003851957,0
CC_continue,L0H5,-0.10416468581548388,0.03157314402845411,0.03503052034754197,0.016055910003851957,0
CC_continue,L0H6,-0.10416468581548388,0.03157314402845411,0.03503052034754197,0.016055910003851957,0
CC_continue,L0H7,-0.10416468581548388,0.03157314402845411,0.03503052034754197,0.016055910003851957,0
CC_continue,L0_MLP,-7.074668414060644e-07,0.0947202541439902,0.024817438575226326,0.014591554747438264,0
CC_continue,L10H0,1.1732145123547848e-06,1.1589098118153329e-06,4.196532828983675e-07,4.6511824579933945e-07,0
CC_continue,L10H1,1.1732145123547848e-06,1.1589098118153329e-06,4.196532828983675e-07,4.6511824579933945e-07,0
CC_continue,L10H2,1.1732145123547848e-06,1.1589098118153329e-06,4.196532828983675e-07,4.6511824579933945e-07,0
CC_continue,L10H3,1.1732145123547848e-06,1.1589098118153329e-06,4.196532828983675e-07,4.6511824579933945e-07,0
CC_continue,L10H4,1.1732145123547848e-06,1.1589098118153329e-06,4.196532828983675e-07,4.6511824579933945e-07,0
CC_continue,L10H5,1.1732145123547848e-06,1.1589098118153329e-06,4.196532828983675e-07,4.6511824579933945e-07,0
CC_continue,L10H6,1.1732145123547848e-06,1.1589098118153329e-06,4.196532828983675e-07,4.6511824579933945e-07,0
CC_continue,L10H7,1.1732145123547848e-06,1.1589098118153329e-06,4.196532828983675e-07,4.6511824579933945e-07,0
CC_continue,L10_MLP,0.052085478949920994,0.031572618143459,0.01603637772798903,0.008731830491144342,0
CC_continue,L11H0,-0.08333429556802303,0.004511402394163853,0.027094981060514334,0.002309578352429646,0
CC_continue,L11H1,-0.08333429556802303,0.004511402394163853,0.027094981060514334,0.002309578352429646,0
CC_continue,L11H2,-0.08333429556802303,0.004511402394163853,0.027094981060514334,0.002309578352429646,0
CC_continue,L11H3,-0.08333429556802303,0.004511402394163853,0.027094981060514334,0.002309578352429646,0
