source_model,target_model,component,scenario,baseline_delta,baseline_action,patched_delta,patched_action,delta_change,action_flipped,effect_size
PT3_COREDe,PT3_COREUt,L5H0,CC_continue,-1.15625,Cooperate,-1.1875,Cooperate,-0.03125,False,0.027027003652321167
PT3_COREDe,PT3_COREUt,L5H1,CC_continue,-1.15625,Cooperate,-1.1875,Cooperate,-0.03125,False,0.027027003652321167
PT3_COREDe,PT3_COREUt,L5H2,CC_continue,-1.15625,Cooperate,-1.1875,Cooperate,-0.03125,False,0.027027003652321167
PT3_COREDe,PT3_COREUt,L5H3,CC_continue,-1.15625,Cooperate,-1.1875,Cooperate,-0.03125,False,0.027027003652321167
PT3_COREDe,PT3_COREUt,L5H4,CC_continue,-1.15625,Cooperate,-1.1875,Cooperate,-0.03125,False,0.027027003652321167
PT3_COREDe,PT3_COREUt,L5H5,CC_continue,-1.15625,Cooperate,-1.1875,Cooperate,-0.03125,False,0.027027003652321167
PT3_COREDe,PT3_COREUt,L5H6,CC_continue,-1.15625,Cooperate,-1.1875,Cooperate,-0.03125,False,0.027027003652321167
PT3_COREDe,PT3_COREUt,L5H7,CC_continue,-1.15625,Cooperate,-1.1875,Cooperate,-0.03125,False,0.027027003652321167
PT3_COREDe,PT3_COREUt,L6H0,CC_continue,-1.15625,Cooperate,-1.1875,Cooperate,-0.03125,False,0.027027003652321167
PT3_COREDe,PT3_COREUt,L6H1,CC_continue,-1.15625,Cooperate,-1.1875,Cooperate,-0.03125,False,0.027027003652321167
PT3_COREDe,PT3_COREUt,L6H2,CC_continue,-1.15625,Cooperate,-1.1875,Cooperate,-0.03125,False,0.027027003652321167
PT3_COREDe,PT3_COREUt,L6H3,CC_continue,-1.15625,Cooperate,-1.1875,Cooperate,-0.03125,False,0.027027003652321167
PT3_COREDe,PT3_COREUt,L6H4,CC_continue,-1.15625,Cooperate,-1.1875,Cooperate,-0.03125,False,0.027027003652321167
PT3_COREDe,PT3_COREUt,L6H5,CC_continue,-1.15625,Cooperate,-1.1875,Cooperate,-0.03125,False,0.027027003652321167
PT3_COREDe,PT3_COREUt,L6H6,CC_continue,-1.15625,Cooperate,-1.1875,Cooperate,-0.03125,False,0.027027003652321167
PT3_COREDe,PT3_COREUt,L6H7,CC_continue,-1.15625,Cooperate,-1.1875,Cooperate,-0.03125,False,0.027027003652321167
PT3_COREDe,PT3_COREUt,L7H0,CC_continue,-1.15625,Cooperate,-1.21875,Cooperate,-0.0625,False,0.05405400730464233
PT3_COREDe,PT3_COREUt,L7H1,CC_continue,-1.15625,Cooperate,-1.21875,Cooperate,-0.0625,False,0.05405400730464233
PT3_COREDe,PT3_COREUt,L7H2,CC_continue,-1.15625,Cooperate,-1.21875,Cooperate,-0.0625,False,0.05405400730464233
PT3_COREDe,PT3_COREUt,L7H3,CC_continue,-1.15625,Cooperate,-1.21875,Cooperate,-0.0625,False,0.05405400730464233
PT3_COREDe,PT3_COREUt,L7H4,CC_continue,-1.15625,Cooperate,-1.21875,Cooperate,-0.0625,False,0.05405400730464233
PT3_COREDe,PT3_COREUt,L7H5,CC_continue,-1.15625,Cooperate,-1.21875,Cooperate,-0.0625,False,0.05405400730464233
PT3_COREDe,PT3_COREUt,L7H6,CC_continue,-1.15625,Cooperate,-1.21875,Cooperate,-0.0625,False,0.05405400730464233
PT3_COREDe,PT3_COREUt,L7H7,CC_continue,-1.15625,Cooperate,-1.21875,Cooperate,-0.0625,False,0.05405400730464233
PT3_COREDe,PT3_COREUt,L8H0,CC_continue,-1.15625,Cooperate,-1.28125,Cooperate,-0.125,False,0.10810801460928467
PT3_COREDe,PT3_COREUt,L8H1,CC_continue,-1.15625,Cooperate,-1.28125,Cooperate,-0.125,False,0.10810801460928467
PT3_COREDe,PT3_COREUt,L8H2,CC_continue,-1.15625,Cooperate,-1.28125,Cooperate,-0.125,False,0.10810801460928467
PT3_COREDe,PT3_COREUt,L8H3,CC_continue,-1.15625,Cooperate,-1.28125,Cooperate,-0.125,False,0.10810801460928467
PT3_COREDe,PT3_COREUt,L8H4,CC_continue,-1.15625,Cooperate,-1.28125,Cooperate,-0.125,False,0.10810801460928467
PT3_COREDe,PT3_COREUt,L8H5,CC_continue,-1.15625,Cooperate,-1.28125,Cooperate,-0.125,False,0.10810801460928467
PT3_COREDe,PT3_COREUt,L8H6,CC_continue,-1.15625,Cooperate,-1.28125,Cooperate,-0.125,False,0.10810801460928467
PT3_COREDe,PT3_COREUt,L8H7,CC_continue,-1.15625,Cooperate,-1.28125,Cooperate,-0.125,False,0.10810801460928467
PT3_COREDe,PT3_COREUt,L9H0,CC_continue,-1.15625,Cooperate,-1.25,Cooperate,-0.09375,False,0.0810810109569635
PT3_COREDe,PT3_COREUt,L9H1,CC_continue,-1.15625,Cooperate,-1.25,Cooperate,-0.09375,False,0.0810810109569635
PT3_COREDe,PT3_COREUt,L9H2,CC_continue,-1.15625,Cooperate,-1.25,Cooperate,-0.09375,False,0.0810810109569635
PT3_COREDe,PT3_COREUt,L9H3,CC_continue,-1.15625,Cooperate,-1.25,Cooperate,-0.09375,False,0.0810810109569635
PT3_COREDe,PT3_COREUt,L9H4,CC_continue,-1.15625,Cooperate,-1.25,Cooperate,-0.09375,False,0.0810810109569635
PT3_COREDe,PT3_COREUt,L9H5,CC_continue,-1.15625,Cooperate,-1.25,Cooperate,-0.09375,False,0.0810810109569635
PT3_COREDe,PT3_COREUt,L9H6,CC_continue,-1.15625,Cooperate,-1.25,Cooperate,-0.09375,False,0.0810810109569635
PT3_COREDe,PT3_COREUt,L9H7,CC_continue,-1.15625,Cooperate,-1.25,Cooperate,-0.09375,False,0.0810810109569635
PT3_COREDe,PT3_COREUt,L10H0,CC_continue,-1.15625,Cooperate,-1.1875,Cooperate,-0.03125,False,0.027027003652321167
PT3_COREDe,PT3_COREUt,L10H1,CC_continue,-1.15625,Cooperate,-1.1875,Cooperate,-0.03125,False,0.027027003652321167
PT3_COREDe,PT3_COREUt,L10H2,CC_continue,-1.15625,Cooperate,-1.1875,Cooperate,-0.03125,False,0.027027003652321167
PT3_COREDe,PT3_COREUt,L10H3,CC_continue,-1.15625,Cooperate,-1.1875,Cooperate,-0.03125,False,0.027027003652321167
PT3_COREDe,PT3_COREUt,L10H4,CC_continue,-1.15625,Cooperate,-1.1875,Cooperate,-0.03125,False,0.027027003652321167
PT3_COREDe,PT3_COREUt,L10H5,CC_continue,-1.15625,Cooperate,-1.1875,Cooperate,-0.03125,False,0.027027003652321167
PT3_COREDe,PT3_COREUt,L10H6,CC_continue,-1.15625,Cooperate,-1.1875,Cooperate,-0.03125,False,0.027027003652321167
PT3_COREDe,PT3_COREUt,L10H7,CC_continue,-1.15625,Cooperate,-1.1875,Cooperate,-0.03125,False,0.027027003652321167
PT3_COREDe,PT3_COREUt,L11H0,CC_continue,-1.15625,Cooperate,-1.1875,Cooperate,-0.03125,False,0.027027003652321167
PT3_COREDe,PT3_COREUt,L11H1,CC_continue,-1.15625,Cooperate,-1.1875,Cooperate,-0.03125,False,0.027027003652321167
PT3_COREDe,PT3_COREUt,L11H2,CC_continue,-1.15625,Cooperate,-1.1875,Cooperate,-0.03125,False,0.027027003652321167
PT3_COREDe,PT3_COREUt,L11H3,CC_continue,-1.15625,Cooperate,-1.1875,Cooperate,-0.03125,False,0.027027003652321167
PT3_COREDe,PT3_COREUt,L11H4,CC_continue,-1.15625,Cooperate,-1.1875,Cooperate,-0.03125,False,0.027027003652321167
PT3_COREDe,PT3_COREUt,L11H5,CC_continue,-1.15625,Cooperate,-1.1875,Cooperate,-0.03125,False,0.027027003652321167
PT3_COREDe,PT3_COREUt,L11H6,CC_continue,-1.15625,Cooperate,-1.1875,Cooperate,-0.03125,False,0.027027003652321167
PT3_COREDe,PT3_COREUt,L11H7,CC_continue,-1.15625,Cooperate,-1.1875,Cooperate,-0.03125,False,0.027027003652321167
PT3_COREDe,PT3_COREUt,L12H0,CC_continue,-1.15625,Cooperate,-1.21875,Cooperate,-0.0625,False,0.05405400730464233
PT3_COREDe,PT3_COREUt,L12H1,CC_continue,-1.15625,Cooperate,-1.21875,Cooperate,-0.0625,False,0.05405400730464233
