source_model,target_model,component,scenario,baseline_delta,baseline_action,baseline_p_action2,baseline_delta_legacy,patched_delta,patched_action,patched_p_action2,patched_delta_legacy,delta_change,delta_change_legacy,action_flipped,effect_size,effect_size_legacy
PT2_COREDe,PT3_COREUt,L0H0,CC_continue,-3.3359384282053037,Cooperate,0.034358658536869154,-1.703125,-3.45312355697729,Cooperate,0.030675844618690374,-1.703125,-0.11718512877198606,0.0,False,0.03512807450314836,0.0
PT2_COREDe,PT3_COREUt,L0H1,CC_continue,-3.3359384282053037,Cooperate,0.034358658536869154,-1.703125,-3.45312355697729,Cooperate,0.030675844618690374,-1.703125,-0.11718512877198606,0.0,False,0.03512807450314836,0.0
PT2_COREDe,PT3_COREUt,L0H2,CC_continue,-3.3359384282053037,Cooperate,0.034358658536869154,-1.703125,-3.45312355697729,Cooperate,0.030675844618690374,-1.703125,-0.11718512877198606,0.0,False,0.03512807450314836,0.0
PT2_COREDe,PT3_COREUt,L0H3,CC_continue,-3.3359384282053037,Cooperate,0.034358658536869154,-1.703125,-3.45312355697729,Cooperate,0.030675844618690374,-1.703125,-0.11718512877198606,0.0,False,0.03512807450314836,0.0
PT2_COREDe,PT3_COREUt,L0H4,CC_continue,-3.3359384282053037,Cooperate,0.034358658536869154,-1.703125,-3.45312355697729,Cooperate,0.030675844618690374,-1.703125,-0.11718512877198606,0.0,False,0.03512807450314836,0.0
PT2_COREDe,PT3_COREUt,L0H5,CC_continue,-3.3359384282053037,Cooperate,0.034358658536869154,-1.703125,-3.45312355697729,Cooperate,0.030675844618690374,-1.703125,-0.11718512877198606,0.0,False,0.03512807450314836,0.0
PT2_COREDe,PT3_COREUt,L0H6,CC_continue,-3.3359384282053037,Cooperate,0.034358658536869154,-1.703125,-3.45312355697729,Cooperate,0.030675844618690374,-1.703125,-0.11718512877198606,0.0,False,0.03512807450314836,0.0
PT2_COREDe,PT3_COREUt,L0H7,CC_continue,-3.3359384282053037,Cooperate,0.034358658536869154,-1.703125,-3.45312355697729,Cooperate,0.030675844618690374,-1.703125,-0.11718512877198606,0.0,False,0.03512807450314836,0.0
PT2_COREDe,PT3_COREUt,L1H0,CC_continue,-3.3359384282053037,Cooperate,0.034358658536869154,-1.703125,-3.039065397509958,Cooperate,0.04569190603794278,-1.69921875,0.29687303069534554,0.00390625,False,0.08899233247021507,0.002293576634964178
PT2_COREDe,PT3_COREUt,L1H1,CC_continue,-3.3359384282053037,Cooperate,0.034358658536869154,-1.703125,-3.039065397509958,Cooperate,0.04569190603794278,-1.69921875,0.29687303069534554,0.00390625,False,0.08899233247021507,0.002293576634964178
