category,L3_mean_attention_PT2_COREDe,L9_mean_attention_PT2_COREDe,attention_difference_PT2_COREDe,num_tokens_PT2_COREDe,L3_mean_attention_PT3_COREDe,L9_mean_attention_PT3_COREDe,attention_difference_PT3_COREDe,num_tokens_PT3_COREDe
opponent_actions,0.0013302862644195557,0.001791924238204956,0.0004616379737854004,1,0.001359403133392334,0.0019453763961791992,0.0005859732627868652,1
payoffs,0.000651766856511434,0.0008472949266433716,0.00019552807013193765,6,0.0006779320538043976,0.0009263133009274801,0.00024838124712308246,6
other,0.004876285974009365,0.004868113198408894,-8.172775600470749e-06,204,0.004875612974751229,0.00486535253916301,-1.0260435588219587e-05,204
