scenario,baseline_p_action2,transplanted_p_action2,delta_p_action2,baseline_coop_rate,transplanted_coop_rate
CC_continue,0.8670357718271842,0.009125635929644542,-0.8579101358975396,0.13296422817281583,0.9908743640703555
CC_continue,0.8670357718271842,0.009125635929644542,-0.8579101358975396,0.13296422817281583,0.9908743640703555
CC_continue,0.9669139533347434,0.0015011819128997017,-0.9654127714218437,0.03308604666525661,0.9984988180871003
CC_temptation,0.9770226436949722,0.05340330943351726,-0.9236193342614549,0.02297735630502784,0.9465966905664828
CC_temptation,0.9770226436949722,0.05340330943351726,-0.9236193342614549,0.02297735630502784,0.9465966905664828
CC_temptation,0.9850429288070924,0.008061990460363157,-0.9769809383467293,0.014957071192907567,0.9919380095396368
CD_punished,0.49999987617676206,0.0026316731209145784,-0.4973682030558475,0.5000001238232379,0.9973683268790854
CD_punished,0.49999987617676206,0.0026316731209145784,-0.4973682030558475,0.5000001238232379,0.9973683268790854
CD_punished,0.9046503826691921,0.0007554053875301783,-0.9038949772816619,0.09534961733080793,0.9992445946124698
DC_exploited,0.9706878447993078,0.03308598184483342,-0.9376018629544743,0.02931215520069219,0.9669140181551665
DC_exploited,0.9706878447993078,0.03308598184483342,-0.9376018629544743,0.02931215520069219,0.9669140181551665
DC_exploited,0.9579124176526229,0.0010322306758336838,-0.9568801869767892,0.042087582347377084,0.9989677693241663
DD_trapped,0.8670361963463146,0.009708475805001903,-0.8573277205413127,0.13296380365368543,0.9902915241949981
DD_trapped,0.8670361963463146,0.009708475805001903,-0.8573277205413127,0.13296380365368543,0.9902915241949981
DD_trapped,0.5621777425910162,0.00037998439694739725,-0.5617977581940687,0.43782225740898384,0.9996200156030526
