end_layer,mean_p_action2,mean_coop_rate
2,0.12507412204762894,0.8749258779523711
3,0.19130562083823316,0.8086943791617669
4,0.20447942562375304,0.795520574376247
5,0.2213315352494866,0.7786684647505134
6,0.22420408680818013,0.7757959131918198
7,0.22247767084387787,0.7775223291561222
8,0.22332775695763812,0.7766722430423618
9,0.2247077482631151,0.7752922517368849
