scenario,baseline_p_action2,patched_p_action2,delta_p_action2
CC_continue,0.8670357735451738,0.4073359740229528,-0.459699799522221
CC_temptation,0.9740426812638592,0.817575071248314,-0.1564676100155452
CD_punished,0.5312096768140148,0.377542473801276,-0.15366720301273878
DC_exploited,0.9706878544458885,0.8933098403999731,-0.07737801404591538
DD_trapped,0.8670362344081175,0.6513569861228079,-0.2156792482853096
