scenario,baseline_p_action2,patched_p_action2,delta_p_action2
CC_continue,0.8670357735451738,0.7310597733688454,-0.13597600017632838
CC_temptation,0.9740426812638592,0.9883127761354538,0.014270094871594585
CD_punished,0.5312096768140148,0.24508716567054972,-0.28612251114346504
DC_exploited,0.9706878544458885,0.9770227081159707,0.006334853670082241
DD_trapped,0.8670362344081175,0.9241422303536588,0.05710599594554133
