,CC_continue,CC_temptation,CD_punished,DC_exploited,DD_trapped
strength_-2.0,0.89330932956991,0.9796676677780479,0.5926665999540697,0.977022673455192,0.8933097255825262
strength_-1.5,0.8807970826714884,0.9796676677418651,0.5621765008857981,0.9770226800883836,0.8807974730253735
strength_-1.0,0.8807969907207908,0.9796676638820317,0.5312093733737563,0.9740427066138335,0.8807975087005268
strength_-0.5,0.8807970004823389,0.9770226508959848,0.5,0.9740426998281435,0.8670362463096951
strength_+0.0,0.8670357718271842,0.9770226436949722,0.49999987617676206,0.9706878447993078,0.8670361963463146
strength_+0.5,0.8519527144173965,0.9740426686767976,0.43782363833733107,0.9706878438451441,0.8670361340393441
strength_+1.0,0.8519527012597233,0.9740426547978213,0.4073335288208486,0.9669141095178212,0.8670360548818852
strength_+1.5,0.8354833279472645,0.9706877868347193,0.37754080274584784,0.9669141001595926,0.8670360808999152
strength_+2.0,0.8175743570555629,0.9669140502873238,0.3486451353340048,0.9669140957505342,0.8519531792842294
