scenario,baseline_p_action2,patched_p_action2,delta_p_action2
CC_continue,0.8670357735451738,0.17328820592932634,-0.6937475676158474
CC_temptation,0.9740426812638592,0.22815650216092567,-0.7458861791029335
CD_punished,0.5312096768140148,0.1645164628965632,-0.3666932139174516
DC_exploited,0.9706878544458885,0.3007455789412415,-0.6699422755046469
DD_trapped,0.8670362344081175,0.25683199138751883,-0.6102042430205987
