,CC_continue,CC_temptation,CD_punished,DC_exploited,DD_trapped
strength_-2.0,0.9241419436083321,0.9820138110016702,0.7549154308000984,0.982013876224446,0.9046511190000904
strength_-1.5,0.9241419227049332,0.9840936314537692,0.7310589376273608,0.9820138802596992,0.9149015010370056
strength_-1.0,0.9149010486098922,0.9820138213963087,0.7057850402140171,0.9820138527735496,0.9046511258861238
strength_-0.5,0.9046504302103993,0.9820138009286151,0.6224593312018546,0.9796677062549758,0.9046509304543374
strength_+0.0,0.8670357718271842,0.9770226436949722,0.49999987617676206,0.9706878447993078,0.8670361963463146
strength_+0.5,0.7549151066013738,0.9669140374334676,0.3486452668604232,0.9579123439972633,0.8175748770445038
strength_+1.0,0.6224596586770315,0.9324534219133331,0.24508521515220655,0.9241420076214409,0.7057856262292028
strength_+1.5,0.5621766715514217,0.8807973078100075,0.24508500761844174,0.880797339708255,0.5926673174870417
strength_+2.0,0.4687908013643906,0.8670358676597757,0.20181342311170575,0.8354838814085683,0.5000008533850534
