scenario,baseline_p_action2,steered_p_action2,delta_p_action2
CC_continue,0.8670357735451738,0.867035756366475,-1.717869879680478e-08
CC_temptation,0.9740426812638592,0.9770226493701474,0.0029799681062882
CD_punished,0.5312096768140148,0.5621763479894701,0.030966671175455374
DC_exploited,0.9706878544458885,0.9706878532792185,-1.166669982843871e-09
DD_trapped,0.8670362344081175,0.8670363756366748,1.4122855729326034e-07
