experiment_id,source_model,source_name,target_model,target_name,baseline_p_action2,transplanted_p_action2,delta_p_action2,baseline_coop_rate,transplanted_coop_rate,delta_coop_rate,expected_direction,hypothesis_supported
1,PT3_COREDe,Deontological,PT2_COREDe,Strategic,0.8543038626752442,0.997990898553913,0.14368703587866882,0.14569613732475584,0.002009101446087014,-0.14368703587866882,positive,False
2,PT2_COREDe,Strategic,PT3_COREDe,Deontological,0.8493508060495831,0.015176063006759832,-0.8341747430428232,0.15064919395041687,0.9848239369932401,0.8341747430428232,negative,False
3,PT3_COREDe,Deontological,PT3_COREUt,Utilitarian,0.8464477728579651,0.13330530344039984,-0.7131424694175653,0.15355222714203487,0.8666946965596002,0.7131424694175653,positive,True
4,PT3_COREUt,Utilitarian,PT3_COREDe,Deontological,0.8493508060495831,0.015176063006759832,-0.8341747430428232,0.15064919395041687,0.9848239369932401,0.8341747430428232,negative,False
