,CC_continue,CC_temptation,CD_punished,DC_exploited,DD_trapped
strength_-2.0,0.8519528655857491,0.9770226486787769,0.500000105910685,0.9770226870012312,0.8807973893614662
strength_-1.5,0.8519528756856531,0.9740426828672466,0.5000001163204464,0.9770226749014745,0.8807973276226594
strength_-1.0,0.8519528076067158,0.9740426700676291,0.5000004434605161,0.9740427029485975,0.8670361916593221
strength_-0.5,0.8670357494949105,0.9770226536149449,0.5312095125915811,0.9740427016946106,0.8807973276218867
strength_+0.0,0.8670357735451738,0.9740426812638592,0.5312096768140148,0.9706878544458885,0.8670362344081175
strength_+0.5,0.8670357529306927,0.9740426576599726,0.5312095170054494,0.9669141148621846,0.8807973994111329
strength_+1.0,0.8670357735450913,0.9770226297554546,0.5621766423042351,0.9706878475289671,0.8670361618051933
strength_+1.5,0.8670357477770523,0.9770226431071647,0.5312095170046276,0.9669141239504644,0.8807974467050719
strength_+2.0,0.8670356788555543,0.974042639976548,0.5621765008857981,0.9706878484385429,0.8807974341861362
