scenario,baseline_p_action2,transplanted_p_action2,delta_p_action2,baseline_coop_rate,transplanted_coop_rate
CC_continue,0.8670357735451738,0.9994115905282537,0.13237581698307987,0.1329642264548262,0.0005884094717463206
CC_continue,0.8670357735451738,0.9994115905282537,0.13237581698307987,0.1329642264548262,0.0005884094717463206
CC_continue,0.9706876550051817,0.9988304889423232,0.028142833937141454,0.029312344994818273,0.0011695110576768197
CC_temptation,0.9740426812638592,0.9998204716864562,0.02577779042259698,0.025957318736140822,0.0001795283135438419
CC_temptation,0.9740426812638592,0.9998204716864562,0.02577779042259698,0.025957318736140822,0.0001795283135438419
CC_temptation,0.9840936266024264,0.9996849610458919,0.015591334443465499,0.015906373397573614,0.00031503895410811555
CD_punished,0.5312096768140148,0.9953904219717578,0.464180745157743,0.46879032318598524,0.004609578028242245
CD_punished,0.5312096768140148,0.9953904219717578,0.464180745157743,0.46879032318598524,0.004609578028242245
CD_punished,0.9149008130880181,0.9890130524931497,0.07411223940513167,0.08509918691198193,0.010986947506850253
DC_exploited,0.9706878544458885,0.9998204719336236,0.029132617487735102,0.029312145554111546,0.00017952806637644425
DC_exploited,0.9706878544458885,0.9998204719336236,0.029132617487735102,0.029312145554111546,0.00017952806637644425
DC_exploited,0.9626732309908906,0.9995694432360845,0.036896212245193905,0.03732676900910936,0.0004305567639154573
DD_trapped,0.8670362344081175,0.9992445940534812,0.1322083596453637,0.1329637655918825,0.0007554059465187946
DD_trapped,0.8670362344081175,0.9992445940534812,0.1322083596453637,0.1329637655918825,0.0007554059465187946
DD_trapped,0.5621781734880349,0.9953904322440981,0.4332122587560632,0.4378218265119651,0.004609567755901933
