,CC_continue,CC_temptation,CD_punished,DC_exploited,DD_trapped
strength_-2.0,0.8354836251538778,0.9740426563659673,0.5000001163300285,0.9706878303137727,0.8807974293719677
strength_-1.5,0.8354835309588973,0.9740426631897807,0.5,0.9706878385509914,0.8807973307641004
strength_-1.0,0.8519527116491254,0.9740426576947961,0.4687909253501413,0.9740427008646961,0.8670361744985705
strength_-0.5,0.8354836383041434,0.9740426654997059,0.5,0.9740427002268769,0.8670362343924878
strength_+0.0,0.8670357718271842,0.9770226436949722,0.49999987617676206,0.9706878447993078,0.8670361963463146
strength_+0.5,0.8807969278250752,0.9770226405074198,0.5000001359920587,0.9740427074771031,0.8807974655109194
strength_+1.0,0.8670356791481293,0.9740426678021973,0.5,0.970687854392836,0.8670361774390523
strength_+1.5,0.8807970063663305,0.977022642556278,0.4687907669332411,0.9706878412944615,0.8670361532253389
strength_+2.0,0.8670357701093743,0.9770226517533143,0.4687909253417018,0.9740426932261909,0.8670361494820693
