,CC_continue,CC_temptation,CD_punished,DC_exploited,DD_trapped
strength_-2.0,0.8807969969279797,0.9740426907311165,0.5000002466651836,0.9770226928327455,0.8933097107293915
strength_-1.5,0.8670357546485317,0.9740426793899141,0.5,0.9740427149503579,0.8807974282560126
strength_-1.0,0.8519528820750345,0.9706878070741365,0.4687907543723969,0.9770226893435167,0.8670362515297602
strength_-0.5,0.8670356710219398,0.9706878221257624,0.5,0.9669141228508846,0.8670362155147756
strength_+0.0,0.8670357735451738,0.9740426812638592,0.5312096768140148,0.9706878544458885,0.8670362344081175
strength_+0.5,0.8807969984912174,0.9796676545014096,0.5621766296523496,0.970687843424247,0.86703620348476
strength_+1.0,0.8933093152377669,0.9796676541510256,0.6224595120141919,0.9770226568989892,0.8807972885305281
strength_+1.5,0.8933093678849059,0.9796676550637843,0.6224594194960392,0.9740426639549324,0.8807971948085375
strength_+2.0,0.8933093657992666,0.97966765416571,0.6224595010558964,0.9740426752585801,0.8807972439797797
