,CC_continue,CC_temptation,CD_punished,DC_exploited,DD_trapped
strength_-2.0,0.8670358504699102,0.9883127584163304,0.46879102103664994,0.9908743920518193,0.9525744468325053
strength_-1.5,0.8807971579914848,0.9883127599172897,0.5000003676473282,0.9908743844485457,0.957912483502775
strength_-1.0,0.8807970670262842,0.9883127531562899,0.5312094852380199,0.9908743809979382,0.9465968436728465
strength_-0.5,0.8807970858004177,0.9859363811414885,0.5312094817960139,0.9840936431428855,0.924142102039358
strength_+0.0,0.8670357718271842,0.9770226436949722,0.49999987617676206,0.9706878447993078,0.8670361963463146
strength_+0.5,0.8175744828609249,0.9525741745008209,0.4073335654094535,0.9399135000054356,0.7773004882944451
strength_+1.0,0.7549146556485073,0.9046506846424467,0.320821138880253,0.8807973345003013,0.5926678380871874
strength_+1.5,0.679178511064039,0.8670359155820702,0.24508514825805688,0.8175748857043239,0.5000008046410455
strength_+2.0,0.622458941896885,0.8175745745070869,0.22270004225297577,0.7310591059176643,0.377541488126173
