,CC_continue,CC_temptation,CD_punished,DC_exploited,DD_trapped
strength_-2.0,0.8807968542358298,0.9859363244047085,0.5621765008857981,0.9840936450894898,0.8807978999079928
strength_-1.5,0.8670355288916048,0.9859363362597643,0.5000005559018565,0.9820138426070228,0.8807976209082117
strength_-1.0,0.867035771827307,0.9820137864518805,0.5312091112462752,0.9796676955352644,0.8807975838076599
strength_-0.5,0.8670356104353119,0.977022632180717,0.5312091627455936,0.9770227126812854,0.880797478876373
strength_+0.0,0.8670357718271842,0.9770226436949722,0.49999987617676206,0.9706878447993078,0.8670361963463146
strength_+0.5,0.8354836684278797,0.9706878020662174,0.500000099496837,0.9706878143673077,0.8807973034843228
strength_+1.0,0.8670358213071708,0.9740426673825293,0.5312094527002654,0.9706878203474597,0.867036033275677
strength_+1.5,0.8933094319940418,0.9796676668559532,0.5926667502907498,0.9706878148227522,0.8670359914213803
strength_+2.0,0.9046504958721577,0.9796676698572714,0.5926669084193428,0.9770226619004644,0.8807972884101765
