source_model,target_model,scenario,variant,patched_component,layer,baseline_delta,patched_delta,patch_effect
PT3_COREDe,PT2_COREDe,CC_continue,0,L8_MLP,0,-7.4375,-7.4375,0.0
PT3_COREDe,PT2_COREDe,CC_continue,0,L8_MLP,1,-2.5,-2.5,0.0
PT3_COREDe,PT2_COREDe,CC_continue,0,L8_MLP,2,-1.890625,-1.890625,0.0
PT3_COREDe,PT2_COREDe,CC_continue,0,L8_MLP,3,-0.34375,-0.34375,0.0
PT3_COREDe,PT2_COREDe,CC_continue,0,L8_MLP,4,-3.1875,-3.1875,0.0
PT3_COREDe,PT2_COREDe,CC_continue,0,L8_MLP,5,-3.21875,-3.21875,0.0
PT3_COREDe,PT2_COREDe,CC_continue,0,L8_MLP,6,-4.48046875,-4.48046875,0.0
PT3_COREDe,PT2_COREDe,CC_continue,0,L8_MLP,7,-4.982421875,-4.982421875,0.0
PT3_COREDe,PT2_COREDe,CC_continue,0,L8_MLP,8,-4.609375,-4.458984375,0.150390625
PT3_COREDe,PT2_COREDe,CC_continue,0,L8_MLP,9,-6.015625,-5.775390625,0.240234375
PT3_COREDe,PT2_COREDe,CC_continue,0,L8_MLP,10,-5.6845703125,-5.583984375,0.1005859375
PT3_COREDe,PT2_COREDe,CC_continue,0,L8_MLP,11,-3.4951171875,-3.5341796875,-0.0390625
PT3_COREDe,PT2_COREDe,CC_continue,0,L8_MLP,12,-3.37890625,-3.5,-0.12109375
PT3_COREDe,PT2_COREDe,CC_continue,0,L8_MLP,13,-2.212890625,-2.30078125,-0.087890625
PT3_COREDe,PT2_COREDe,CC_continue,0,L8_MLP,14,-1.9912109375,-2.021484375,-0.0302734375
PT3_COREDe,PT2_COREDe,CC_continue,0,L8_MLP,15,-0.25,-0.26171875,-0.01171875
PT3_COREDe,PT2_COREDe,CC_continue,0,L8_MLP,16,-0.0625,0.015625,0.078125
PT3_COREDe,PT2_COREDe,CC_continue,0,L8_MLP,17,-0.7421875,-0.6953125,0.046875
PT3_COREDe,PT2_COREDe,CC_continue,0,L8_MLP,18,-4.05859375,-4.037109375,0.021484375
PT3_COREDe,PT2_COREDe,CC_continue,0,L8_MLP,19,-1.14453125,-1.056640625,0.087890625
PT3_COREDe,PT2_COREDe,CC_continue,0,L8_MLP,20,-0.455078125,-0.38671875,0.068359375
PT3_COREDe,PT2_COREDe,CC_continue,0,L8_MLP,21,0.1015625,0.177734375,0.076171875
PT3_COREDe,PT2_COREDe,CC_continue,0,L8_MLP,22,-0.21875,-0.140625,0.078125
PT3_COREDe,PT2_COREDe,CC_continue,0,L8_MLP,23,1.0,1.078125,0.078125
PT3_COREDe,PT2_COREDe,CC_continue,0,L8_MLP,24,1.2890625,1.3828125,0.09375
PT3_COREDe,PT2_COREDe,CC_continue,0,L8_MLP,25,1.15234375,1.2265625,0.07421875
PT3_COREDe,PT2_COREDe,CC_continue,0,L9_MLP,0,-7.4375,-7.4375,0.0
PT3_COREDe,PT2_COREDe,CC_continue,0,L9_MLP,1,-2.5,-2.5,0.0
PT3_COREDe,PT2_COREDe,CC_continue,0,L9_MLP,2,-1.890625,-1.890625,0.0
PT3_COREDe,PT2_COREDe,CC_continue,0,L9_MLP,3,-0.34375,-0.34375,0.0
PT3_COREDe,PT2_COREDe,CC_continue,0,L9_MLP,4,-3.1875,-3.1875,0.0
PT3_COREDe,PT2_COREDe,CC_continue,0,L9_MLP,5,-3.21875,-3.21875,0.0
PT3_COREDe,PT2_COREDe,CC_continue,0,L9_MLP,6,-4.48046875,-4.48046875,0.0
PT3_COREDe,PT2_COREDe,CC_continue,0,L9_MLP,7,-4.982421875,-4.982421875,0.0
PT3_COREDe,PT2_COREDe,CC_continue,0,L9_MLP,8,-4.609375,-4.609375,0.0
PT3_COREDe,PT2_COREDe,CC_continue,0,L9_MLP,9,-6.015625,-5.73828125,0.27734375
PT3_COREDe,PT2_COREDe,CC_continue,0,L9_MLP,10,-5.6845703125,-5.58203125,0.1025390625
PT3_COREDe,PT2_COREDe,CC_continue,0,L9_MLP,11,-3.4951171875,-3.6484375,-0.1533203125
PT3_COREDe,PT2_COREDe,CC_continue,0,L9_MLP,12,-3.37890625,-3.68359375,-0.3046875
PT3_COREDe,PT2_COREDe,CC_continue,0,L9_MLP,13,-2.212890625,-2.47265625,-0.259765625
PT3_COREDe,PT2_COREDe,CC_continue,0,L9_MLP,14,-1.9912109375,-2.21044921875,-0.21923828125
PT3_COREDe,PT2_COREDe,CC_continue,0,L9_MLP,15,-0.25,-0.3125,-0.0625
PT3_COREDe,PT2_COREDe,CC_continue,0,L9_MLP,16,-0.0625,0.0,0.0625
PT3_COREDe,PT2_COREDe,CC_continue,0,L9_MLP,17,-0.7421875,-0.6875,0.0546875
PT3_COREDe,PT2_COREDe,CC_continue,0,L9_MLP,18,-4.05859375,-4.103515625,-0.044921875
PT3_COREDe,PT2_COREDe,CC_continue,0,L9_MLP,19,-1.14453125,-1.185546875,-0.041015625
PT3_COREDe,PT2_COREDe,CC_continue,0,L9_MLP,20,-0.455078125,-0.626953125,-0.171875
PT3_COREDe,PT2_COREDe,CC_continue,0,L9_MLP,21,0.1015625,-0.0537109375,-0.1552734375
PT3_COREDe,PT2_COREDe,CC_continue,0,L9_MLP,22,-0.21875,-0.359375,-0.140625
PT3_COREDe,PT2_COREDe,CC_continue,0,L9_MLP,23,1.0,0.84375,-0.15625
PT3_COREDe,PT2_COREDe,CC_continue,0,L9_MLP,24,1.2890625,1.15625,-0.1328125
PT3_COREDe,PT2_COREDe,CC_continue,0,L9_MLP,25,1.15234375,1.08203125,-0.0703125
PT3_COREDe,PT2_COREDe,CC_continue,0,L10_MLP,0,-7.4375,-7.4375,0.0
PT3_COREDe,PT2_COREDe,CC_continue,0,L10_MLP,1,-2.5,-2.5,0.0
PT3_COREDe,PT2_COREDe,CC_continue,0,L10_MLP,2,-1.890625,-1.890625,0.0
PT3_COREDe,PT2_COREDe,CC_continue,0,L10_MLP,3,-0.34375,-0.34375,0.0
PT3_COREDe,PT2_COREDe,CC_continue,0,L10_MLP,4,-3.1875,-3.1875,0.0
PT3_COREDe,PT2_COREDe,CC_continue,0,L10_MLP,5,-3.21875,-3.21875,0.0
PT3_COREDe,PT2_COREDe,CC_continue,0,L10_MLP,6,-4.48046875,-4.48046875,0.0
PT3_COREDe,PT2_COREDe,CC_continue,0,L10_MLP,7,-4.982421875,-4.982421875,0.0
PT3_COREDe,PT2_COREDe,CC_continue,0,L10_MLP,8,-4.609375,-4.609375,0.0
PT3_COREDe,PT2_COREDe,CC_continue,0,L10_MLP,9,-6.015625,-6.015625,0.0
PT3_COREDe,PT2_COREDe,CC_continue,0,L10_MLP,10,-5.6845703125,-5.966796875,-0.2822265625
