source_model,target_model,scenario,variant,patched_component,layer,baseline_delta,patched_delta,patch_effect
PT2_COREDe,PT3_COREDe,CC_continue,0,L8_MLP,23,-7.046875,-7.0234375,0.0234375
PT2_COREDe,PT3_COREDe,CC_continue,0,L8_MLP,24,-6.125,-6.10546875,0.01953125
PT2_COREDe,PT3_COREDe,CC_continue,0,L8_MLP,25,-4.1953125,-4.19921875,-0.00390625
PT2_COREDe,PT3_COREDe,CC_continue,0,L9_MLP,0,-7.4375,-7.4375,0.0
PT2_COREDe,PT3_COREDe,CC_continue,0,L9_MLP,1,-2.53125,-2.53125,0.0
PT2_COREDe,PT3_COREDe,CC_continue,0,L9_MLP,2,-1.921875,-1.921875,0.0
PT2_COREDe,PT3_COREDe,CC_continue,0,L9_MLP,3,-0.390625,-0.390625,0.0
PT2_COREDe,PT3_COREDe,CC_continue,0,L9_MLP,4,-3.25,-3.25,0.0
PT2_COREDe,PT3_COREDe,CC_continue,0,L9_MLP,5,-3.328125,-3.328125,0.0
PT2_COREDe,PT3_COREDe,CC_continue,0,L9_MLP,6,-4.56640625,-4.56640625,0.0
PT2_COREDe,PT3_COREDe,CC_continue,0,L9_MLP,7,-5.00390625,-5.00390625,0.0
PT2_COREDe,PT3_COREDe,CC_continue,0,L9_MLP,8,-4.31640625,-4.31640625,0.0
PT2_COREDe,PT3_COREDe,CC_continue,0,L9_MLP,9,-5.35546875,-5.619140625,-0.263671875
PT2_COREDe,PT3_COREDe,CC_continue,0,L9_MLP,10,-5.2998046875,-5.373046875,-0.0732421875
PT2_COREDe,PT3_COREDe,CC_continue,0,L9_MLP,11,-3.697265625,-3.5517578125,0.1455078125
PT2_COREDe,PT3_COREDe,CC_continue,0,L9_MLP,12,-3.9853515625,-3.7294921875,0.255859375
PT2_COREDe,PT3_COREDe,CC_continue,0,L9_MLP,13,-2.6572265625,-2.42578125,0.2314453125
PT2_COREDe,PT3_COREDe,CC_continue,0,L9_MLP,14,-2.4677734375,-2.26171875,0.2060546875
PT2_COREDe,PT3_COREDe,CC_continue,0,L9_MLP,15,-0.79296875,-0.72265625,0.0703125
PT2_COREDe,PT3_COREDe,CC_continue,0,L9_MLP,16,-0.859375,-0.87890625,-0.01953125
PT2_COREDe,PT3_COREDe,CC_continue,0,L9_MLP,17,-2.41015625,-2.44140625,-0.03125
PT2_COREDe,PT3_COREDe,CC_continue,0,L9_MLP,18,-6.05859375,-6.17578125,-0.1171875
PT2_COREDe,PT3_COREDe,CC_continue,0,L9_MLP,19,-7.5,-7.6640625,-0.1640625
PT2_COREDe,PT3_COREDe,CC_continue,0,L9_MLP,20,-7.296875,-7.4140625,-0.1171875
PT2_COREDe,PT3_COREDe,CC_continue,0,L9_MLP,21,-6.82666015625,-6.98046875,-0.15380859375
PT2_COREDe,PT3_COREDe,CC_continue,0,L9_MLP,22,-7.65234375,-7.83203125,-0.1796875
PT2_COREDe,PT3_COREDe,CC_continue,0,L9_MLP,23,-7.046875,-7.2265625,-0.1796875
PT2_COREDe,PT3_COREDe,CC_continue,0,L9_MLP,24,-6.125,-6.3046875,-0.1796875
PT2_COREDe,PT3_COREDe,CC_continue,0,L9_MLP,25,-4.1953125,-4.32421875,-0.12890625
PT2_COREDe,PT3_COREDe,CC_continue,0,L10_MLP,0,-7.4375,-7.4375,0.0
PT2_COREDe,PT3_COREDe,CC_continue,0,L10_MLP,1,-2.53125,-2.53125,0.0
PT2_COREDe,PT3_COREDe,CC_continue,0,L10_MLP,2,-1.921875,-1.921875,0.0
PT2_COREDe,PT3_COREDe,CC_continue,0,L10_MLP,3,-0.390625,-0.390625,0.0
PT2_COREDe,PT3_COREDe,CC_continue,0,L10_MLP,4,-3.25,-3.25,0.0
PT2_COREDe,PT3_COREDe,CC_continue,0,L10_MLP,5,-3.328125,-3.328125,0.0
PT2_COREDe,PT3_COREDe,CC_continue,0,L10_MLP,6,-4.56640625,-4.56640625,0.0
PT2_COREDe,PT3_COREDe,CC_continue,0,L10_MLP,7,-5.00390625,-5.00390625,0.0
PT2_COREDe,PT3_COREDe,CC_continue,0,L10_MLP,8,-4.31640625,-4.31640625,0.0
PT2_COREDe,PT3_COREDe,CC_continue,0,L10_MLP,9,-5.35546875,-5.35546875,0.0
PT2_COREDe,PT3_COREDe,CC_continue,0,L10_MLP,10,-5.2998046875,-5.0146484375,0.28515625
PT2_COREDe,PT3_COREDe,CC_continue,0,L10_MLP,11,-3.697265625,-3.2978515625,0.3994140625
PT2_COREDe,PT3_COREDe,CC_continue,0,L10_MLP,12,-3.9853515625,-3.5751953125,0.41015625
PT2_COREDe,PT3_COREDe,CC_continue,0,L10_MLP,13,-2.6572265625,-2.353515625,0.3037109375
PT2_COREDe,PT3_COREDe,CC_continue,0,L10_MLP,14,-2.4677734375,-2.283203125,0.1845703125
PT2_COREDe,PT3_COREDe,CC_continue,0,L10_MLP,15,-0.79296875,-0.66015625,0.1328125
PT2_COREDe,PT3_COREDe,CC_continue,0,L10_MLP,16,-0.859375,-0.85546875,0.00390625
PT2_COREDe,PT3_COREDe,CC_continue,0,L10_MLP,17,-2.41015625,-2.38671875,0.0234375
PT2_COREDe,PT3_COREDe,CC_continue,0,L10_MLP,18,-6.05859375,-6.0859375,-0.02734375
PT2_COREDe,PT3_COREDe,CC_continue,0,L10_MLP,19,-7.5,-7.46875,0.03125
PT2_COREDe,PT3_COREDe,CC_continue,0,L10_MLP,20,-7.296875,-7.18359375,0.11328125
PT2_COREDe,PT3_COREDe,CC_continue,0,L10_MLP,21,-6.82666015625,-6.7001953125,0.12646484375
PT2_COREDe,PT3_COREDe,CC_continue,0,L10_MLP,22,-7.65234375,-7.5078125,0.14453125
PT2_COREDe,PT3_COREDe,CC_continue,0,L10_MLP,23,-7.046875,-6.9765625,0.0703125
PT2_COREDe,PT3_COREDe,CC_continue,0,L10_MLP,24,-6.125,-6.0390625,0.0859375
PT2_COREDe,PT3_COREDe,CC_continue,0,L10_MLP,25,-4.1953125,-4.140625,0.0546875
